Sessions to convert: 174 (from 202 experiments)
[  1/174] session 775289198  neurons=89 trials=39 T=9583 load=4.8s  (elapsed 5s, 5.0s/session, eta 862s)
[  2/174] session 787661032  neurons=142 trials=190 T=48745 load=9.1s  (elapsed 10s, 4.9s/session, eta 838s)
[  3/174] session 792327341  neurons=208 trials=151 T=38194 load=8.7s  (elapsed 10s, 3.2s/session, eta 556s)
[  4/174] session 792619807  neurons=27 trials=188 T=48992 load=4.5s  (elapsed 10s, 2.4s/session, eta 414s)
[  5/174] session 793857113  neurons=199 trials=155 T=38103 load=6.0s  (elapsed 10s, 1.9s/session, eta 329s)
[  6/174] session 794474159  neurons=221 trials=166 T=41720 load=8.3s  (elapsed 10s, 1.6s/session, eta 273s)
[  7/174] session 794918442  neurons=45 trials=112 T=28574 load=4.8s  (elapsed 10s, 1.4s/session, eta 233s)
[  8/174] session 795625712  ERROR: no eye tracking data  (elapsed 10s, 1.2s/session, eta 202s)
[  9/174] session 796019065  neurons=190 trials=172 T=42813 load=9.4s  (elapsed 10s, 1.1s/session, eta 184s)
[ 10/174] session 796236521  neurons=49 trials=225 T=57557 load=4.6s  (elapsed 10s, 1.0s/session, eta 165s)
[ 11/174] session 803223329  neurons=39 trials=242 T=62466 load=4.4s  (elapsed 10s, 0.9s/session, eta 149s)
[ 12/174] session 805269503  neurons=22 trials=180 T=46110 load=4.4s  (elapsed 10s, 0.8s/session, eta 136s)
[ 13/174] session 805989030  ERROR: no eye tracking data  (elapsed 10s, 0.8s/session, eta 125s)
[ 14/174] session 806203732  neurons=251 trials=234 T=61148 load=10.1s  (elapsed 11s, 0.8s/session, eta 126s)
[ 15/174] session 807208045  neurons=194 trials=176 T=45829 load=6.6s  (elapsed 11s, 0.7s/session, eta 117s)
[ 16/174] session 807393193  neurons=286 trials=230 T=59527 load=11.1s  (elapsed 13s, 0.8s/session, eta 125s)
[ 17/174] session 808092249  neurons=46 trials=129 T=32873 load=4.9s  (elapsed 13s, 0.7s/session, eta 117s)
[ 18/174] session 808107961  neurons=196 trials=251 T=67709 load=5.6s  (elapsed 13s, 0.7s/session, eta 109s)
[ 19/174] session 808340530  neurons=302 trials=267 T=69767 load=7.8s  (elapsed 13s, 0.7s/session, eta 110s)
[ 20/174] session 809393834  neurons=200 trials=195 T=49737 load=5.5s  (elapsed 13s, 0.7s/session, eta 104s)
[ 21/174] session 812802821  neurons=212 trials=293 T=76045 load=5.6s  (elapsed 13s, 0.6s/session, eta 98s)
[ 22/174] session 817101568  neurons=164 trials=315 T=83264 load=5.1s  (elapsed 13s, 0.6s/session, eta 93s)
[ 23/174] session 819949602  neurons=122 trials=285 T=76115 load=4.8s  (elapsed 13s, 0.6s/session, eta 88s)
[ 24/174] session 821471625  neurons=436 trials=260 T=68406 load=12.0s  (elapsed 22s, 0.9s/session, eta 136s)
[ 25/174] session 822388759  neurons=167 trials=307 T=79933 load=5.1s  (elapsed 22s, 0.9s/session, eta 130s)
[ 26/174] session 822734832  neurons=410 trials=293 T=77560 load=11.9s  (elapsed 22s, 0.8s/session, eta 126s)
[ 27/174] session 824433631  neurons=504 trials=312 T=82320 load=12.7s  (elapsed 23s, 0.9s/session, eta 125s)
[ 28/174] session 824745199  neurons=110 trials=228 T=59836 load=3.5s  (elapsed 23s, 0.8s/session, eta 120s)
[ 29/174] session 825682144  neurons=483 trials=338 T=90975 load=13.3s  (elapsed 24s, 0.8s/session, eta 120s)
[ 30/174] session 825682242  neurons=29 trials=396 T=105592 load=2.9s  (elapsed 24s, 0.8s/session, eta 116s)
[ 31/174] session 829521794  neurons=22 trials=397 T=106541 load=2.9s  (elapsed 24s, 0.8s/session, eta 111s)
[ 32/174] session 830272668  neurons=157 trials=293 T=78866 load=5.7s  (elapsed 24s, 0.8s/session, eta 107s)
[ 33/174] session 831761261  neurons=20 trials=409 T=108500 load=2.9s  (elapsed 24s, 0.7s/session, eta 103s)
[ 34/174] session 832881662  ERROR: no eye tracking data  (elapsed 24s, 0.7s/session, eta 99s)
[ 35/174] session 833002992  neurons=161 trials=271 T=70736 load=6.7s  (elapsed 24s, 0.7s/session, eta 96s)
[ 36/174] session 833812106  neurons=162 trials=302 T=79144 load=4.7s  (elapsed 24s, 0.7s/session, eta 92s)
[ 37/174] session 834887125  neurons=146 trials=270 T=70981 load=8.3s  (elapsed 24s, 0.7s/session, eta 89s)
[ 38/174] session 835795999  neurons=13 trials=381 T=102802 load=3.3s  (elapsed 24s, 0.6s/session, eta 86s)
[ 39/174] session 835796136  neurons=143 trials=293 T=76964 load=5.5s  (elapsed 24s, 0.6s/session, eta 83s)
[ 40/174] session 842583486  neurons=136 trials=146 T=36754 load=5.2s  (elapsed 24s, 0.6s/session, eta 81s)
[ 41/174] session 842752650  neurons=429 trials=213 T=56175 load=10.8s  (elapsed 25s, 0.6s/session, eta 82s)
[ 42/174] session 843871375  neurons=426 trials=145 T=36442 load=10.6s  (elapsed 25s, 0.6s/session, eta 79s)
[ 43/174] session 844465368  neurons=556 trials=185 T=48640 load=12.6s  (elapsed 27s, 0.6s/session, eta 82s)
[ 44/174] session 845219209  neurons=48 trials=254 T=66101 load=5.7s  (elapsed 27s, 0.6s/session, eta 80s)
[ 45/174] session 845840207  neurons=537 trials=263 T=69919 load=11.5s  (elapsed 27s, 0.6s/session, eta 79s)
[ 46/174] session 846599329  neurons=151 trials=268 T=71486 load=6.2s  (elapsed 27s, 0.6s/session, eta 76s)
[ 47/174] session 848143026  neurons=188 trials=286 T=75789 load=5.7s  (elapsed 27s, 0.6s/session, eta 74s)
[ 48/174] session 848253761  neurons=209 trials=274 T=73639 load=5.8s  (elapsed 27s, 0.6s/session, eta 72s)
[ 49/174] session 848264483  neurons=123 trials=263 T=69557 load=4.0s  (elapsed 27s, 0.6s/session, eta 70s)
[ 50/174] session 849597937  neurons=120 trials=228 T=60765 load=3.9s  (elapsed 27s, 0.5s/session, eta 68s)
[ 51/174] session 849600749  neurons=242 trials=279 T=74399 load=5.0s  (elapsed 27s, 0.5s/session, eta 66s)
[ 52/174] session 850959102  neurons=125 trials=265 T=69519 load=4.2s  (elapsed 27s, 0.5s/session, eta 64s)
[ 53/174] session 850959798  neurons=233 trials=279 T=74661 load=4.4s  (elapsed 27s, 0.5s/session, eta 63s)
[ 54/174] session 852326785  neurons=127 trials=231 T=61821 load=3.8s  (elapsed 27s, 0.5s/session, eta 61s)
[ 55/174] session 852794147  neurons=64 trials=290 T=76841 load=3.7s  (elapsed 27s, 0.5s/session, eta 59s)
[ 56/174] session 853416014  neurons=209 trials=251 T=65480 load=4.3s  (elapsed 28s, 0.5s/session, eta 59s)
[ 57/174] session 853773937  neurons=49 trials=327 T=88257 load=2.9s  (elapsed 28s, 0.5s/session, eta 57s)
[ 58/174] session 855333357  neurons=62 trials=329 T=87839 load=3.3s  (elapsed 28s, 0.5s/session, eta 56s)
[ 59/174] session 855762043  neurons=151 trials=246 T=65012 load=3.9s  (elapsed 28s, 0.5s/session, eta 55s)
[ 60/174] session 856295914  neurons=184 trials=184 T=47280 load=4.3s  (elapsed 29s, 0.5s/session, eta 55s)
[ 61/174] session 857202651  neurons=63 trials=280 T=75394 load=3.3s  (elapsed 29s, 0.5s/session, eta 53s)
[ 62/174] session 857232455  neurons=171 trials=270 T=71518 load=4.2s  (elapsed 30s, 0.5s/session, eta 53s)
[ 63/174] session 858863712  neurons=108 trials=189 T=49447 load=4.0s  (elapsed 30s, 0.5s/session, eta 52s)
[ 64/174] session 860331718  neurons=156 trials=387 T=102627 load=3.9s  (elapsed 30s, 0.5s/session, eta 52s)
[ 65/174] session 863981645  neurons=175 trials=378 T=100076 load=4.2s  (elapsed 30s, 0.5s/session, eta 51s)
[ 66/174] session 870377774  neurons=65 trials=267 T=70266 load=3.3s  (elapsed 30s, 0.5s/session, eta 50s)
[ 67/174] session 871606557  neurons=98 trials=189 T=47454 load=3.5s  (elapsed 30s, 0.5s/session, eta 48s)
[ 68/174] session 872551243  neurons=557 trials=334 T=88420 load=7.5s  (elapsed 35s, 0.5s/session, eta 55s)
[ 69/174] session 872551435  neurons=77 trials=200 T=51293 load=3.5s  (elapsed 35s, 0.5s/session, eta 54s)
[ 70/174] session 873542787  neurons=85 trials=215 T=56884 load=3.4s  (elapsed 35s, 0.5s/session, eta 53s)
[ 71/174] session 873653940  neurons=604 trials=279 T=73860 load=10.1s  (elapsed 40s, 0.6s/session, eta 58s)
[ 72/174] session 876522267  neurons=666 trials=324 T=86678 load=13.2s  (elapsed 43s, 0.6s/session, eta 61s)
[ 73/174] session 877497698  neurons=469 trials=372 T=99036 load=7.4s  (elapsed 43s, 0.6s/session, eta 59s)
[ 74/174] session 877907546  neurons=556 trials=343 T=91424 load=8.4s  (elapsed 43s, 0.6s/session, eta 58s)
[ 75/174] session 877946125  neurons=52 trials=200 T=51773 load=3.6s  (elapsed 43s, 0.6s/session, eta 56s)
[ 76/174] session 878436988  neurons=415 trials=304 T=79912 load=7.5s  (elapsed 43s, 0.6s/session, eta 55s)
[ 77/174] session 878918807  neurons=83 trials=252 T=67836 load=3.9s  (elapsed 43s, 0.6s/session, eta 54s)
[ 78/174] session 879719132  neurons=511 trials=291 T=77866 load=11.6s  (elapsed 43s, 0.6s/session, eta 53s)
[ 79/174] session 880753403  neurons=98 trials=230 T=59446 load=3.8s  (elapsed 43s, 0.5s/session, eta 52s)
[ 80/174] session 881071629  neurons=457 trials=307 T=81993 load=8.3s  (elapsed 43s, 0.5s/session, eta 51s)
[ 81/174] session 882620042  neurons=463 trials=291 T=77514 load=7.9s  (elapsed 43s, 0.5s/session, eta 49s)
[ 82/174] session 883509540  neurons=516 trials=347 T=92383 load=12.8s  (elapsed 44s, 0.5s/session, eta 50s)
