Mode: full; selected 165 sessions
Excluded passive replay sessions and eye-absent experiments: 795953296, 806456687, 833631914
[  1/165] 775614751: 89 neurons, 39 trials, 9588 frames; session 0.19s, elapsed 0.2s, ETA 31.7s
[  2/165] 788490510: 142 neurons, 190 trials, 48780 frames; session 0.28s, elapsed 0.5s, ETA 38.4s
[  3/165] 792813858: 208 neurons, 151 trials, 38207 frames; session 0.42s, elapsed 0.9s, ETA 48.4s
[  4/165] 792815735: 27 neurons, 188 trials, 49003 frames; session 0.19s, elapsed 1.1s, ETA 43.9s
[  5/165] 794381992: 199 neurons, 155 trials, 38128 frames; session 0.39s, elapsed 1.5s, ETA 47.2s
[  6/165] 795073741: 45 neurons, 112 trials, 28581 frames; session 0.17s, elapsed 1.6s, ETA 43.6s
[  7/165] 795076128: 221 neurons, 166 trials, 41733 frames; session 0.43s, elapsed 2.1s, ETA 46.8s
[  8/165] 796105304: 190 neurons, 172 trials, 42835 frames; session 0.38s, elapsed 2.5s, ETA 48.1s
[  9/165] 796308505: 49 neurons, 225 trials, 57568 frames; session 0.18s, elapsed 2.6s, ETA 45.6s
[ 10/165] 803736273: 39 neurons, 242 trials, 62504 frames; session 0.19s, elapsed 2.8s, ETA 43.7s
[ 11/165] 805784331: 22 neurons, 180 trials, 46153 frames; session 0.15s, elapsed 3.0s, ETA 41.6s
[ 12/165] 806455766: 251 neurons, 234 trials, 61151 frames; session 0.44s, elapsed 3.4s, ETA 43.5s
[ 13/165] 807752719: 194 neurons, 176 trials, 45850 frames; session 0.43s, elapsed 3.8s, ETA 44.9s
[ 14/165] 807753334: 286 neurons, 230 trials, 59548 frames; session 0.47s, elapsed 4.3s, ETA 46.5s
[ 15/165] 808619543: 196 neurons, 251 trials, 67716 frames; session 0.40s, elapsed 4.7s, ETA 47.1s
[ 16/165] 808621034: 302 neurons, 267 trials, 69773 frames; session 0.52s, elapsed 5.2s, ETA 48.7s
[ 17/165] 808621958: 46 neurons, 129 trials, 32901 frames; session 0.16s, elapsed 5.4s, ETA 47.0s
