Data format warnings:
  - Session 3, trial 2: all neural data is zero
  - Session 3, trial 3: all neural data is zero
  - Session 3, trial 4: all neural data is zero
  - Session 3, trial 19: all neural data is zero
  - Session 3, trial 21: all neural data is zero
  - Session 3, trial 23: all neural data is zero
  - Session 3, trial 25: all neural data is zero
  - Session 3, trial 37: all neural data is zero
  - Session 3, trial 56: all neural data is zero
  - Session 3, trial 58: all neural data is zero
  - Session 3, trial 59: all neural data is zero
  - Session 3, trial 60: all neural data is zero
  - Session 3, trial 65: all neural data is zero
  - Session 3, trial 66: all neural data is zero
  - Session 3, trial 72: all neural data is zero
  - Session 3, trial 74: all neural data is zero
  - Session 3, trial 79: all neural data is zero
  - Session 3, trial 87: all neural data is zero
  - Session 3, trial 96: all neural data is zero
  - Session 3, trial 97: all neural data is zero
  - Session 3, trial 109: all neural data is zero
  - Session 3, trial 117: all neural data is zero
  - Session 3, trial 130: all neural data is zero
  - Session 3, trial 131: all neural data is zero
  - Session 3, trial 132: all neural data is zero
  - Session 3, trial 147: all neural data is zero
  - Session 3, trial 158: all neural data is zero
  - Session 3, trial 161: all neural data is zero
  - Session 3, trial 164: all neural data is zero
  - Session 3, trial 169: all neural data is zero
  - Session 3, trial 170: all neural data is zero
  - Session 3, trial 172: all neural data is zero
  - Session 5, trial 0: all neural data is zero
  - Session 5, trial 1: all neural data is zero
  - Session 5, trial 8: all neural data is zero
  - Session 5, trial 33: all neural data is zero
  - Session 5, trial 45: all neural data is zero
  - Session 5, trial 46: all neural data is zero
  - Session 5, trial 53: all neural data is zero
  - Session 5, trial 55: all neural data is zero
  - Session 5, trial 70: all neural data is zero
  - Session 5, trial 76: all neural data is zero
  - Session 5, trial 97: all neural data is zero
  - Session 8, trial 18: all neural data is zero
  - Session 8, trial 71: all neural data is zero
  - Session 8, trial 107: all neural data is zero
  - Session 8, trial 108: all neural data is zero
  - Session 8, trial 109: all neural data is zero
  - Session 8, trial 153: all neural data is zero
  - Session 8, trial 171: all neural data is zero
  - Session 8, trial 175: all neural data is zero
  - Session 8, trial 178: all neural data is zero
  - Session 8, trial 179: all neural data is zero
  - Session 8, trial 183: all neural data is zero
  - Session 8, trial 204: all neural data is zero
  - Session 8, trial 210: all neural data is zero
  - Session 8, trial 213: all neural data is zero
  - Session 9, trial 1: all neural data is zero
  - Session 9, trial 5: all neural data is zero
  - Session 9, trial 6: all neural data is zero
  - Session 9, trial 9: all neural data is zero
  - Session 9, trial 10: all neural data is zero
  - Session 9, trial 29: all neural data is zero
  - Session 9, trial 31: all neural data is zero
  - Session 9, trial 40: all neural data is zero
  - Session 9, trial 44: all neural data is zero
  - Session 9, trial 46: all neural data is zero
  - Session 9, trial 48: all neural data is zero
  - Session 9, trial 57: all neural data is zero
  - Session 9, trial 59: all neural data is zero
  - Session 9, trial 61: all neural data is zero
  - Session 9, trial 63: all neural data is zero
  - Session 9, trial 82: all neural data is zero
  - Session 9, trial 83: all neural data is zero
  - Session 9, trial 88: all neural data is zero
  - Session 9, trial 103: all neural data is zero
  - Session 9, trial 105: all neural data is zero
  - Session 9, trial 112: all neural data is zero
  - Session 9, trial 114: all neural data is zero
  - Session 9, trial 123: all neural data is zero
  - Session 9, trial 125: all neural data is zero
  - Session 9, trial 126: all neural data is zero
  - Session 9, trial 127: all neural data is zero
  - Session 9, trial 128: all neural data is zero
  - Session 9, trial 131: all neural data is zero
  - Session 9, trial 132: all neural data is zero
  - Session 9, trial 138: all neural data is zero
  - Session 9, trial 141: all neural data is zero
  - Session 9, trial 148: all neural data is zero
  - Session 9, trial 158: all neural data is zero
  - Session 9, trial 172: all neural data is zero
  - Session 9, trial 176: all neural data is zero
  - Session 9, trial 178: all neural data is zero
  - Session 9, trial 181: all neural data is zero
  - Session 9, trial 183: all neural data is zero
  - Session 9, trial 189: all neural data is zero
  - Session 9, trial 190: all neural data is zero
  - Session 9, trial 227: all neural data is zero
  - Session 9, trial 233: all neural data is zero
  - Session 10, trial 8: all neural data is zero
  - Session 10, trial 30: all neural data is zero
  - Session 10, trial 38: all neural data is zero
  - Session 10, trial 42: all neural data is zero
  - Session 10, trial 46: all neural data is zero
  - Session 10, trial 60: all neural data is zero
  - Session 10, trial 61: all neural data is zero
  - Session 10, trial 78: all neural data is zero
  - Session 10, trial 80: all neural data is zero
  - Session 10, trial 100: all neural data is zero
  - Session 10, trial 112: all neural data is zero
  - Session 10, trial 120: all neural data is zero
  - Session 10, trial 121: all neural data is zero
  - Session 10, trial 138: all neural data is zero
  - Session 10, trial 139: all neural data is zero
  - Session 10, trial 140: all neural data is zero
  - Session 16, trial 40: all neural data is zero
  - Session 16, trial 59: all neural data is zero
  - Session 16, trial 62: all neural data is zero
  - Session 16, trial 73: all neural data is zero
  - Session 16, trial 74: all neural data is zero
  - Session 27, trial 2: all neural data is zero
  - Session 27, trial 3: all neural data is zero
