[setup] excluded 3 active sessions missing eye-tracking pupil data
[setup] processing 199 active sessions
[pass1] 001/199 session 775614751: 39 valid trials in 0.33s
[pass1] 002/199 session 788490510: 190 valid trials in 0.47s
[pass1] 003/199 session 792813858: 151 valid trials in 0.38s
[pass1] 004/199 session 792815735: 188 valid trials in 0.40s
[pass1] 005/199 session 794381992: 155 valid trials in 0.41s
[pass1] 006/199 session 795073741: 112 valid trials in 0.39s
[pass1] 007/199 session 795076128: 166 valid trials in 0.44s
[pass1] 008/199 session 796105304: 172 valid trials in 0.45s
[pass1] 009/199 session 796308505: 225 valid trials in 0.49s
[pass1] 010/199 session 803736273: 242 valid trials in 0.48s
[pass1] 011/199 session 805784331: 180 valid trials in 0.48s
[pass1] 012/199 session 806455766: 234 valid trials in 0.52s
[pass1] 013/199 session 807752719: 176 valid trials in 0.46s
[pass1] 014/199 session 807753334: 230 valid trials in 0.50s
[pass1] 015/199 session 808619543: 251 valid trials in 0.53s
[pass1] 016/199 session 808621034: 267 valid trials in 0.52s
[pass1] 017/199 session 808621958: 129 valid trials in 0.41s
[pass1] 018/199 session 809501118: 195 valid trials in 0.46s
[pass1] 019/199 session 813083478: 293 valid trials in 0.55s
[pass1] 020/199 session 817267785: 315 valid trials in 0.61s
[pass1] 021/199 session 820307518: 285 valid trials in 0.53s
[pass1] 022/199 session 822024770: 260 valid trials in 0.78s
[pass1] 023/199 session 822647135: 307 valid trials in 0.56s
[pass1] 024/199 session 823392290: 293 valid trials in 0.80s
[pass1] 025/199 session 825120601: 312 valid trials in 0.79s
[pass1] 026/199 session 825130141: 228 valid trials in 0.45s
[pass1] 027/199 session 826585773: 338 valid trials in 0.81s
[pass1] 028/199 session 826587940: 396 valid trials in 0.60s
[pass1] 029/199 session 830093338: 397 valid trials in 0.56s
[pass1] 030/199 session 830700781: 293 valid trials in 0.52s
[pass1] 031/199 session 832115263: 409 valid trials in 0.56s
[pass1] 032/199 session 833629926: 271 valid trials in 0.48s
[pass1] 033/199 session 834279496: 302 valid trials in 0.50s
[pass1] 034/199 session 835006071: 270 valid trials in 0.51s
[pass1] 035/199 session 836258936: 293 valid trials in 0.52s
[pass1] 036/199 session 836258957: 381 valid trials in 0.58s
[pass1] 037/199 session 842973730: 146 valid trials in 0.50s
[pass1] 038/199 session 842975542: 213 valid trials in 0.46s
[pass1] 039/199 session 844395446: 145 valid trials in 0.41s
[pass1] 040/199 session 845037476: 185 valid trials in 0.43s
[pass1] 041/199 session 846487947: 263 valid trials in 0.49s
[pass1] 042/199 session 847125577: 268 valid trials in 0.66s
[pass1] 043/199 session 848692970: 274 valid trials in 0.51s
[pass1] 044/199 session 848694639: 254 valid trials in 0.64s
[pass1] 045/199 session 848697604: 286 valid trials in 0.65s
[pass1] 046/199 session 848697625: 263 valid trials in 0.64s
[pass1] 047/199 session 850479305: 228 valid trials in 0.59s
[pass1] 048/199 session 850489605: 279 valid trials in 0.52s
[pass1] 049/199 session 851056106: 279 valid trials in 0.50s
[pass1] 050/199 session 851060467: 265 valid trials in 0.71s
[pass1] 051/199 session 852691524: 231 valid trials in 0.61s
[pass1] 052/199 session 853328115: 290 valid trials in 0.51s
[pass1] 053/199 session 853962951: 327 valid trials in 0.54s
[pass1] 054/199 session 853962969: 251 valid trials in 0.46s
[pass1] 055/199 session 855577488: 329 valid trials in 0.55s
[pass1] 056/199 session 856096766: 246 valid trials in 0.63s
[pass1] 057/199 session 856938751: 184 valid trials in 0.53s
[pass1] 058/199 session 857658471: 280 valid trials in 0.52s
[pass1] 059/199 session 857660011: 270 valid trials in 0.66s
[pass1] 060/199 session 859147033: 189 valid trials in 0.42s
[pass1] 061/199 session 862848066: 387 valid trials in 0.80s
