Found 202 local active experiment files
Pass 1: collecting global running/pupil statistics
[pass1 1/202] kept 775614751 trials=39 elapsed=0.44s
[pass1 2/202] kept 788490510 trials=190 elapsed=0.48s
[pass1 3/202] kept 792813858 trials=151 elapsed=0.48s
[pass1 4/202] kept 792815735 trials=188 elapsed=0.44s
[pass1 5/202] kept 794381992 trials=155 elapsed=0.56s
[pass1 6/202] kept 795073741 trials=112 elapsed=0.57s
[pass1 7/202] kept 795076128 trials=166 elapsed=0.57s
[pass1 8/202] skip 795953296: 'Missing EyeTracking acquisition'
[pass1 9/202] kept 796105304 trials=172 elapsed=0.50s
[pass1 10/202] kept 796308505 trials=225 elapsed=0.54s
[pass1 11/202] kept 803736273 trials=242 elapsed=0.40s
[pass1 12/202] kept 805784331 trials=180 elapsed=0.41s
[pass1 13/202] kept 806455766 trials=234 elapsed=0.51s
[pass1 14/202] skip 806456687: 'Missing EyeTracking acquisition'
[pass1 15/202] kept 807752719 trials=176 elapsed=0.44s
[pass1 16/202] kept 807753334 trials=230 elapsed=0.27s
[pass1 17/202] kept 808619543 trials=251 elapsed=0.52s
[pass1 18/202] kept 808621034 trials=267 elapsed=0.51s
[pass1 19/202] kept 808621958 trials=129 elapsed=0.51s
[pass1 20/202] kept 809501118 trials=195 elapsed=0.52s
[pass1 21/202] kept 813083478 trials=293 elapsed=0.36s
[pass1 22/202] kept 817267785 trials=315 elapsed=0.48s
[pass1 23/202] kept 820307518 trials=285 elapsed=0.53s
[pass1 24/202] kept 822024770 trials=260 elapsed=0.48s
[pass1 25/202] kept 822647135 trials=307 elapsed=0.59s
[pass1 26/202] kept 823392290 trials=293 elapsed=0.66s
[pass1 27/202] kept 825120601 trials=312 elapsed=0.60s
[pass1 28/202] kept 825130141 trials=228 elapsed=0.46s
[pass1 29/202] kept 826585773 trials=338 elapsed=0.49s
[pass1 30/202] kept 826587940 trials=396 elapsed=0.64s
[pass1 31/202] kept 830093338 trials=397 elapsed=0.42s
[pass1 32/202] kept 830700781 trials=293 elapsed=0.52s
[pass1 33/202] kept 832115263 trials=409 elapsed=0.56s
[pass1 34/202] kept 833629926 trials=271 elapsed=0.59s
[pass1 35/202] skip 833631914: 'Missing EyeTracking acquisition'
[pass1 36/202] kept 834279496 trials=302 elapsed=0.55s
[pass1 37/202] kept 835006071 trials=270 elapsed=0.54s
[pass1 38/202] kept 836258936 trials=293 elapsed=0.58s
[pass1 39/202] kept 836258957 trials=381 elapsed=0.41s
[pass1 40/202] kept 842973730 trials=146 elapsed=0.40s
[pass1 41/202] kept 842975542 trials=213 elapsed=0.50s
[pass1 42/202] kept 844395446 trials=145 elapsed=0.52s
[pass1 43/202] kept 845037476 trials=185 elapsed=0.33s
[pass1 44/202] kept 846487947 trials=263 elapsed=0.63s
[pass1 45/202] kept 847125577 trials=268 elapsed=0.56s
[pass1 46/202] kept 848692970 trials=274 elapsed=0.41s
