Found 284 NWB experiment files under /app/data/visual-behavior-ophys-1.1.0/behavior_ophys_experiments
Preview progress: 25/284 files, 25 eligible, 0 excluded
Preview progress: 50/284 files, 50 eligible, 0 excluded
Preview progress: 75/284 files, 73 eligible, 2 excluded
Preview progress: 100/284 files, 98 eligible, 2 excluded
Preview progress: 125/284 files, 122 eligible, 3 excluded
Preview progress: 150/284 files, 147 eligible, 3 excluded
Preview progress: 175/284 files, 172 eligible, 3 excluded
Preview progress: 200/284 files, 197 eligible, 3 excluded
Preview progress: 225/284 files, 222 eligible, 3 excluded
Preview progress: 250/284 files, 247 eligible, 3 excluded
Preview progress: 275/284 files, 272 eligible, 3 excluded
Preview progress: 284/284 files, 281 eligible, 3 excluded
Preview summary: 281 eligible sessions, 3 excluded sessions
Excluded reasons: {'missing_eye_tracking': 3}
Eligible trial count after filtering: 84313
Preview pass completed in 65.0s
Full mode selected: processing 281 sessions
Computed global running bin edges: [-0.022883586212992656, 0.11748083233833323, 10.039025878906255, 31.566884994506836]
Computed global pupil bin edges: [72.63418579101562, 83.37553405761719, 93.05465698242188, 104.90350341796875]
[1/281] experiment 1007107386: 365 trials, 13 neurons, 2s
[2/281] experiment 1007372463: 291 trials, 9 neurons, 2s
[3/281] experiment 1007929142: 405 trials, 10 neurons, 2s
[4/281] experiment 1008318518: 305 trials, 9 neurons, 2s
[5/281] experiment 1008738092: 403 trials, 10 neurons, 2s
[6/281] experiment 1009114207: 215 trials, 6 neurons, 1s
[7/281] experiment 1042387068: 229 trials, 22 neurons, 1s
[8/281] experiment 1042639868: 205 trials, 20 neurons, 1s
[9/281] experiment 1043218895: 407 trials, 11 neurons, 2s
[10/281] experiment 1043831389: 147 trials, 18 neurons, 1s
[11/281] experiment 1044095203: 338 trials, 18 neurons, 2s
[12/281] experiment 1044446322: 404 trials, 27 neurons, 2s
[13/281] experiment 1044678595: 162 trials, 16 neurons, 1s
[14/281] experiment 1050406399: 336 trials, 10 neurons, 2s
[15/281] experiment 1050720434: 403 trials, 9 neurons, 2s
[16/281] experiment 1051009897: 230 trials, 8 neurons, 1s
[17/281] experiment 1051217227: 334 trials, 7 neurons, 2s
[18/281] experiment 1051423446: 317 trials, 7 neurons, 2s
[19/281] experiment 1051989532: 408 trials, 9 neurons, 2s
[20/281] experiment 1052391266: 349 trials, 10 neurons, 2s
[21/281] experiment 1052609309: 314 trials, 18 neurons, 2s
[22/281] experiment 1053605418: 354 trials, 36 neurons, 2s
[23/281] experiment 1053774037: 408 trials, 18 neurons, 2s
[24/281] experiment 1053997501: 319 trials, 13 neurons, 2s
[25/281] experiment 1054266228: 409 trials, 10 neurons, 2s
[26/281] experiment 1054813047: 319 trials, 37 neurons, 2s
[27/281] experiment 1065523118: 318 trials, 30 neurons, 2s
[28/281] experiment 1065523124: 95 trials, 20 neurons, 1s
[29/281] experiment 1065966776: 180 trials, 21 neurons, 1s
[30/281] experiment 1066177684: 404 trials, 40 neurons, 2s
[31/281] experiment 1067133170: 286 trials, 29 neurons, 2s
