Data format warnings:
  - Session 0, trial 108: all neural data is zero
  - Session 0, trial 140: all neural data is zero
  - Session 0, trial 162: all neural data is zero
  - Session 0, trial 163: all neural data is zero
  - Session 0, trial 183: all neural data is zero
  - Session 0, trial 255: all neural data is zero
  - Session 0, trial 342: all neural data is zero
  - Session 1, trial 10: all neural data is zero
  - Session 1, trial 40: all neural data is zero
  - Session 1, trial 237: all neural data is zero
  - Session 1, trial 261: all neural data is zero
  - Session 1, trial 263: all neural data is zero
  - Session 1, trial 279: all neural data is zero
  - Session 1, trial 289: all neural data is zero
  - Session 2, trial 22: all neural data is zero
  - Session 2, trial 23: all neural data is zero
  - Session 2, trial 24: all neural data is zero
  - Session 2, trial 76: all neural data is zero
  - Session 2, trial 87: all neural data is zero
  - Session 2, trial 285: all neural data is zero
  - Session 3, trial 18: all neural data is zero
  - Session 3, trial 26: all neural data is zero
  - Session 3, trial 29: all neural data is zero
  - Session 3, trial 42: all neural data is zero
  - Session 3, trial 64: all neural data is zero
  - Session 3, trial 96: all neural data is zero
  - Session 3, trial 97: all neural data is zero
  - Session 3, trial 126: all neural data is zero
  - Session 3, trial 127: all neural data is zero
  - Session 3, trial 204: all neural data is zero
  - Session 3, trial 215: all neural data is zero
  - Session 3, trial 221: all neural data is zero
  - Session 3, trial 246: all neural data is zero
  - Session 4, trial 9: all neural data is zero
  - Session 4, trial 32: all neural data is zero
  - Session 4, trial 44: all neural data is zero
  - Session 4, trial 55: all neural data is zero
  - Session 4, trial 72: all neural data is zero
  - Session 4, trial 77: all neural data is zero
  - Session 4, trial 91: all neural data is zero
  - Session 4, trial 93: all neural data is zero
  - Session 4, trial 95: all neural data is zero
  - Session 4, trial 100: all neural data is zero
  - Session 4, trial 105: all neural data is zero
  - Session 4, trial 125: all neural data is zero
  - Session 4, trial 133: all neural data is zero
  - Session 4, trial 141: all neural data is zero
  - Session 4, trial 148: all neural data is zero
  - Session 4, trial 162: all neural data is zero
  - Session 4, trial 163: all neural data is zero
  - Session 4, trial 168: all neural data is zero
  - Session 4, trial 171: all neural data is zero
  - Session 4, trial 173: all neural data is zero
  - Session 4, trial 193: all neural data is zero
  - Session 4, trial 198: all neural data is zero
  - Session 4, trial 204: all neural data is zero
  - Session 4, trial 206: all neural data is zero
  - Session 4, trial 207: all neural data is zero
  - Session 4, trial 219: all neural data is zero
  - Session 4, trial 265: all neural data is zero
  - Session 4, trial 277: all neural data is zero
  - Session 4, trial 282: all neural data is zero
  - Session 4, trial 286: all neural data is zero
  - Session 4, trial 287: all neural data is zero
  - Session 4, trial 288: all neural data is zero
  - Session 4, trial 295: all neural data is zero
  - Session 4, trial 310: all neural data is zero
  - Session 4, trial 322: all neural data is zero
  - Session 4, trial 330: all neural data is zero
  - Session 4, trial 334: all neural data is zero
  - Session 4, trial 346: all neural data is zero
  - Session 4, trial 374: all neural data is zero
  - Session 4, trial 375: all neural data is zero
  - Session 4, trial 382: all neural data is zero
  - Session 4, trial 387: all neural data is zero
  - Session 4, trial 393: all neural data is zero
  - Session 4, trial 396: all neural data is zero
  - Session 4, trial 397: all neural data is zero
  - Session 5, trial 28: all neural data is zero
  - Session 5, trial 54: all neural data is zero
  - Session 5, trial 128: all neural data is zero
  - Session 5, trial 132: all neural data is zero
  - Session 5, trial 201: all neural data is zero
  - Session 6, trial 6: all neural data is zero
  - Session 6, trial 51: all neural data is zero
  - Session 6, trial 71: all neural data is zero
  - Session 6, trial 72: all neural data is zero
  - Session 6, trial 76: all neural data is zero
  - Session 6, trial 90: all neural data is zero
  - Session 6, trial 108: all neural data is zero
  - Session 6, trial 111: all neural data is zero
  - Session 6, trial 116: all neural data is zero
  - Session 6, trial 123: all neural data is zero
  - Session 6, trial 124: all neural data is zero
  - Session 6, trial 125: all neural data is zero
  - Session 6, trial 132: all neural data is zero
  - Session 6, trial 136: all neural data is zero
  - Session 6, trial 145: all neural data is zero
  - Session 6, trial 172: all neural data is zero
  - Session 6, trial 176: all neural data is zero
  - Session 6, trial 190: all neural data is zero
  - Session 6, trial 194: all neural data is zero
  - Session 6, trial 195: all neural data is zero
  - Session 6, trial 205: all neural data is zero
  - Session 7, trial 42: all neural data is zero
  - Session 7, trial 46: all neural data is zero
  - Session 7, trial 48: all neural data is zero
  - Session 7, trial 64: all neural data is zero
  - Session 7, trial 92: all neural data is zero
  - Session 7, trial 99: all neural data is zero
  - Session 7, trial 111: all neural data is zero
  - Session 7, trial 130: all neural data is zero
  - Session 7, trial 131: all neural data is zero
  - Session 7, trial 151: all neural data is zero
  - Session 7, trial 168: all neural data is zero
  - Session 7, trial 170: all neural data is zero
  - Session 8, trial 14: all neural data is zero
  - Session 8, trial 28: all neural data is zero
  - Session 8, trial 34: all neural data is zero
  - Session 8, trial 40: all neural data is zero
  - Session 8, trial 44: all neural data is zero
  - Session 8, trial 48: all neural data is zero
  - Session 8, trial 49: all neural data is zero
  - Session 8, trial 53: all neural data is zero
  - Session 8, trial 69: all neural data is zero
  - Session 8, trial 70: all neural data is zero
  - Session 8, trial 71: all neural data is zero
  - Session 8, trial 96: all neural data is zero
  - Session 8, trial 98: all neural data is zero
  - Session 8, trial 105: all neural data is zero
  - Session 8, trial 106: all neural data is zero
  - Session 8, trial 111: all neural data is zero
  - Session 8, trial 129: all neural data is zero
  - Session 8, trial 135: all neural data is zero
  - Session 8, trial 137: all neural data is zero
  - Session 8, trial 139: all neural data is zero
  - Session 8, trial 141: all neural data is zero
  - Session 8, trial 142: all neural data is zero
  - Session 8, trial 159: all neural data is zero
  - Session 8, trial 160: all neural data is zero
  - Session 8, trial 164: all neural data is zero
  - Session 8, trial 165: all neural data is zero
  - Session 8, trial 210: all neural data is zero
  - Session 8, trial 211: all neural data is zero
  - Session 8, trial 215: all neural data is zero
  - Session 8, trial 235: all neural data is zero
  - Session 8, trial 238: all neural data is zero
  - Session 8, trial 247: all neural data is zero
  - Session 8, trial 257: all neural data is zero
  - Session 8, trial 266: all neural data is zero
  - Session 8, trial 270: all neural data is zero
  - Session 8, trial 281: all neural data is zero
  - Session 8, trial 282: all neural data is zero
  - Session 8, trial 283: all neural data is zero
  - Session 8, trial 288: all neural data is zero
  - Session 8, trial 290: all neural data is zero
  - Session 8, trial 291: all neural data is zero
  - Session 8, trial 296: all neural data is zero
  - Session 8, trial 302: all neural data is zero
  - Session 8, trial 303: all neural data is zero
  - Session 8, trial 327: all neural data is zero
  - Session 8, trial 336: all neural data is zero
  - Session 8, trial 340: all neural data is zero
  - Session 8, trial 361: all neural data is zero
  - Session 8, trial 362: all neural data is zero
  - Session 8, trial 363: all neural data is zero
  - Session 8, trial 368: all neural data is zero
  - Session 8, trial 371: all neural data is zero
  - Session 8, trial 372: all neural data is zero
  - Session 8, trial 389: all neural data is zero
  - Session 8, trial 402: all neural data is zero
  - Session 8, trial 406: all neural data is zero
  - Session 9, trial 17: all neural data is zero
  - Session 9, trial 22: all neural data is zero
  - Session 9, trial 47: all neural data is zero
  - Session 9, trial 78: all neural data is zero
  - Session 9, trial 92: all neural data is zero
  - Session 9, trial 98: all neural data is zero
  - Session 9, trial 101: all neural data is zero
  - Session 9, trial 115: all neural data is zero
  - Session 10, trial 3: all neural data is zero
  - Session 10, trial 5: all neural data is zero
  - Session 10, trial 7: all neural data is zero
  - Session 10, trial 8: all neural data is zero
  - Session 10, trial 9: all neural data is zero
  - Session 10, trial 13: all neural data is zero
  - Session 10, trial 14: all neural data is zero
  - Session 10, trial 15: all neural data is zero
  - Session 10, trial 29: all neural data is zero
  - Session 10, trial 47: all neural data is zero
  - Session 10, trial 48: all neural data is zero
  - Session 10, trial 75: all neural data is zero
  - Session 10, trial 85: all neural data is zero
  - Session 10, trial 87: all neural data is zero
  - Session 10, trial 104: all neural data is zero
  - Session 10, trial 110: all neural data is zero
  - Session 10, trial 111: all neural data is zero
  - Session 10, trial 112: all neural data is zero
  - Session 10, trial 116: all neural data is zero
  - Session 10, trial 117: all neural data is zero
  - Session 10, trial 122: all neural data is zero
  - Session 10, trial 124: all neural data is zero
  - Session 10, trial 127: all neural data is zero
  - Session 10, trial 130: all neural data is zero
  - Session 10, trial 138: all neural data is zero
  - Session 10, trial 140: all neural data is zero
  - Session 10, trial 142: all neural data is zero
  - Session 10, trial 152: all neural data is zero
  - Session 10, trial 169: all neural data is zero
  - Session 10, trial 170: all neural data is zero
  - Session 10, trial 173: all neural data is zero
  - Session 10, trial 180: all neural data is zero
  - Session 10, trial 185: all neural data is zero
  - Session 10, trial 187: all neural data is zero
  - Session 10, trial 205: all neural data is zero
  - Session 10, trial 214: all neural data is zero
  - Session 10, trial 220: all neural data is zero
  - Session 10, trial 224: all neural data is zero
  - Session 10, trial 225: all neural data is zero
  - Session 10, trial 231: all neural data is zero
  - Session 10, trial 232: all neural data is zero
  - Session 10, trial 246: all neural data is zero
  - Session 10, trial 247: all neural data is zero
  - Session 10, trial 248: all neural data is zero
  - Session 10, trial 251: all neural data is zero
  - Session 10, trial 258: all neural data is zero
  - Session 10, trial 267: all neural data is zero
  - Session 10, trial 281: all neural data is zero
  - Session 10, trial 284: all neural data is zero
  - Session 10, trial 294: all neural data is zero
  - Session 10, trial 302: all neural data is zero
  - Session 10, trial 304: all neural data is zero
  - Session 10, trial 315: all neural data is zero
  - Session 10, trial 316: all neural data is zero
  - Session 10, trial 325: all neural data is zero
  - Session 10, trial 328: all neural data is zero
  - Session 10, trial 331: all neural data is zero
  - Session 10, trial 332: all neural data is zero
  - Session 10, trial 334: all neural data is zero
  - Session 11, trial 85: all neural data is zero
  - Session 11, trial 96: all neural data is zero
  - Session 11, trial 159: all neural data is zero
  - Session 11, trial 210: all neural data is zero
  - Session 11, trial 252: all neural data is zero
  - Session 11, trial 318: all neural data is zero
  - Session 11, trial 319: all neural data is zero
  - Session 11, trial 350: all neural data is zero
  - Session 11, trial 393: all neural data is zero
  - Session 11, trial 395: all neural data is zero
  - Session 11, trial 400: all neural data is zero
  - Session 12, trial 27: all neural data is zero
  - Session 12, trial 44: all neural data is zero
  - Session 12, trial 67: all neural data is zero
  - Session 12, trial 91: all neural data is zero
  - Session 12, trial 98: all neural data is zero
  - Session 12, trial 99: all neural data is zero
  - Session 12, trial 121: all neural data is zero
  - Session 12, trial 125: all neural data is zero
  - Session 12, trial 134: all neural data is zero
  - Session 12, trial 135: all neural data is zero
  - Session 13, trial 54: all neural data is zero
  - Session 13, trial 90: all neural data is zero
  - Session 13, trial 129: all neural data is zero
  - Session 13, trial 194: all neural data is zero
  - Session 13, trial 223: all neural data is zero
  - Session 13, trial 310: all neural data is zero
  - Session 13, trial 311: all neural data is zero
  - Session 13, trial 312: all neural data is zero
  - Session 13, trial 313: all neural data is zero
  - Session 13, trial 321: all neural data is zero
  - Session 14, trial 18: all neural data is zero
  - Session 14, trial 62: all neural data is zero
  - Session 14, trial 163: all neural data is zero
  - Session 14, trial 183: all neural data is zero
  - Session 14, trial 187: all neural data is zero
  - Session 14, trial 251: all neural data is zero
