Data format warnings:
  - Session 4, trial 2: all neural data is zero
  - Session 4, trial 3: all neural data is zero
  - Session 4, trial 4: all neural data is zero
  - Session 4, trial 21: all neural data is zero
  - Session 4, trial 23: all neural data is zero
  - Session 4, trial 25: all neural data is zero
  - Session 4, trial 27: all neural data is zero
  - Session 4, trial 39: all neural data is zero
  - Session 4, trial 58: all neural data is zero
  - Session 4, trial 60: all neural data is zero
  - Session 4, trial 61: all neural data is zero
  - Session 4, trial 62: all neural data is zero
  - Session 4, trial 67: all neural data is zero
  - Session 4, trial 68: all neural data is zero
  - Session 4, trial 75: all neural data is zero
  - Session 4, trial 78: all neural data is zero
  - Session 4, trial 83: all neural data is zero
  - Session 4, trial 91: all neural data is zero
  - Session 4, trial 102: all neural data is zero
  - Session 4, trial 103: all neural data is zero
  - Session 4, trial 116: all neural data is zero
  - Session 4, trial 124: all neural data is zero
  - Session 4, trial 137: all neural data is zero
  - Session 4, trial 138: all neural data is zero
  - Session 4, trial 139: all neural data is zero
  - Session 4, trial 154: all neural data is zero
  - Session 4, trial 165: all neural data is zero
  - Session 4, trial 168: all neural data is zero
  - Session 4, trial 171: all neural data is zero
  - Session 4, trial 176: all neural data is zero
  - Session 4, trial 177: all neural data is zero
  - Session 4, trial 179: all neural data is zero
  - Session 6, trial 0: all neural data is zero
  - Session 6, trial 1: all neural data is zero
  - Session 6, trial 8: all neural data is zero
  - Session 6, trial 33: all neural data is zero
  - Session 6, trial 45: all neural data is zero
  - Session 6, trial 46: all neural data is zero
  - Session 6, trial 53: all neural data is zero
  - Session 6, trial 55: all neural data is zero
  - Session 6, trial 70: all neural data is zero
  - Session 6, trial 76: all neural data is zero
  - Session 6, trial 97: all neural data is zero
  - Session 11, trial 51: all neural data is zero
  - Session 11, trial 90: all neural data is zero
  - Session 11, trial 91: all neural data is zero
  - Session 11, trial 92: all neural data is zero
  - Session 11, trial 99: all neural data is zero
  - Session 11, trial 112: all neural data is zero
  - Session 11, trial 119: all neural data is zero
  - Session 11, trial 121: all neural data is zero
  - Session 11, trial 132: all neural data is zero
  - Session 11, trial 146: all neural data is zero
  - Session 11, trial 213: all neural data is zero
  - Session 11, trial 275: all neural data is zero
  - Session 11, trial 304: all neural data is zero
  - Session 11, trial 314: all neural data is zero
  - Session 11, trial 340: all neural data is zero
  - Session 11, trial 366: all neural data is zero
  - Session 11, trial 373: all neural data is zero
  - Session 11, trial 375: all neural data is zero
  - Session 11, trial 385: all neural data is zero
  - Session 12, trial 18: all neural data is zero
  - Session 12, trial 71: all neural data is zero
  - Session 12, trial 107: all neural data is zero
  - Session 12, trial 108: all neural data is zero
  - Session 12, trial 109: all neural data is zero
  - Session 12, trial 153: all neural data is zero
  - Session 12, trial 171: all neural data is zero
  - Session 12, trial 175: all neural data is zero
  - Session 12, trial 178: all neural data is zero
  - Session 12, trial 179: all neural data is zero
  - Session 12, trial 183: all neural data is zero
  - Session 12, trial 204: all neural data is zero
  - Session 12, trial 210: all neural data is zero
  - Session 12, trial 213: all neural data is zero
  - Session 14, trial 6: all neural data is zero
  - Session 14, trial 21: all neural data is zero
  - Session 14, trial 36: all neural data is zero
  - Session 14, trial 65: all neural data is zero
  - Session 14, trial 69: all neural data is zero
  - Session 14, trial 76: all neural data is zero
  - Session 14, trial 99: all neural data is zero
  - Session 14, trial 104: all neural data is zero
  - Session 14, trial 145: all neural data is zero
  - Session 14, trial 146: all neural data is zero
  - Session 14, trial 151: all neural data is zero
  - Session 14, trial 163: all neural data is zero
  - Session 14, trial 179: all neural data is zero
  - Session 14, trial 180: all neural data is zero
  - Session 14, trial 184: all neural data is zero
  - Session 14, trial 189: all neural data is zero
  - Session 14, trial 191: all neural data is zero
  - Session 14, trial 226: all neural data is zero
  - Session 14, trial 233: all neural data is zero
  - Session 14, trial 267: all neural data is zero
  - Session 14, trial 314: all neural data is zero
  - Session 14, trial 324: all neural data is zero
  - Session 14, trial 340: all neural data is zero
  - Session 14, trial 398: all neural data is zero
  - Session 14, trial 401: all neural data is zero
  - Session 15, trial 1: all neural data is zero
  - Session 15, trial 5: all neural data is zero
  - Session 15, trial 6: all neural data is zero
  - Session 15, trial 9: all neural data is zero
  - Session 15, trial 10: all neural data is zero
  - Session 15, trial 29: all neural data is zero
  - Session 15, trial 31: all neural data is zero
  - Session 15, trial 40: all neural data is zero
  - Session 15, trial 44: all neural data is zero
  - Session 15, trial 46: all neural data is zero
  - Session 15, trial 48: all neural data is zero
  - Session 15, trial 57: all neural data is zero
  - Session 15, trial 59: all neural data is zero
  - Session 15, trial 61: all neural data is zero
  - Session 15, trial 63: all neural data is zero
  - Session 15, trial 82: all neural data is zero
  - Session 15, trial 83: all neural data is zero
  - Session 15, trial 88: all neural data is zero
  - Session 15, trial 103: all neural data is zero
  - Session 15, trial 105: all neural data is zero
  - Session 15, trial 112: all neural data is zero
  - Session 15, trial 114: all neural data is zero
  - Session 15, trial 123: all neural data is zero
  - Session 15, trial 125: all neural data is zero
  - Session 15, trial 126: all neural data is zero
  - Session 15, trial 127: all neural data is zero
  - Session 15, trial 128: all neural data is zero
  - Session 15, trial 131: all neural data is zero
  - Session 15, trial 132: all neural data is zero
  - Session 15, trial 138: all neural data is zero
  - Session 15, trial 141: all neural data is zero
  - Session 15, trial 148: all neural data is zero
  - Session 15, trial 158: all neural data is zero
  - Session 15, trial 172: all neural data is zero
  - Session 15, trial 176: all neural data is zero
  - Session 15, trial 178: all neural data is zero
  - Session 15, trial 181: all neural data is zero
  - Session 15, trial 183: all neural data is zero
  - Session 15, trial 189: all neural data is zero
  - Session 15, trial 190: all neural data is zero
