174 sessions to process (202 imaging planes)
  session 829521794: 1 plane(s), 22 neurons, 397 trials (dropped 0), 3.0s
  session 803223329: 1 plane(s), 39 neurons, 242 trials (dropped 0), 3.3s
  session 808092249: 1 plane(s), 46 neurons, 129 trials (dropped 0), 3.3s
  session 831761261: 1 plane(s), 20 neurons, 409 trials (dropped 0), 3.6s
  session 775289198: 1 plane(s), 89 neurons, 39 trials (dropped 0), 4.1s
  session 794918442: 1 plane(s), 45 neurons, 112 trials (dropped 0), 4.2s
  session 819949602: 1 plane(s), 122 neurons, 285 trials (dropped 0), 4.7s
  session 835796136: 1 plane(s), 143 neurons, 293 trials (dropped 0), 5.1s
  session 834887125: 1 plane(s), 146 neurons, 270 trials (dropped 0), 5.2s
  session 848143026: 1 plane(s), 188 neurons, 286 trials (dropped 0), 5.4s
  session 807208045: 1 plane(s), 194 neurons, 176 trials (dropped 0), 5.5s
  session 822388759: 1 plane(s), 167 neurons, 307 trials (dropped 0), 5.5s
  session 796019065: 1 plane(s), 190 neurons, 172 trials (dropped 0), 5.7s
  session 833002992: 1 plane(s), 161 neurons, 271 trials (dropped 0), 5.7s
  session 805989030: DROPPED (no eye tracking data)
  session 793857113: 1 plane(s), 199 neurons, 155 trials (dropped 0), 6.0s
  session 792327341: 1 plane(s), 208 neurons, 151 trials (dropped 0), 6.0s
  session 812802821: 1 plane(s), 212 neurons, 293 trials (dropped 0), 6.2s
  session 832881662: DROPPED (no eye tracking data)
  session 805269503: 1 plane(s), 22 neurons, 180 trials (dropped 0), 3.1s
  session 808340530: 1 plane(s), 302 neurons, 267 trials (dropped 0), 6.9s
  session 795625712: DROPPED (no eye tracking data)
  session 830272668: 1 plane(s), 157 neurons, 293 trials (dropped 0), 4.8s
  session 808107961: 1 plane(s), 196 neurons, 251 trials (dropped 0), 4.5s
  session 835795999: 1 plane(s), 13 neurons, 381 trials (dropped 0), 2.8s
  session 842752650: 1 plane(s), 429 neurons, 213 trials (dropped 0), 8.0s
  session 787661032: 1 plane(s), 142 neurons, 190 trials (dropped 0), 4.4s
  session 824433631: 1 plane(s), 504 neurons, 312 trials (dropped 0), 8.4s
  session 796236521: 1 plane(s), 49 neurons, 225 trials (dropped 0), 3.1s
  session 825682144: 1 plane(s), 483 neurons, 338 trials (dropped 0), 8.9s
  session 792619807: 1 plane(s), 27 neurons, 188 trials (dropped 0), 3.1s
  session 842583486: 1 plane(s), 136 neurons, 146 trials (dropped 0), 4.1s
  session 844465368: 1 plane(s), 556 neurons, 185 trials (dropped 0), 9.7s
  session 833812106: 1 plane(s), 162 neurons, 302 trials (dropped 0), 4.1s
  session 848253761: 1 plane(s), 209 neurons, 274 trials (dropped 0), 4.6s
  session 848264483: 1 plane(s), 123 neurons, 263 trials (dropped 0), 3.9s
  session 845840207: 1 plane(s), 537 neurons, 263 trials (dropped 0), 10.2s
  session 817101568: 1 plane(s), 164 neurons, 315 trials (dropped 0), 4.3s
  session 807393193: 1 plane(s), 286 neurons, 230 trials (dropped 0), 5.2s
  session 806203732: 1 plane(s), 251 neurons, 234 trials (dropped 0), 5.0s
  session 794474159: 1 plane(s), 221 neurons, 166 trials (dropped 0), 5.0s
  session 853773937: 1 plane(s), 49 neurons, 327 trials (dropped 0), 3.4s
  session 821471625: 1 plane(s), 436 neurons, 260 trials (dropped 0), 6.8s
  session 852794147: 1 plane(s), 64 neurons, 290 trials (dropped 0), 3.6s
  session 809393834: 1 plane(s), 200 neurons, 195 trials (dropped 0), 4.8s
  session 849600749: 1 plane(s), 242 neurons, 279 trials (dropped 0), 5.2s
  session 825682242: 1 plane(s), 29 neurons, 396 trials (dropped 0), 2.9s
  session 857202651: 1 plane(s), 63 neurons, 280 trials (dropped 0), 3.4s
  session 850959798: 1 plane(s), 233 neurons, 279 trials (dropped 0), 5.1s
  session 822734832: 1 plane(s), 410 neurons, 293 trials (dropped 0), 6.5s
  session 855762043: 1 plane(s), 151 neurons, 246 trials (dropped 0), 4.3s
  session 858863712: 1 plane(s), 108 neurons, 189 trials (dropped 0), 3.6s
  session 824745199: 1 plane(s), 110 neurons, 228 trials (dropped 0), 3.9s
  session 845219209: 1 plane(s), 48 neurons, 254 trials (dropped 0), 3.2s
  session 871606557: 1 plane(s), 98 neurons, 189 trials (dropped 0), 3.9s
  session 863981645: 1 plane(s), 175 neurons, 378 trials (dropped 0), 4.3s
  session 872551435: 1 plane(s), 77 neurons, 200 trials (dropped 0), 3.7s
  session 877946125: 1 plane(s), 52 neurons, 200 trials (dropped 0), 3.2s
  session 849597937: 1 plane(s), 120 neurons, 228 trials (dropped 0), 4.1s
  session 878918807: 1 plane(s), 83 neurons, 252 trials (dropped 0), 3.5s
  session 843871375: 1 plane(s), 426 neurons, 145 trials (dropped 0), 6.6s
  session 846599329: 1 plane(s), 151 neurons, 268 trials (dropped 0), 4.5s
  session 884359468: 1 plane(s), 81 neurons, 206 trials (dropped 0), 3.2s
  session 855333357: 1 plane(s), 62 neurons, 329 trials (dropped 0), 3.7s
  session 880753403: 1 plane(s), 98 neurons, 230 trials (dropped 0), 4.1s
  session 888190799: 1 plane(s), 85 neurons, 149 trials (dropped 0), 3.3s
  session 850959102: 1 plane(s), 125 neurons, 265 trials (dropped 0), 4.0s
  session 889179793: 1 plane(s), 83 neurons, 186 trials (dropped 0), 3.7s
  session 852326785: 1 plane(s), 127 neurons, 231 trials (dropped 0), 4.1s
  session 853416014: 1 plane(s), 209 neurons, 251 trials (dropped 0), 4.9s
  session 857232455: 1 plane(s), 171 neurons, 270 trials (dropped 0), 4.5s
  session 860331718: 1 plane(s), 156 neurons, 387 trials (dropped 0), 4.3s
  session 870377774: 1 plane(s), 65 neurons, 267 trials (dropped 0), 3.2s
  session 891465652: 1 plane(s), 115 neurons, 380 trials (dropped 0), 3.7s
  session 889235128: 1 plane(s), 164 neurons, 339 trials (dropped 0), 4.3s
  session 856295914: 1 plane(s), 184 neurons, 184 trials (dropped 0), 4.8s
  session 873542787: 1 plane(s), 85 neurons, 215 trials (dropped 0), 3.5s
  session 877497698: 1 plane(s), 469 neurons, 372 trials (dropped 0), 7.9s
  session 892423647: 1 plane(s), 134 neurons, 356 trials (dropped 0), 4.4s
  session 937364655: 1 plane(s), 18 neurons, 79 trials (dropped 0), 3.0s
  session 882620042: 1 plane(s), 463 neurons, 291 trials (dropped 0), 7.8s
  session 946951902: 1 plane(s), 12 neurons, 105 trials (dropped 0), 2.7s
  session 873653940: 1 plane(s), 604 neurons, 279 trials (dropped 0), 9.2s
  session 944810835: 1 plane(s), 9 neurons, 81 trials (dropped 0), 2.8s
  session 934576432: 1 plane(s), 197 neurons, 300 trials (dropped 0), 4.5s
  session 893937838: 1 plane(s), 245 neurons, 205 trials (dropped 0), 5.1s
  session 948090163: 1 plane(s), 14 neurons, 117 trials (dropped 0), 2.7s
