loading project metadata ...
  284 experiments available locally (of 1936 in the release)
  202 active experiments (174 sessions, 38 mice) after removing passive sessions
converting 174 sessions with 16 workers ...
  [1/174] session 795625712 no eye tracking (3s elapsed, 3.4s/session, eta 589s)
  [2/174] session 803223329 ok (4s elapsed, 2.0s/session, eta 340s)
  [3/174] session 805269503 ok (4s elapsed, 1.4s/session, eta 236s)
  [4/174] session 792619807 ok (4s elapsed, 1.1s/session, eta 181s)
  [5/174] session 796236521 ok (5s elapsed, 0.9s/session, eta 158s)
  [6/174] session 794918442 ok (5s elapsed, 0.8s/session, eta 133s)
  [7/174] session 775289198 ok (5s elapsed, 0.7s/session, eta 116s)
  [8/174] session 805989030 no eye tracking (6s elapsed, 0.7s/session, eta 120s)
  [9/174] session 787661032 ok (6s elapsed, 0.7s/session, eta 112s)
  [10/174] session 792327341 ok (6s elapsed, 0.6s/session, eta 100s)
  [11/174] session 807208045 ok (6s elapsed, 0.6s/session, eta 91s)
  [12/174] session 793857113 ok (6s elapsed, 0.5s/session, eta 83s)
  [13/174] session 806203732 ok (6s elapsed, 0.5s/session, eta 79s)
  [14/174] session 796019065 ok (6s elapsed, 0.5s/session, eta 74s)
  [15/174] session 794474159 ok (7s elapsed, 0.4s/session, eta 71s)
  [16/174] session 807393193 ok (7s elapsed, 0.4s/session, eta 70s)
  [17/174] session 808092249 ok (7s elapsed, 0.4s/session, eta 69s)
  [18/174] session 808107961 ok (9s elapsed, 0.5s/session, eta 82s)
  [19/174] session 819949602 ok (10s elapsed, 0.5s/session, eta 78s)
  [20/174] session 809393834 ok (10s elapsed, 0.5s/session, eta 75s)
  [21/174] session 817101568 ok (10s elapsed, 0.5s/session, eta 74s)
  [22/174] session 825682242 ok (10s elapsed, 0.5s/session, eta 71s)
  [23/174] session 812802821 ok (10s elapsed, 0.4s/session, eta 68s)
  [24/174] session 808340530 ok (10s elapsed, 0.4s/session, eta 65s)
  [25/174] session 829521794 ok (11s elapsed, 0.4s/session, eta 63s)
  [26/174] session 824745199 ok (11s elapsed, 0.4s/session, eta 61s)
  [27/174] session 831761261 ok (11s elapsed, 0.4s/session, eta 60s)
  [28/174] session 822388759 ok (11s elapsed, 0.4s/session, eta 59s)
  [29/174] session 830272668 ok (12s elapsed, 0.4s/session, eta 60s)
  [30/174] session 832881662 no eye tracking (13s elapsed, 0.4s/session, eta 60s)
  [31/174] session 821471625 ok (14s elapsed, 0.4s/session, eta 63s)
  [32/174] session 835795999 ok (14s elapsed, 0.4s/session, eta 61s)
  [33/174] session 822734832 ok (14s elapsed, 0.4s/session, eta 60s)
  [34/174] session 833002992 ok (14s elapsed, 0.4s/session, eta 60s)
  [35/174] session 825682144 ok (15s elapsed, 0.4s/session, eta 58s)
  [36/174] session 833812106 ok (15s elapsed, 0.4s/session, eta 56s)
  [37/174] session 834887125 ok (15s elapsed, 0.4s/session, eta 55s)
  [38/174] session 835796136 ok (15s elapsed, 0.4s/session, eta 54s)
  [39/174] session 824433631 ok (15s elapsed, 0.4s/session, eta 52s)
  [40/174] session 845219209 ok (15s elapsed, 0.4s/session, eta 51s)
  [41/174] session 842583486 ok (15s elapsed, 0.4s/session, eta 50s)
  [42/174] session 846599329 ok (18s elapsed, 0.4s/session, eta 55s)
  [43/174] session 842752650 ok (18s elapsed, 0.4s/session, eta 54s)
  [44/174] session 843871375 ok (18s elapsed, 0.4s/session, eta 54s)
  [45/174] session 848264483 ok (19s elapsed, 0.4s/session, eta 53s)
  [46/174] session 849597937 ok (19s elapsed, 0.4s/session, eta 53s)
  [47/174] session 848143026 ok (19s elapsed, 0.4s/session, eta 51s)
  [48/174] session 852794147 ok (19s elapsed, 0.4s/session, eta 51s)
  [49/174] session 848253761 ok (19s elapsed, 0.4s/session, eta 49s)
  [50/174] session 853773937 ok (19s elapsed, 0.4s/session, eta 48s)
  [51/174] session 850959102 ok (19s elapsed, 0.4s/session, eta 47s)
  [52/174] session 844465368 ok (20s elapsed, 0.4s/session, eta 46s)
  [53/174] session 852326785 ok (20s elapsed, 0.4s/session, eta 45s)
  [54/174] session 849600749 ok (20s elapsed, 0.4s/session, eta 45s)
  [55/174] session 845840207 ok (21s elapsed, 0.4s/session, eta 44s)
  [56/174] session 853416014 ok (21s elapsed, 0.4s/session, eta 44s)
  [57/174] session 850959798 ok (21s elapsed, 0.4s/session, eta 43s)
  [58/174] session 855333357 ok (22s elapsed, 0.4s/session, eta 43s)
  [59/174] session 857202651 ok (23s elapsed, 0.4s/session, eta 44s)
  [60/174] session 855762043 ok (23s elapsed, 0.4s/session, eta 44s)
  [61/174] session 856295914 ok (23s elapsed, 0.4s/session, eta 43s)
  [62/174] session 858863712 ok (23s elapsed, 0.4s/session, eta 42s)
  [63/174] session 870377774 ok (24s elapsed, 0.4s/session, eta 42s)
  [64/174] session 871606557 ok (24s elapsed, 0.4s/session, eta 41s)
  [65/174] session 872551435 ok (24s elapsed, 0.4s/session, eta 40s)
  [66/174] session 857232455 ok (24s elapsed, 0.4s/session, eta 39s)
  [67/174] session 860331718 ok (24s elapsed, 0.4s/session, eta 39s)
  [68/174] session 873542787 ok (25s elapsed, 0.4s/session, eta 39s)
  [69/174] session 863981645 ok (25s elapsed, 0.4s/session, eta 38s)
  [70/174] session 877946125 ok (27s elapsed, 0.4s/session, eta 40s)
  [71/174] session 878918807 ok (28s elapsed, 0.4s/session, eta 40s)
  [72/174] session 880753403 ok (28s elapsed, 0.4s/session, eta 40s)
  [73/174] session 884359468 ok (28s elapsed, 0.4s/session, eta 39s)
  [74/174] session 872551243 ok (29s elapsed, 0.4s/session, eta 39s)
  [75/174] session 877497698 ok (29s elapsed, 0.4s/session, eta 38s)
  [76/174] session 888190799 ok (29s elapsed, 0.4s/session, eta 38s)
  [77/174] session 877907546 ok (30s elapsed, 0.4s/session, eta 38s)
  [78/174] session 878436988 ok (31s elapsed, 0.4s/session, eta 38s)
  [79/174] session 873653940 ok (31s elapsed, 0.4s/session, eta 37s)
  [80/174] session 876522267 ok (31s elapsed, 0.4s/session, eta 37s)
  [81/174] session 889179793 ok (32s elapsed, 0.4s/session, eta 37s)
  [82/174] session 879719132 ok (33s elapsed, 0.4s/session, eta 37s)
  [83/174] session 888940531 ok (33s elapsed, 0.4s/session, eta 36s)
  [84/174] session 881071629 ok (33s elapsed, 0.4s/session, eta 35s)
  [85/174] session 882620042 ok (33s elapsed, 0.4s/session, eta 34s)
  [86/174] session 885401643 ok (33s elapsed, 0.4s/session, eta 34s)
  [87/174] session 883509540 ok (34s elapsed, 0.4s/session, eta 34s)
  [88/174] session 891465652 ok (34s elapsed, 0.4s/session, eta 33s)
  [89/174] session 889235128 ok (34s elapsed, 0.4s/session, eta 32s)
  [90/174] session 891193996 ok (34s elapsed, 0.4s/session, eta 32s)
  [91/174] session 892423647 ok (35s elapsed, 0.4s/session, eta 32s)
  [92/174] session 892217026 ok (35s elapsed, 0.4s/session, eta 31s)
  [93/174] session 889189329 ok (36s elapsed, 0.4s/session, eta 31s)
  [94/174] session 894204946 ok (37s elapsed, 0.4s/session, eta 31s)
  [95/174] session 937364655 ok (37s elapsed, 0.4s/session, eta 31s)
  [96/174] session 893937838 ok (37s elapsed, 0.4s/session, eta 30s)
  [97/174] session 939524851 ok (37s elapsed, 0.4s/session, eta 30s)
  [98/174] session 938175546 ok (37s elapsed, 0.4s/session, eta 29s)
  [99/174] session 940446507 ok (38s elapsed, 0.4s/session, eta 29s)
  [100/174] session 934576432 ok (38s elapsed, 0.4s/session, eta 28s)
  [101/174] session 935554523 ok (38s elapsed, 0.4s/session, eta 28s)
  [102/174] session 939520170 ok (39s elapsed, 0.4s/session, eta 27s)
  [103/174] session 943299247 ok (39s elapsed, 0.4s/session, eta 27s)
  [104/174] session 940447433 ok (39s elapsed, 0.4s/session, eta 26s)
  [105/174] session 944810835 ok (39s elapsed, 0.4s/session, eta 26s)
  [106/174] session 941300832 ok (39s elapsed, 0.4s/session, eta 25s)
  [107/174] session 946951902 ok (40s elapsed, 0.4s/session, eta 25s)
  [108/174] session 948090163 ok (41s elapsed, 0.4s/session, eta 25s)
  [109/174] session 895003340 ok (41s elapsed, 0.4s/session, eta 24s)
  [110/174] session 893346385 ok (41s elapsed, 0.4s/session, eta 24s)
  [111/174] session 895588149 ok (41s elapsed, 0.4s/session, eta 23s)
  [112/174] session 949209988 ok (41s elapsed, 0.4s/session, eta 23s)
  [113/174] session 952434025 ok (43s elapsed, 0.4s/session, eta 23s)
  [114/174] session 945889501 ok (43s elapsed, 0.4s/session, eta 23s)
  [115/174] session 947174352 ok (44s elapsed, 0.4s/session, eta 23s)
  [116/174] session 949356610 ok (45s elapsed, 0.4s/session, eta 23s)
  [117/174] session 952690419 ok (45s elapsed, 0.4s/session, eta 22s)
  [118/174] session 948188768 ok (46s elapsed, 0.4s/session, eta 22s)
  [119/174] session 951556788 ok (46s elapsed, 0.4s/session, eta 21s)
  [120/174] session 954800562 ok (46s elapsed, 0.4s/session, eta 21s)
  [121/174] session 960749169 ok (46s elapsed, 0.4s/session, eta 20s)
  [122/174] session 962206869 ok (47s elapsed, 0.4s/session, eta 20s)
  [123/174] session 964912357 ok (48s elapsed, 0.4s/session, eta 20s)
  [124/174] session 957247123 ok (48s elapsed, 0.4s/session, eta 19s)
  [125/174] session 966603493 ok (49s elapsed, 0.4s/session, eta 19s)
  [126/174] session 956121729 ok (50s elapsed, 0.4s/session, eta 19s)
  [127/174] session 1006901110 ok (50s elapsed, 0.4s/session, eta 19s)
  [128/174] session 955775716 ok (51s elapsed, 0.4s/session, eta 18s)
  [129/174] session 1007216425 ok (51s elapsed, 0.4s/session, eta 18s)
  [130/174] session 1008005573 ok (51s elapsed, 0.4s/session, eta 17s)
  [131/174] session 1008813715 ok (51s elapsed, 0.4s/session, eta 17s)
  [132/174] session 1042249629 ok (53s elapsed, 0.4s/session, eta 17s)
  [133/174] session 974019098 ok (53s elapsed, 0.4s/session, eta 16s)
  [134/174] session 1042505240 ok (54s elapsed, 0.4s/session, eta 16s)
  [135/174] session 972293086 ok (54s elapsed, 0.4s/session, eta 16s)
  [136/174] session 1043752192 ok (54s elapsed, 0.4s/session, eta 15s)
  [137/174] session 1043989533 ok (54s elapsed, 0.4s/session, eta 15s)
  [138/174] session 1044580813 ok (55s elapsed, 0.4s/session, eta 14s)
  [139/174] session 1050246780 ok (55s elapsed, 0.4s/session, eta 14s)
  [140/174] session 974479344 ok (55s elapsed, 0.4s/session, eta 13s)
  [141/174] session 1050957017 ok (55s elapsed, 0.4s/session, eta 13s)
  [142/174] session 976354690 ok (55s elapsed, 0.4s/session, eta 13s)
  [143/174] session 1051119110 ok (56s elapsed, 0.4s/session, eta 12s)
  [144/174] session 1051327401 ok (57s elapsed, 0.4s/session, eta 12s)
  [145/174] session 1052307202 ok (57s elapsed, 0.4s/session, eta 11s)
  [146/174] session 958105827 ok (57s elapsed, 0.4s/session, eta 11s)
  [147/174] session 1052482256 ok (57s elapsed, 0.4s/session, eta 11s)
  [148/174] session 959458018 ok (57s elapsed, 0.4s/session, eta 10s)
  [149/174] session 1053465359 ok (57s elapsed, 0.4s/session, eta 10s)
