Selected 168 active exact-VisualBehavior experiments
[1/168] 795953296: EXCLUDED (eye tracking table is missing or empty)
[2/168] 805784331: 180 trials, 22 cells, 3.96s
[3/168] 792815735: 188 trials, 27 cells, 4.06s
[4/168] 803736273: 242 trials, 39 cells, 4.11s
[5/168] 796308505: 225 trials, 49 cells, 4.15s
[6/168] 795073741: 112 trials, 45 cells, 4.67s
[7/168] 775614751: 39 trials, 89 cells, 4.80s
[8/168] 807752719: 176 trials, 194 cells, 5.74s
[9/168] 788490510: 190 trials, 142 cells, 5.84s
[10/168] 794381992: 155 trials, 199 cells, 5.92s
[11/168] 806456687: EXCLUDED (eye tracking table is missing or empty)
[12/168] 796105304: 172 trials, 190 cells, 6.11s
[13/168] 806455766: 234 trials, 251 cells, 6.11s
[14/168] 795076128: 166 trials, 221 cells, 6.30s
[15/168] 792813858: 151 trials, 208 cells, 6.35s
[16/168] 807753334: 230 trials, 286 cells, 6.44s
[17/168] 808621958: 129 trials, 46 cells, 4.24s
[18/168] 808619543: 251 trials, 196 cells, 5.58s
[19/168] 820307518: 285 trials, 122 cells, 4.75s
[20/168] 809501118: 195 trials, 200 cells, 5.56s
[21/168] 817267785: 315 trials, 164 cells, 5.08s
[22/168] 813083478: 293 trials, 212 cells, 5.72s
[23/168] 830093338: 397 trials, 22 cells, 3.88s
[24/168] 826587940: 396 trials, 29 cells, 4.03s
[25/168] 808621034: 267 trials, 302 cells, 6.95s
[26/168] 822647135: 307 trials, 167 cells, 5.23s
[27/168] 825130141: 228 trials, 110 cells, 5.19s
[28/168] 830700781: 293 trials, 157 cells, 5.60s
[29/168] 832115263: 409 trials, 20 cells, 4.07s
[30/168] 833631914: EXCLUDED (eye tracking table is missing or empty)
[31/168] 823392290: 293 trials, 410 cells, 7.28s
[32/168] 822024770: 260 trials, 436 cells, 7.62s
[33/168] 836258957: 381 trials, 13 cells, 4.02s
[34/168] 833629926: 271 trials, 161 cells, 5.70s
[35/168] 835006071: 270 trials, 146 cells, 5.36s
[36/168] 825120601: 312 trials, 504 cells, 9.20s
[37/168] 826585773: 338 trials, 483 cells, 9.11s
