Data format warnings:
  - Session 1, trial 2: all neural data is zero
  - Session 1, trial 3: all neural data is zero
  - Session 1, trial 4: all neural data is zero
  - Session 1, trial 21: all neural data is zero
  - Session 1, trial 23: all neural data is zero
  - Session 1, trial 25: all neural data is zero
  - Session 1, trial 27: all neural data is zero
  - Session 1, trial 39: all neural data is zero
  - Session 1, trial 58: all neural data is zero
  - Session 1, trial 60: all neural data is zero
  - Session 1, trial 61: all neural data is zero
  - Session 1, trial 62: all neural data is zero
  - Session 1, trial 67: all neural data is zero
  - Session 1, trial 68: all neural data is zero
  - Session 1, trial 74: all neural data is zero
  - Session 1, trial 75: all neural data is zero
  - Session 1, trial 78: all neural data is zero
  - Session 1, trial 83: all neural data is zero
  - Session 1, trial 91: all neural data is zero
  - Session 1, trial 102: all neural data is zero
  - Session 1, trial 103: all neural data is zero
  - Session 1, trial 116: all neural data is zero
  - Session 1, trial 124: all neural data is zero
  - Session 1, trial 137: all neural data is zero
  - Session 1, trial 138: all neural data is zero
  - Session 1, trial 139: all neural data is zero
  - Session 1, trial 154: all neural data is zero
  - Session 1, trial 165: all neural data is zero
  - Session 1, trial 168: all neural data is zero
  - Session 1, trial 171: all neural data is zero
  - Session 1, trial 176: all neural data is zero
  - Session 1, trial 177: all neural data is zero
  - Session 1, trial 179: all neural data is zero
  - Session 2, trial 0: all neural data is zero
  - Session 2, trial 1: all neural data is zero
  - Session 2, trial 8: all neural data is zero
  - Session 2, trial 33: all neural data is zero
  - Session 2, trial 45: all neural data is zero
  - Session 2, trial 46: all neural data is zero
  - Session 2, trial 53: all neural data is zero
  - Session 2, trial 55: all neural data is zero
  - Session 2, trial 70: all neural data is zero
  - Session 2, trial 76: all neural data is zero
  - Session 2, trial 97: all neural data is zero
  - Session 5, trial 1: all neural data is zero
  - Session 5, trial 5: all neural data is zero
  - Session 5, trial 6: all neural data is zero
  - Session 5, trial 9: all neural data is zero
  - Session 5, trial 10: all neural data is zero
  - Session 5, trial 29: all neural data is zero
  - Session 5, trial 31: all neural data is zero
  - Session 5, trial 40: all neural data is zero
  - Session 5, trial 44: all neural data is zero
  - Session 5, trial 46: all neural data is zero
  - Session 5, trial 48: all neural data is zero
  - Session 5, trial 57: all neural data is zero
  - Session 5, trial 59: all neural data is zero
  - Session 5, trial 61: all neural data is zero
  - Session 5, trial 63: all neural data is zero
  - Session 5, trial 82: all neural data is zero
  - Session 5, trial 83: all neural data is zero
  - Session 5, trial 88: all neural data is zero
  - Session 5, trial 103: all neural data is zero
  - Session 5, trial 105: all neural data is zero
  - Session 5, trial 112: all neural data is zero
  - Session 5, trial 114: all neural data is zero
  - Session 5, trial 123: all neural data is zero
  - Session 5, trial 125: all neural data is zero
  - Session 5, trial 126: all neural data is zero
  - Session 5, trial 127: all neural data is zero
  - Session 5, trial 128: all neural data is zero
  - Session 5, trial 131: all neural data is zero
  - Session 5, trial 132: all neural data is zero
  - Session 5, trial 138: all neural data is zero
  - Session 5, trial 141: all neural data is zero
  - Session 5, trial 148: all neural data is zero
  - Session 5, trial 158: all neural data is zero
  - Session 5, trial 172: all neural data is zero
  - Session 5, trial 176: all neural data is zero
  - Session 5, trial 178: all neural data is zero
  - Session 5, trial 181: all neural data is zero
  - Session 5, trial 183: all neural data is zero
  - Session 5, trial 189: all neural data is zero
  - Session 5, trial 190: all neural data is zero
  - Session 5, trial 221: all neural data is zero
  - Session 5, trial 228: all neural data is zero
  - Session 5, trial 234: all neural data is zero
  - Session 12, trial 2: all neural data is zero
  - Session 12, trial 3: all neural data is zero
  - Session 12, trial 4: all neural data is zero
  - Session 12, trial 6: all neural data is zero
  - Session 12, trial 9: all neural data is zero
  - Session 12, trial 18: all neural data is zero
  - Session 12, trial 19: all neural data is zero
  - Session 12, trial 25: all neural data is zero
  - Session 12, trial 30: all neural data is zero
  - Session 12, trial 38: all neural data is zero
  - Session 12, trial 44: all neural data is zero
  - Session 12, trial 46: all neural data is zero
  - Session 12, trial 47: all neural data is zero
  - Session 12, trial 53: all neural data is zero
  - Session 12, trial 54: all neural data is zero
  - Session 12, trial 58: all neural data is zero
  - Session 12, trial 62: all neural data is zero
  - Session 12, trial 63: all neural data is zero
  - Session 12, trial 64: all neural data is zero
  - Session 12, trial 70: all neural data is zero
  - Session 12, trial 71: all neural data is zero
  - Session 12, trial 73: all neural data is zero
  - Session 12, trial 77: all neural data is zero
  - Session 12, trial 78: all neural data is zero
  - Session 12, trial 81: all neural data is zero
  - Session 12, trial 82: all neural data is zero
  - Session 12, trial 83: all neural data is zero
  - Session 12, trial 90: all neural data is zero
  - Session 12, trial 91: all neural data is zero
  - Session 12, trial 92: all neural data is zero
  - Session 12, trial 98: all neural data is zero
  - Session 12, trial 100: all neural data is zero
  - Session 12, trial 106: all neural data is zero
  - Session 12, trial 108: all neural data is zero
  - Session 12, trial 109: all neural data is zero
  - Session 12, trial 122: all neural data is zero
  - Session 12, trial 133: all neural data is zero
  - Session 12, trial 136: all neural data is zero
  - Session 12, trial 150: all neural data is zero
  - Session 12, trial 161: all neural data is zero
  - Session 12, trial 163: all neural data is zero
  - Session 12, trial 167: all neural data is zero
  - Session 12, trial 169: all neural data is zero
  - Session 12, trial 171: all neural data is zero
  - Session 12, trial 178: all neural data is zero
  - Session 12, trial 179: all neural data is zero
  - Session 12, trial 180: all neural data is zero
  - Session 12, trial 186: all neural data is zero
  - Session 12, trial 187: all neural data is zero
  - Session 12, trial 189: all neural data is zero
  - Session 12, trial 192: all neural data is zero
  - Session 12, trial 193: all neural data is zero
  - Session 12, trial 199: all neural data is zero
  - Session 12, trial 206: all neural data is zero
  - Session 12, trial 207: all neural data is zero
