Data format warnings:
  - Session 2, trial 2: all neural data is zero
  - Session 2, trial 3: all neural data is zero
  - Session 2, trial 4: all neural data is zero
  - Session 2, trial 21: all neural data is zero
  - Session 2, trial 23: all neural data is zero
  - Session 2, trial 25: all neural data is zero
  - Session 2, trial 27: all neural data is zero
  - Session 2, trial 39: all neural data is zero
  - Session 2, trial 58: all neural data is zero
  - Session 2, trial 60: all neural data is zero
  - Session 2, trial 62: all neural data is zero
  - Session 2, trial 67: all neural data is zero
  - Session 2, trial 68: all neural data is zero
  - Session 2, trial 75: all neural data is zero
  - Session 2, trial 78: all neural data is zero
  - Session 2, trial 83: all neural data is zero
  - Session 2, trial 91: all neural data is zero
  - Session 2, trial 102: all neural data is zero
  - Session 2, trial 103: all neural data is zero
  - Session 2, trial 116: all neural data is zero
  - Session 2, trial 124: all neural data is zero
  - Session 2, trial 137: all neural data is zero
  - Session 2, trial 138: all neural data is zero
  - Session 2, trial 139: all neural data is zero
  - Session 2, trial 154: all neural data is zero
  - Session 2, trial 165: all neural data is zero
  - Session 2, trial 168: all neural data is zero
  - Session 2, trial 171: all neural data is zero
  - Session 2, trial 176: all neural data is zero
  - Session 2, trial 177: all neural data is zero
  - Session 2, trial 179: all neural data is zero
  - Session 3, trial 0: all neural data is zero
  - Session 3, trial 1: all neural data is zero
  - Session 3, trial 8: all neural data is zero
  - Session 3, trial 33: all neural data is zero
  - Session 3, trial 45: all neural data is zero
  - Session 3, trial 46: all neural data is zero
  - Session 3, trial 53: all neural data is zero
  - Session 3, trial 55: all neural data is zero
  - Session 3, trial 70: all neural data is zero
  - Session 3, trial 76: all neural data is zero
  - Session 3, trial 97: all neural data is zero
  - Session 4, trial 71: all neural data is zero
  - Session 4, trial 107: all neural data is zero
  - Session 4, trial 109: all neural data is zero
  - Session 4, trial 153: all neural data is zero
  - Session 4, trial 175: all neural data is zero
  - Session 4, trial 178: all neural data is zero
  - Session 4, trial 179: all neural data is zero
  - Session 4, trial 183: all neural data is zero
  - Session 4, trial 204: all neural data is zero
  - Session 4, trial 210: all neural data is zero
  - Session 4, trial 213: all neural data is zero
  - Session 9, trial 1: all neural data is zero
  - Session 9, trial 5: all neural data is zero
  - Session 9, trial 6: all neural data is zero
  - Session 9, trial 9: all neural data is zero
  - Session 9, trial 10: all neural data is zero
  - Session 9, trial 29: all neural data is zero
  - Session 9, trial 31: all neural data is zero
  - Session 9, trial 39: all neural data is zero
  - Session 9, trial 40: all neural data is zero
  - Session 9, trial 44: all neural data is zero
  - Session 9, trial 46: all neural data is zero
  - Session 9, trial 48: all neural data is zero
  - Session 9, trial 57: all neural data is zero
  - Session 9, trial 59: all neural data is zero
