Converting 12 full sessions
[JEB6_2021-04-18] 382->302 trials, 32->31 units, 3.81 s
[JEB7_2021-04-29] 346->245 trials, 67->66 units, 3.83 s
[JEB7_2021-04-30] 254->210 trials, 27->27 units, 2.84 s
[EKH1_2021-08-07] 305->252 trials, 48->48 units, 3.30 s
[EKH3_2021-08-11] 426->390 trials, 66->66 units, 5.32 s
[JGR2_2021-11-16] 267->214 trials, 29->29 units, 2.70 s
[JGR2_2021-11-17] 254->226 trials, 53->53 units, 3.02 s
[JGR3_2021-11-18] 261->230 trials, 28->28 units, 2.87 s
[JEB19_2023-04-21] 276->250 trials, 35->33 units, 3.38 s
[JEB19_2023-04-20] 324->297 trials, 69->67 units, 4.18 s
[JEB19_2023-04-19] 230->216 trials, 38->37 units, 2.95 s
[JEB19_2023-04-18] 301->284 trials, 36->36 units, 3.82 s
Saved /app/converted_data.pkl (564.2 MiB): 12 sessions, 3116 trials, 521 session-units in 42.77 s
