JEB6_2021-04-18: 382->324 trials, 29 neurons, 2.72s
JEB7_2021-04-29: 346->298 trials, 66 neurons, 3.35s
JEB7_2021-04-30: 254->227 trials, 27 neurons, 2.10s
EKH1_2021-08-07: 305->305 trials, 48 neurons, 2.68s
EKH3_2021-08-11: 426->426 trials, 65 neurons, 4.22s
JGR2_2021-11-16: 267->267 trials, 29 neurons, 2.30s
JGR2_2021-11-17: 254->254 trials, 52 neurons, 2.41s
JGR3_2021-11-18: 261->259 trials, 27 neurons, 2.18s
JEB19_2023-04-18: 301->301 trials, 36 neurons, 2.87s
JEB19_2023-04-19: 230->230 trials, 36 neurons, 2.33s
JEB19_2023-04-20: 324->324 trials, 67 neurons, 3.49s
JEB19_2023-04-21: 276->276 trials, 33 neurons, 2.71s
Saved /app/converted_data.pkl: 12 sessions, 3491 trials, 515 session-neurons
