JEB6_2021-04-18: 302/382 trials, 29 neurons, 2.7s
JEB7_2021-04-29: 245/346 trials, 66 neurons, 3.1s
JEB7_2021-04-30: 210/254 trials, 27 neurons, 2.1s
EKH1_2021-08-07: 252/305 trials, 48 neurons, 2.5s
EKH3_2021-08-11: 390/426 trials, 65 neurons, 4.3s
JGR2_2021-11-16: 214/267 trials, 29 neurons, 1.9s
JGR2_2021-11-17: 226/254 trials, 52 neurons, 2.3s
JGR3_2021-11-18: 230/261 trials, 27 neurons, 2.0s
JEB19_2023-04-21: 250/276 trials, 33 neurons, 2.5s
JEB19_2023-04-20: 297/324 trials, 67 neurons, 3.3s
JEB19_2023-04-19: 216/230 trials, 36 neurons, 2.2s
JEB19_2023-04-18: 284/301 trials, 36 neurons, 2.7s
Wrote /app/converted_data.pkl: 12 sessions, 3116 trials, 515 neurons
