Processing 44 sessions on 1000 bins (5 ms)
EKH1_2021-08-07: trials 252/305, neurons 48, 2.80s
EKH3_2021-08-11: trials 390/426, neurons 66, 4.51s
JEB13_2022-09-13: trials 389/416, neurons 51, 4.52s
JEB13_2022-09-14: trials 380/403, neurons 85, 4.92s
JEB13_2022-09-21: trials 242/252, neurons 118, 3.66s
JEB13_2022-09-24: trials 363/403, neurons 34, 3.95s
JEB13_2022-09-25: trials 360/377, neurons 53, 4.03s
JEB14_2022-08-22: trials 474/517, neurons 83, 5.59s
JEB14_2022-08-23: trials 465/496, neurons 77, 5.28s
JEB14_2022-08-24: trials 314/351, neurons 136, 4.38s
JEB14_2022-08-25: trials 265/285, neurons 96, 3.30s
JEB15_2022-07-26: trials 318/321, neurons 142, 4.40s
JEB15_2022-07-27: trials 301/313, neurons 68, 3.16s
JEB15_2022-07-28: trials 246/250, neurons 54, 2.40s
JEB15_2022-07-29: trials 193/250, neurons 32, 2.05s
JEB19_2023-04-18: trials 284/301, neurons 36, 2.84s
JEB19_2023-04-19: trials 216/230, neurons 38, 2.22s
JEB19_2023-04-20: trials 297/324, neurons 68, 3.42s
JEB19_2023-04-21: trials 250/276, neurons 35, 2.55s
JEB6_2021-04-18: trials 302/382, neurons 32, 3.05s
JEB7_2021-04-29: trials 245/346, neurons 67, 3.61s
JEB7_2021-04-30: trials 210/254, neurons 27, 2.14s
JGR2_2021-11-16: trials 214/267, neurons 29, 2.20s
JGR2_2021-11-17: trials 226/254, neurons 53, 2.45s
JGR3_2021-11-18: trials 230/261, neurons 28, 2.14s
JEB11_2022-05-10: trials 323/365, neurons 63, 3.91s
JEB11_2022-05-11: trials 321/329, neurons 69, 3.61s
JEB12_2022-05-12: trials 295/318, neurons 57, 3.10s
JEB12_2022-05-13: trials 338/355, neurons 40, 3.09s
JEB23_2023-10-10: trials 349/359, neurons 96, 4.32s
JEB23_2023-10-11: trials 381/407, neurons 57, 4.06s
JEB23_2023-10-12: trials 325/337, neurons 71, 3.63s
JEB23_2023-10-13: trials 291/303, neurons 35, 2.72s
JEB23_2023-10-18: trials 404/416, neurons 53, 2.50s
JEB23_2023-10-19: trials 340/352, neurons 50, 3.34s
JEB23_2023-10-21: trials 384/401, neurons 62, 2.68s
JEB24_2023-10-23: trials 292/343, neurons 17, 1.71s
JEB24_2023-10-24: trials 343/350, neurons 31, 2.05s
JEB24_2023-10-25: trials 392/402, neurons 25, 2.24s
JEB24_2023-10-26: trials 287/301, neurons 55, 1.98s
JEB24_2023-10-27: trials 305/311, neurons 35, 1.74s
JEB24_2023-10-31: trials 427/450, neurons 38, 2.58s
JEB24_2023-11-02: trials 238/267, neurons 42, 1.53s
JEB24_2023-11-03: trials 301/346, neurons 46, 2.00s
Saved /app/converted_data.pkl (3329.2 MB)
Totals: sessions 44 trials 13762 neurons 2498 subjects 14
