Converting all sessions from 7 animal file(s)...
  [QLAK-CA1-51 day  0] env=square     cells 554 -> reg 113 -> kept 112 | 24073 bins, 60.2% running | 40 trials | 0.51s
  [QLAK-CA1-08 day  0] env=square     cells 515 -> reg 185 -> kept 182 | 23955 bins, 49.0% running | 39 trials | 0.58s
  [QLAK-CA1-74 day  0] env=square     cells 713 -> reg 304 -> kept 302 | 24020 bins, 60.8% running | 40 trials | 0.87s
  [QLAK-CA1-50 day  0] env=square     cells 942 -> reg 214 -> kept 210 | 23955 bins, 59.9% running | 40 trials | 0.85s
  [QLAK-CA1-56 day  0] env=square     cells 862 -> reg 295 -> kept 292 | 24030 bins, 54.3% running | 40 trials | 0.97s
  [QLAK-CA1-51 day  1] env=o          cells 554 -> reg 143 -> kept 142 | 24073 bins, 65.6% running | 40 trials | 0.56s
  [QLAK-CA1-30 day  0] env=square     cells 875 -> reg 398 -> kept 396 | 23955 bins, 55.6% running | 40 trials | 1.09s
  [QLAK-CA1-75 day  0] env=square     cells 952 -> reg 356 -> kept 345 | 24023 bins, 36.4% running | 37 trials | 1.07s
  [QLAK-CA1-08 day  1] env=o          cells 515 -> reg 153 -> kept 153 | 23955 bins, 45.9% running | 40 trials | 0.56s
  [QLAK-CA1-51 day  2] env=l          cells 554 -> reg 148 -> kept 147 | 24073 bins, 61.3% running | 40 trials | 0.59s
  [QLAK-CA1-08 day  2] env=t          cells 515 -> reg 156 -> kept 151 | 23955 bins, 49.6% running | 39 trials | 0.55s
  [QLAK-CA1-74 day  1] env=t          cells 713 -> reg 278 -> kept 274 | 24020 bins, 61.1% running | 40 trials | 0.86s
  [QLAK-CA1-50 day  1] env=+          cells 942 -> reg 233 -> kept 226 | 23955 bins, 62.2% running | 40 trials | 0.93s
  [QLAK-CA1-56 day  1] env=l          cells 862 -> reg 251 -> kept 239 | 24030 bins, 51.1% running | 40 trials | 0.95s
  [QLAK-CA1-75 day  1] env=rectangle  cells 952 -> reg 263 -> kept 254 | 24023 bins, 21.7% running | 22 trials | 1.00s
  [QLAK-CA1-30 day  1] env=o          cells 875 -> reg 404 -> kept 401 | 23955 bins, 47.3% running | 40 trials | 1.16s
  [QLAK-CA1-08 day  3] env=u          cells 515 -> reg 187 -> kept 182 | 23955 bins, 54.4% running | 40 trials | 0.61s
  [QLAK-CA1-51 day  3] env=u          cells 554 -> reg 166 -> kept 164 | 24073 bins, 61.0% running | 40 trials | 0.65s
  [QLAK-CA1-74 day  2] env=bit donut  cells 713 -> reg 274 -> kept 271 | 24020 bins, 64.2% running | 40 trials | 0.86s
  [QLAK-CA1-50 day  2] env=bit donut  cells 942 -> reg 223 -> kept 219 | 23955 bins, 62.1% running | 40 trials | 0.91s
  [QLAK-CA1-08 day  4] env=rectangle  cells 515 -> reg 185 -> kept 175 | 23955 bins, 49.1% running | 39 trials | 0.59s
  [QLAK-CA1-51 day  4] env=bit donut  cells 554 -> reg 162 -> kept 162 | 24073 bins, 64.6% running | 40 trials | 0.61s
  [QLAK-CA1-56 day  2] env=bit donut  cells 862 -> reg 257 -> kept 253 | 24030 bins, 56.7% running | 40 trials | 0.96s
  [QLAK-CA1-75 day  2] env=glenn      cells 952 -> reg 294 -> kept 288 | 24023 bins, 37.7% running | 38 trials | 1.05s
  [QLAK-CA1-30 day  2] env=+          cells 875 -> reg 350 -> kept 340 | 23955 bins, 41.9% running | 40 trials | 1.08s
  [QLAK-CA1-74 day  3] env=+          cells 713 -> reg 264 -> kept 260 | 24020 bins, 59.4% running | 40 trials | 0.84s
  [QLAK-CA1-08 day  5] env=+          cells 515 -> reg 186 -> kept 180 | 23955 bins, 57.5% running | 40 trials | 0.60s
  [QLAK-CA1-51 day  5] env=rectangle  cells 554 -> reg 151 -> kept 149 | 24073 bins, 64.1% running | 40 trials | 0.61s
  [QLAK-CA1-50 day  3] env=o          cells 942 -> reg 224 -> kept 224 | 23955 bins, 64.2% running | 40 trials | 0.94s
  [QLAK-CA1-56 day  3] env=glenn      cells 862 -> reg 281 -> kept 267 | 24030 bins, 54.5% running | 40 trials | 0.96s
  [QLAK-CA1-08 day  6] env=i          cells 515 -> reg 194 -> kept 189 | 23955 bins, 57.3% running | 40 trials | 0.63s
  [QLAK-CA1-51 day  6] env=+          cells 554 -> reg 179 -> kept 179 | 24073 bins, 60.2% running | 40 trials | 0.64s
  [QLAK-CA1-75 day  3] env=l          cells 952 -> reg 285 -> kept 276 | 24023 bins, 40.9% running | 39 trials | 1.01s
  [QLAK-CA1-74 day  4] env=o          cells 713 -> reg 292 -> kept 288 | 24020 bins, 57.5% running | 40 trials | 0.89s
  [QLAK-CA1-30 day  3] env=l          cells 875 -> reg 356 -> kept 344 | 23955 bins, 40.9% running | 40 trials | 1.06s
  [QLAK-CA1-50 day  4] env=u          cells 942 -> reg 242 -> kept 238 | 23955 bins, 64.1% running | 40 trials | 0.98s
  [QLAK-CA1-08 day  7] env=l          cells 515 -> reg 204 -> kept 200 | 23955 bins, 58.4% running | 39 trials | 0.63s
  [QLAK-CA1-56 day  4] env=rectangle  cells 862 -> reg 264 -> kept 258 | 24030 bins, 48.3% running | 40 trials | 0.95s
  [QLAK-CA1-51 day  7] env=glenn      cells 554 -> reg 227 -> kept 227 | 24073 bins, 64.7% running | 40 trials | 0.70s
  [QLAK-CA1-74 day  5] env=i          cells 713 -> reg 275 -> kept 268 | 24020 bins, 57.4% running | 39 trials | 0.86s
  [QLAK-CA1-75 day  4] env=i          cells 952 -> reg 368 -> kept 362 | 24023 bins, 52.9% running | 40 trials | 1.16s
  [QLAK-CA1-08 day  8] env=bit donut  cells 515 -> reg 189 -> kept 187 | 23955 bins, 52.8% running | 40 trials | 0.63s
  [QLAK-CA1-30 day  4] env=glenn      cells 875 -> reg 350 -> kept 343 | 23955 bins, 37.6% running | 39 trials | 1.09s
  [QLAK-CA1-51 day  8] env=i          cells 554 -> reg 233 -> kept 233 | 24073 bins, 64.9% running | 40 trials | 0.74s
  [QLAK-CA1-50 day  5] env=t          cells 942 -> reg 231 -> kept 231 | 23955 bins, 68.0% running | 40 trials | 0.97s
  [QLAK-CA1-56 day  5] env=i          cells 862 -> reg 257 -> kept 250 | 24030 bins, 52.6% running | 40 trials | 0.95s
  [QLAK-CA1-08 day  9] env=glenn      cells 515 -> reg 200 -> kept 196 | 23955 bins, 60.8% running | 40 trials | 0.64s
  [QLAK-CA1-74 day  6] env=l          cells 713 -> reg 285 -> kept 282 | 24020 bins, 62.0% running | 40 trials | 0.89s
  [QLAK-CA1-51 day  9] env=t          cells 554 -> reg 253 -> kept 253 | 24073 bins, 65.4% running | 40 trials | 0.76s
  [QLAK-CA1-75 day  5] env=+          cells 952 -> reg 288 -> kept 283 | 24023 bins, 44.3% running | 39 trials | 1.06s
  [QLAK-CA1-30 day  5] env=i          cells 875 -> reg 380 -> kept 371 | 23955 bins, 31.9% running | 36 trials | 1.11s  [QLAK-CA1-50 day  6] env=rectangle  cells 942 -> reg 227 -> kept 226 | 23955 bins, 59.5% running | 40 trials | 0.96s

  [QLAK-CA1-08 day 10] env=square     cells 515 -> reg 222 -> kept 220 | 23955 bins, 61.8% running | 40 trials | 0.67s
  [QLAK-CA1-56 day  6] env=+          cells 862 -> reg 281 -> kept 276 | 24030 bins, 56.2% running | 40 trials | 0.99s
  [QLAK-CA1-74 day  7] env=rectangle  cells 713 -> reg 258 -> kept 252 | 24020 bins, 45.0% running | 35 trials | 0.85s
  [QLAK-CA1-51 day 10] env=square     cells 554 -> reg 235 -> kept 234 | 24073 bins, 62.9% running | 40 trials | 0.73s
  [QLAK-CA1-08 day 11] env=o          cells 515 -> reg 196 -> kept 195 | 23955 bins, 58.3% running | 40 trials | 0.64s
  [QLAK-CA1-75 day  6] env=t          cells 952 -> reg 330 -> kept 327 | 24023 bins, 42.5% running | 40 trials | 1.12s
  [QLAK-CA1-30 day  6] env=u          cells 875 -> reg 347 -> kept 344 | 23955 bins, 54.1% running | 40 trials | 1.08s
  [QLAK-CA1-50 day  7] env=glenn      cells 942 -> reg 364 -> kept 358 | 23955 bins, 64.3% running | 40 trials | 1.12s
  [QLAK-CA1-74 day  8] env=glenn      cells 713 -> reg 306 -> kept 303 | 24020 bins, 50.7% running | 39 trials | 0.93s
  [QLAK-CA1-51 day 11] env=o          cells 554 -> reg 263 -> kept 262 | 24073 bins, 62.4% running | 40 trials | 0.77s
  [QLAK-CA1-56 day  7] env=o          cells 862 -> reg 340 -> kept 337 | 24030 bins, 56.6% running | 40 trials | 1.08s
  [QLAK-CA1-08 day 12] env=t          cells 515 -> reg 216 -> kept 215 | 23955 bins, 50.9% running | 40 trials | 0.67s
  [QLAK-CA1-51 day 12] env=l          cells 554 -> reg 258 -> kept 257 | 24073 bins, 56.0% running | 40 trials | 0.76s
  [QLAK-CA1-08 day 13] env=u          cells 515 -> reg 211 -> kept 207 | 23955 bins, 44.7% running | 40 trials | 0.66s
  [QLAK-CA1-74 day  9] env=u          cells 713 -> reg 303 -> kept 300 | 24020 bins, 43.0% running | 36 trials | 0.90s
  [QLAK-CA1-30 day  7] env=bit donut  cells 875 -> reg 352 -> kept 348 | 23955 bins, 44.8% running | 40 trials | 1.09s
  [QLAK-CA1-75 day  7] env=bit donut  cells 952 -> reg 438 -> kept 433 | 24023 bins, 55.6% running | 40 trials | 1.27s
  [QLAK-CA1-50 day  8] env=i          cells 942 -> reg 382 -> kept 377 | 23955 bins, 60.7% running | 40 trials | 1.16s
  [QLAK-CA1-56 day  8] env=u          cells 862 -> reg 326 -> kept 321 | 24030 bins, 45.9% running | 37 trials | 1.05s
  [QLAK-CA1-08 day 14] env=rectangle  cells 515 -> reg 206 -> kept 203 | 23955 bins, 47.1% running | 40 trials | 0.65s
  [QLAK-CA1-51 day 13] env=u          cells 554 -> reg 233 -> kept 230 | 24073 bins, 52.4% running | 40 trials | 0.72s
  [QLAK-CA1-74 day 10] env=square     cells 713 -> reg 286 -> kept 283 | 24020 bins, 38.7% running | 39 trials | 0.90s
  [QLAK-CA1-30 day  8] env=rectangle  cells 875 -> reg 336 -> kept 333 | 23955 bins, 39.4% running | 40 trials | 1.08s
  [QLAK-CA1-08 day 15] env=+          cells 515 -> reg 199 -> kept 197 | 23955 bins, 49.2% running | 40 trials | 0.65s
  [QLAK-CA1-75 day  8] env=o          cells 952 -> reg 393 -> kept 391 | 24023 bins, 50.4% running | 40 trials | 1.21s
  [QLAK-CA1-56 day  9] env=t          cells 862 -> reg 336 -> kept 333 | 24030 bins, 55.2% running | 40 trials | 1.08s
  [QLAK-CA1-50 day  9] env=l          cells 942 -> reg 367 -> kept 363 | 23955 bins, 59.8% running | 40 trials | 1.16s
  [QLAK-CA1-51 day 14] env=bit donut  cells 554 -> reg 277 -> kept 274 | 24073 bins, 58.9% running | 40 trials | 0.79s
  [QLAK-CA1-74 day 11] env=t          cells 713 -> reg 316 -> kept 311 | 24020 bins, 42.6% running | 40 trials | 0.93s
  [QLAK-CA1-08 day 16] env=i          cells 515 -> reg 227 -> kept 227 | 23955 bins, 51.2% running | 40 trials | 0.69s
  [QLAK-CA1-51 day 15] env=rectangle  cells 554 -> reg 274 -> kept 273 | 24073 bins, 62.5% running | 40 trials | 0.79s
  [QLAK-CA1-30 day  9] env=t          cells 875 -> reg 382 -> kept 366 | 23955 bins, 42.6% running | 40 trials | 1.13s
  [QLAK-CA1-56 day 10] env=square     cells 862 -> reg 329 -> kept 320 | 24030 bins, 43.7% running | 40 trials | 1.07s
  [QLAK-CA1-50 day 10] env=square     cells 942 -> reg 367 -> kept 365 | 23955 bins, 61.9% running | 40 trials | 1.16s
  [QLAK-CA1-75 day  9] env=u          cells 952 -> reg 384 -> kept 379 | 24023 bins, 48.0% running | 38 trials | 1.22s
  [QLAK-CA1-08 day 17] env=l          cells 515 -> reg 233 -> kept 229 | 23955 bins, 51.3% running | 40 trials | 0.70s
  [QLAK-CA1-74 day 12] env=bit donut  cells 713 -> reg 284 -> kept 282 | 24020 bins, 47.7% running | 36 trials | 0.89s
  [QLAK-CA1-51 day 16] env=+          cells 554 -> reg 276 -> kept 274 | 24073 bins, 60.9% running | 40 trials | 0.79s
  [QLAK-CA1-08 day 18] env=bit donut  cells 515 -> reg 240 -> kept 238 | 23955 bins, 49.8% running | 40 trials | 0.71s
  [QLAK-CA1-30 day 10] env=square     cells 875 -> reg 367 -> kept 364 | 23955 bins, 46.1% running | 40 trials | 1.14s
  [QLAK-CA1-56 day 11] env=l          cells 862 -> reg 337 -> kept 330 | 24030 bins, 52.1% running | 40 trials | 1.09s
  [QLAK-CA1-50 day 11] env=+          cells 942 -> reg 428 -> kept 424 | 23955 bins, 60.7% running | 40 trials | 1.21s
  [QLAK-CA1-74 day 13] env=+          cells 713 -> reg 303 -> kept 297 | 24020 bins, 42.6% running | 39 trials | 0.92s
  [QLAK-CA1-75 day 10] env=square     cells 952 -> reg 396 -> kept 390 | 24023 bins, 40.8% running | 40 trials | 1.22s
  [QLAK-CA1-51 day 17] env=glenn      cells 554 -> reg 284 -> kept 284 | 24073 bins, 63.8% running | 40 trials | 0.80s
  [QLAK-CA1-08 day 19] env=glenn      cells 515 -> reg 236 -> kept 233 | 23955 bins, 47.7% running | 40 trials | 0.70s
  [QLAK-CA1-74 day 14] env=o          cells 713 -> reg 289 -> kept 282 | 24020 bins, 38.6% running | 36 trials | 0.89s
  [QLAK-CA1-30 day 11] env=o          cells 875 -> reg 411 -> kept 403 | 23955 bins, 42.9% running | 40 trials | 1.20s
  [QLAK-CA1-56 day 12] env=bit donut  cells 862 -> reg 402 -> kept 397 | 24030 bins, 54.0% running | 40 trials | 1.17s
  [QLAK-CA1-51 day 18] env=i          cells 554 -> reg 317 -> kept 316 | 24073 bins, 58.2% running | 40 trials | 0.85s
  [QLAK-CA1-08 day 20] env=square     cells 515 -> reg 226 -> kept 222 | 23955 bins, 46.2% running | 39 trials | 0.68s
  [QLAK-CA1-75 day 11] env=rectangle  cells 952 -> reg 344 -> kept 336 | 24023 bins, 39.0% running | 40 trials | 1.13s
  [QLAK-CA1-50 day 12] env=bit donut  cells 942 -> reg 405 -> kept 404 | 23955 bins, 58.5% running | 40 trials | 1.21s
  [QLAK-CA1-08 day 21] env=o          cells 515 -> reg 247 -> kept 243 | 23955 bins, 49.1% running | 40 trials | 0.71s
  [QLAK-CA1-74 day 15] env=i          cells 713 -> reg 289 -> kept 282 | 24020 bins, 35.7% running | 38 trials | 0.90s
  [QLAK-CA1-51 day 19] env=t          cells 554 -> reg 316 -> kept 316 | 24073 bins, 60.9% running | 40 trials | 0.85s
  [QLAK-CA1-56 day 13] env=glenn      cells 862 -> reg 371 -> kept 367 | 24030 bins, 60.7% running | 40 trials | 1.15s
  [QLAK-CA1-30 day 12] env=+          cells 875 -> reg 405 -> kept 397 | 23955 bins, 39.5% running | 40 trials | 1.18s
  [QLAK-CA1-75 day 12] env=glenn      cells 952 -> reg 344 -> kept 342 | 24023 bins, 39.4% running | 38 trials | 1.16s
  [QLAK-CA1-50 day 13] env=o          cells 942 -> reg 421 -> kept 420 | 23955 bins, 63.7% running | 40 trials | 1.23s
  [QLAK-CA1-08 day 22] env=t          cells 515 -> reg 224 -> kept 214 | 23955 bins, 47.4% running | 39 trials | 0.68s
  [QLAK-CA1-51 day 20] env=square     cells 554 -> reg 323 -> kept 322 | 24073 bins, 55.1% running | 40 trials | 0.85s
[QLAK-CA1-51] 21 sessions in 15.1s
  [QLAK-CA1-74 day 16] env=l          cells 713 -> reg 300 -> kept 296 | 24020 bins, 58.1% running | 40 trials | 0.91s
