Mode: full (all sessions)
Loaded QLAK-CA1-08 in 16.33 s
Processed session   1: QLAK-CA1-08_day00, cells=185, trials=39, time=0.64 s
Processed session   2: QLAK-CA1-08_day01, cells=153, trials=39, time=0.50 s
Processed session   3: QLAK-CA1-08_day02, cells=156, trials=39, time=0.51 s
Processed session   4: QLAK-CA1-08_day03, cells=187, trials=39, time=0.62 s
Processed session   5: QLAK-CA1-08_day04, cells=185, trials=39, time=0.61 s
Processed session   6: QLAK-CA1-08_day05, cells=186, trials=39, time=0.28 s
Processed session   7: QLAK-CA1-08_day06, cells=194, trials=39, time=0.26 s
Processed session   8: QLAK-CA1-08_day07, cells=204, trials=39, time=0.28 s
Processed session   9: QLAK-CA1-08_day08, cells=189, trials=39, time=0.26 s
Processed session  10: QLAK-CA1-08_day09, cells=200, trials=39, time=0.27 s
Processed session  11: QLAK-CA1-08_day10, cells=222, trials=39, time=0.30 s
Processed session  12: QLAK-CA1-08_day11, cells=196, trials=39, time=0.26 s
Processed session  13: QLAK-CA1-08_day12, cells=216, trials=39, time=0.29 s
Processed session  14: QLAK-CA1-08_day13, cells=211, trials=39, time=0.29 s
Processed session  15: QLAK-CA1-08_day14, cells=206, trials=39, time=0.28 s
Processed session  16: QLAK-CA1-08_day15, cells=199, trials=39, time=0.27 s
Processed session  17: QLAK-CA1-08_day16, cells=227, trials=39, time=0.30 s
Processed session  18: QLAK-CA1-08_day17, cells=233, trials=39, time=0.31 s
Processed session  19: QLAK-CA1-08_day18, cells=240, trials=39, time=0.32 s
Processed session  20: QLAK-CA1-08_day19, cells=236, trials=39, time=0.32 s
Processed session  21: QLAK-CA1-08_day20, cells=226, trials=39, time=0.30 s
Processed session  22: QLAK-CA1-08_day21, cells=247, trials=39, time=0.33 s
Processed session  23: QLAK-CA1-08_day22, cells=224, trials=39, time=0.30 s
Processed session  24: QLAK-CA1-08_day23, cells=227, trials=39, time=0.30 s
Processed session  25: QLAK-CA1-08_day24, cells=239, trials=39, time=0.32 s
Processed session  26: QLAK-CA1-08_day25, cells=235, trials=39, time=0.32 s
Processed session  27: QLAK-CA1-08_day26, cells=237, trials=39, time=0.32 s
Processed session  28: QLAK-CA1-08_day27, cells=230, trials=39, time=0.31 s
Processed session  29: QLAK-CA1-08_day28, cells=236, trials=39, time=0.32 s
Processed session  30: QLAK-CA1-08_day29, cells=254, trials=39, time=0.34 s
Processed session  31: QLAK-CA1-08_day30, cells=251, trials=39, time=0.34 s
Loaded QLAK-CA1-30 in 15.01 s
Processed session  32: QLAK-CA1-30_day00, cells=398, trials=39, time=0.56 s
Processed session  33: QLAK-CA1-30_day01, cells=404, trials=39, time=0.55 s
Processed session  34: QLAK-CA1-30_day02, cells=350, trials=39, time=0.48 s
Processed session  35: QLAK-CA1-30_day03, cells=356, trials=39, time=0.48 s
Processed session  36: QLAK-CA1-30_day04, cells=350, trials=39, time=0.47 s
Processed session  37: QLAK-CA1-30_day05, cells=380, trials=39, time=0.51 s
Processed session  38: QLAK-CA1-30_day06, cells=347, trials=39, time=0.47 s
Processed session  39: QLAK-CA1-30_day07, cells=352, trials=39, time=0.47 s
Processed session  40: QLAK-CA1-30_day08, cells=336, trials=39, time=0.45 s
Processed session  41: QLAK-CA1-30_day09, cells=382, trials=39, time=0.51 s
Processed session  42: QLAK-CA1-30_day10, cells=367, trials=39, time=0.50 s
Processed session  43: QLAK-CA1-30_day11, cells=411, trials=39, time=0.55 s
Processed session  44: QLAK-CA1-30_day12, cells=405, trials=39, time=0.55 s
Processed session  45: QLAK-CA1-30_day13, cells=350, trials=39, time=0.47 s
Processed session  46: QLAK-CA1-30_day14, cells=378, trials=39, time=0.51 s
Processed session  47: QLAK-CA1-30_day15, cells=340, trials=39, time=0.46 s
Processed session  48: QLAK-CA1-30_day16, cells=400, trials=39, time=0.54 s
Processed session  49: QLAK-CA1-30_day17, cells=390, trials=39, time=0.53 s
Processed session  50: QLAK-CA1-30_day18, cells=378, trials=39, time=0.50 s
Processed session  51: QLAK-CA1-30_day19, cells=375, trials=39, time=0.50 s
Processed session  52: QLAK-CA1-30_day20, cells=392, trials=39, time=0.52 s
Processed session  53: QLAK-CA1-30_day21, cells=405, trials=39, time=0.54 s
Processed session  54: QLAK-CA1-30_day22, cells=370, trials=39, time=0.49 s
Processed session  55: QLAK-CA1-30_day23, cells=395, trials=39, time=0.53 s
Processed session  56: QLAK-CA1-30_day24, cells=388, trials=39, time=0.52 s
Processed session  57: QLAK-CA1-30_day25, cells=417, trials=39, time=0.56 s
Processed session  58: QLAK-CA1-30_day26, cells=421, trials=39, time=0.56 s
Processed session  59: QLAK-CA1-30_day27, cells=422, trials=39, time=0.56 s
