Mode: full (all sessions)
Source: 30 Hz; trial: 60 s; pool: 3 frames -> 100.0 ms
Loading QLAK-CA1-08 ...
Loaded QLAK-CA1-08 in 8.91s: trace (31, 515, 71866), position (31, 2, 71866)
  QLAK-CA1-08_day00: 185 neurons, 39 trials in 0.19s
  QLAK-CA1-08_day01: 153 neurons, 39 trials in 0.16s
  QLAK-CA1-08_day02: 156 neurons, 39 trials in 0.16s
  QLAK-CA1-08_day03: 187 neurons, 39 trials in 0.19s
  QLAK-CA1-08_day04: 185 neurons, 39 trials in 0.19s
  QLAK-CA1-08_day05: 186 neurons, 39 trials in 0.19s
  QLAK-CA1-08_day06: 194 neurons, 39 trials in 0.20s
  QLAK-CA1-08_day07: 204 neurons, 39 trials in 0.21s
  QLAK-CA1-08_day08: 189 neurons, 39 trials in 0.19s
  QLAK-CA1-08_day09: 200 neurons, 39 trials in 0.20s
  QLAK-CA1-08_day10: 222 neurons, 39 trials in 0.22s
  QLAK-CA1-08_day11: 196 neurons, 39 trials in 0.20s
  QLAK-CA1-08_day12: 216 neurons, 39 trials in 0.22s
  QLAK-CA1-08_day13: 211 neurons, 39 trials in 0.22s
  QLAK-CA1-08_day14: 206 neurons, 39 trials in 0.21s
  QLAK-CA1-08_day15: 199 neurons, 39 trials in 0.21s
  QLAK-CA1-08_day16: 227 neurons, 39 trials in 0.23s
  QLAK-CA1-08_day17: 233 neurons, 39 trials in 0.24s
  QLAK-CA1-08_day18: 240 neurons, 39 trials in 0.24s
  QLAK-CA1-08_day19: 236 neurons, 39 trials in 0.25s
  QLAK-CA1-08_day20: 226 neurons, 39 trials in 0.23s
  QLAK-CA1-08_day21: 247 neurons, 39 trials in 0.25s
  QLAK-CA1-08_day22: 224 neurons, 39 trials in 0.23s
  QLAK-CA1-08_day23: 227 neurons, 39 trials in 0.23s
  QLAK-CA1-08_day24: 239 neurons, 39 trials in 0.24s
  QLAK-CA1-08_day25: 235 neurons, 39 trials in 0.24s
  QLAK-CA1-08_day26: 237 neurons, 39 trials in 0.24s
  QLAK-CA1-08_day27: 230 neurons, 39 trials in 0.24s
  QLAK-CA1-08_day28: 236 neurons, 39 trials in 0.24s
  QLAK-CA1-08_day29: 254 neurons, 39 trials in 0.26s
  QLAK-CA1-08_day30: 251 neurons, 39 trials in 0.26s
Loading QLAK-CA1-30 ...
Loaded QLAK-CA1-30 in 14.81s: trace (31, 875, 71866), position (31, 2, 71866)
  QLAK-CA1-30_day00: 398 neurons, 39 trials in 0.41s
  QLAK-CA1-30_day01: 404 neurons, 39 trials in 0.42s
  QLAK-CA1-30_day02: 350 neurons, 39 trials in 0.36s
  QLAK-CA1-30_day03: 356 neurons, 39 trials in 0.37s
  QLAK-CA1-30_day04: 350 neurons, 39 trials in 0.36s
  QLAK-CA1-30_day05: 380 neurons, 39 trials in 0.38s
  QLAK-CA1-30_day06: 347 neurons, 39 trials in 0.36s
  QLAK-CA1-30_day07: 352 neurons, 39 trials in 0.35s
  QLAK-CA1-30_day08: 336 neurons, 39 trials in 0.35s
  QLAK-CA1-30_day09: 382 neurons, 39 trials in 0.39s
  QLAK-CA1-30_day10: 367 neurons, 39 trials in 0.38s
  QLAK-CA1-30_day11: 411 neurons, 39 trials in 0.43s
  QLAK-CA1-30_day12: 405 neurons, 39 trials in 0.42s
  QLAK-CA1-30_day13: 350 neurons, 39 trials in 0.36s
  QLAK-CA1-30_day14: 378 neurons, 39 trials in 0.38s
  QLAK-CA1-30_day15: 340 neurons, 39 trials in 0.36s
  QLAK-CA1-30_day16: 400 neurons, 39 trials in 0.41s
  QLAK-CA1-30_day17: 390 neurons, 39 trials in 0.40s
  QLAK-CA1-30_day18: 378 neurons, 39 trials in 0.39s
  QLAK-CA1-30_day19: 375 neurons, 39 trials in 0.39s
  QLAK-CA1-30_day20: 392 neurons, 39 trials in 0.41s
  QLAK-CA1-30_day21: 405 neurons, 39 trials in 0.42s
  QLAK-CA1-30_day22: 370 neurons, 39 trials in 0.38s
  QLAK-CA1-30_day23: 395 neurons, 39 trials in 0.41s
  QLAK-CA1-30_day24: 388 neurons, 39 trials in 0.40s
  QLAK-CA1-30_day25: 417 neurons, 39 trials in 0.44s
  QLAK-CA1-30_day26: 421 neurons, 39 trials in 0.44s
  QLAK-CA1-30_day27: 422 neurons, 39 trials in 0.44s
  QLAK-CA1-30_day28: 360 neurons, 39 trials in 0.38s
  QLAK-CA1-30_day29: 397 neurons, 39 trials in 0.41s
  QLAK-CA1-30_day30: 396 neurons, 39 trials in 0.41s
Loading QLAK-CA1-50 ...
