Loaded QLAK-CA1-08: 31 sessions
  Converted QLAK-CA1-08_day00: 40 trials, 185 neurons, 0.13s
  Converted QLAK-CA1-08_day01: 40 trials, 153 neurons, 0.11s
  Converted QLAK-CA1-08_day02: 40 trials, 156 neurons, 0.11s
  Converted QLAK-CA1-08_day03: 40 trials, 187 neurons, 0.13s
  Converted QLAK-CA1-08_day04: 40 trials, 185 neurons, 0.13s
  Converted QLAK-CA1-08_day05: 40 trials, 186 neurons, 0.13s
  Converted QLAK-CA1-08_day06: 40 trials, 194 neurons, 0.13s
  Converted QLAK-CA1-08_day07: 40 trials, 204 neurons, 0.14s
  Converted QLAK-CA1-08_day08: 40 trials, 189 neurons, 0.13s
  Converted QLAK-CA1-08_day09: 40 trials, 200 neurons, 0.14s
  Converted QLAK-CA1-08_day10: 40 trials, 222 neurons, 0.15s
  Converted QLAK-CA1-08_day11: 40 trials, 196 neurons, 0.14s
  Converted QLAK-CA1-08_day12: 40 trials, 216 neurons, 0.15s
  Converted QLAK-CA1-08_day13: 40 trials, 211 neurons, 0.14s
  Converted QLAK-CA1-08_day14: 40 trials, 206 neurons, 0.14s
  Converted QLAK-CA1-08_day15: 40 trials, 199 neurons, 0.14s
  Converted QLAK-CA1-08_day16: 40 trials, 227 neurons, 0.16s
  Converted QLAK-CA1-08_day17: 40 trials, 233 neurons, 0.16s
  Converted QLAK-CA1-08_day18: 40 trials, 240 neurons, 0.16s
  Converted QLAK-CA1-08_day19: 40 trials, 236 neurons, 0.16s
  Converted QLAK-CA1-08_day20: 40 trials, 226 neurons, 0.15s
  Converted QLAK-CA1-08_day21: 40 trials, 247 neurons, 0.17s
  Converted QLAK-CA1-08_day22: 40 trials, 224 neurons, 0.15s
  Converted QLAK-CA1-08_day23: 40 trials, 227 neurons, 0.16s
  Converted QLAK-CA1-08_day24: 40 trials, 239 neurons, 0.16s
  Converted QLAK-CA1-08_day25: 40 trials, 235 neurons, 0.16s
  Converted QLAK-CA1-08_day26: 40 trials, 237 neurons, 0.16s
  Converted QLAK-CA1-08_day27: 40 trials, 230 neurons, 0.16s
  Converted QLAK-CA1-08_day28: 40 trials, 236 neurons, 0.16s
  Converted QLAK-CA1-08_day29: 40 trials, 254 neurons, 0.17s
  Converted QLAK-CA1-08_day30: 40 trials, 251 neurons, 0.17s
Finished QLAK-CA1-08 in 70.88s
Loaded QLAK-CA1-30: 31 sessions
  Converted QLAK-CA1-30_day00: 40 trials, 398 neurons, 0.27s
  Converted QLAK-CA1-30_day01: 40 trials, 404 neurons, 0.27s
