Processed QLAK-CA1-08_day00: 185 neurons, 39 trials, 71866 raw frames in 10.27s
Processed QLAK-CA1-08_day01: 153 neurons, 39 trials, 71866 raw frames in 0.05s
Processed QLAK-CA1-08_day02: 156 neurons, 39 trials, 71866 raw frames in 0.05s
Processed QLAK-CA1-08_day03: 187 neurons, 39 trials, 71866 raw frames in 0.06s
Processed QLAK-CA1-08_day04: 185 neurons, 39 trials, 71866 raw frames in 0.06s
Processed QLAK-CA1-08_day05: 186 neurons, 39 trials, 71866 raw frames in 0.06s
Processed QLAK-CA1-08_day06: 194 neurons, 39 trials, 71866 raw frames in 0.06s
Processed QLAK-CA1-08_day07: 204 neurons, 39 trials, 71866 raw frames in 0.06s
Processed QLAK-CA1-08_day08: 189 neurons, 39 trials, 71866 raw frames in 0.06s
Processed QLAK-CA1-08_day09: 200 neurons, 39 trials, 71866 raw frames in 0.06s
Processed QLAK-CA1-08_day10: 222 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-08_day11: 196 neurons, 39 trials, 71866 raw frames in 0.06s
Processed QLAK-CA1-08_day12: 216 neurons, 39 trials, 71866 raw frames in 0.06s
Processed QLAK-CA1-08_day13: 211 neurons, 39 trials, 71866 raw frames in 0.06s
Processed QLAK-CA1-08_day14: 206 neurons, 39 trials, 71866 raw frames in 0.06s
Processed QLAK-CA1-08_day15: 199 neurons, 39 trials, 71866 raw frames in 0.06s
Processed QLAK-CA1-08_day16: 227 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-08_day17: 233 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-08_day18: 240 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-08_day19: 236 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-08_day20: 226 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-08_day21: 247 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-08_day22: 224 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-08_day23: 227 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-08_day24: 239 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-08_day25: 235 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-08_day26: 237 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-08_day27: 230 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-08_day28: 236 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-08_day29: 254 neurons, 39 trials, 71866 raw frames in 0.08s
Processed QLAK-CA1-08_day30: 251 neurons, 39 trials, 71866 raw frames in 0.07s
Processed QLAK-CA1-30_day00: 398 neurons, 39 trials, 71866 raw frames in 17.36s
Processed QLAK-CA1-30_day01: 404 neurons, 39 trials, 71866 raw frames in 0.12s
Processed QLAK-CA1-30_day02: 350 neurons, 39 trials, 71866 raw frames in 0.10s
Processed QLAK-CA1-30_day03: 356 neurons, 39 trials, 71866 raw frames in 0.10s
Processed QLAK-CA1-30_day04: 350 neurons, 39 trials, 71866 raw frames in 0.10s
Processed QLAK-CA1-30_day05: 380 neurons, 39 trials, 71866 raw frames in 0.11s
Processed QLAK-CA1-30_day06: 347 neurons, 39 trials, 71866 raw frames in 0.10s
Processed QLAK-CA1-30_day07: 352 neurons, 39 trials, 71866 raw frames in 0.10s
Processed QLAK-CA1-30_day08: 336 neurons, 39 trials, 71866 raw frames in 0.10s
Processed QLAK-CA1-30_day09: 382 neurons, 39 trials, 71866 raw frames in 0.11s
Processed QLAK-CA1-30_day10: 367 neurons, 39 trials, 71866 raw frames in 0.11s
Processed QLAK-CA1-30_day11: 411 neurons, 39 trials, 71866 raw frames in 0.12s
Processed QLAK-CA1-30_day12: 405 neurons, 39 trials, 71866 raw frames in 0.12s
Processed QLAK-CA1-30_day13: 350 neurons, 39 trials, 71866 raw frames in 0.10s
Processed QLAK-CA1-30_day14: 378 neurons, 39 trials, 71866 raw frames in 0.11s
Processed QLAK-CA1-30_day15: 340 neurons, 39 trials, 71866 raw frames in 0.10s
Processed QLAK-CA1-30_day16: 400 neurons, 39 trials, 71866 raw frames in 0.12s
