Loaded QLAK-CA1-08 in 8.83s
  QLAK-CA1-08_day00: neurons 185->182, trials 39, 0.34s
  QLAK-CA1-08_day01: neurons 153->153, trials 39, 0.31s
  QLAK-CA1-08_day02: neurons 156->151, trials 39, 0.32s
  QLAK-CA1-08_day03: neurons 187->182, trials 39, 0.36s
  QLAK-CA1-08_day04: neurons 185->175, trials 39, 0.34s
  QLAK-CA1-08_day05: neurons 186->180, trials 39, 0.37s
  QLAK-CA1-08_day06: neurons 194->189, trials 39, 0.37s
  QLAK-CA1-08_day07: neurons 204->200, trials 39, 0.39s
  QLAK-CA1-08_day08: neurons 189->187, trials 39, 0.36s
  QLAK-CA1-08_day09: neurons 200->196, trials 39, 0.39s
  QLAK-CA1-08_day10: neurons 222->220, trials 39, 0.42s
  QLAK-CA1-08_day11: neurons 196->195, trials 39, 0.39s
  QLAK-CA1-08_day12: neurons 216->215, trials 39, 0.39s
  QLAK-CA1-08_day13: neurons 211->207, trials 39, 0.37s
  QLAK-CA1-08_day14: neurons 206->203, trials 39, 0.37s
  QLAK-CA1-08_day15: neurons 199->197, trials 39, 0.37s
  QLAK-CA1-08_day16: neurons 227->227, trials 39, 0.41s
  QLAK-CA1-08_day17: neurons 233->229, trials 39, 0.41s
  QLAK-CA1-08_day18: neurons 240->238, trials 39, 0.41s
  QLAK-CA1-08_day19: neurons 236->233, trials 39, 0.40s
  QLAK-CA1-08_day20: neurons 226->222, trials 39, 0.39s
  QLAK-CA1-08_day21: neurons 247->243, trials 39, 0.42s
  QLAK-CA1-08_day22: neurons 224->214, trials 39, 0.39s
  QLAK-CA1-08_day23: neurons 227->226, trials 39, 0.40s
  QLAK-CA1-08_day24: neurons 239->233, trials 39, 0.40s
  QLAK-CA1-08_day25: neurons 235->227, trials 39, 0.40s
  QLAK-CA1-08_day26: neurons 237->232, trials 39, 0.40s
  QLAK-CA1-08_day27: neurons 230->226, trials 39, 0.41s
  QLAK-CA1-08_day28: neurons 236->232, trials 39, 0.41s
  QLAK-CA1-08_day29: neurons 254->250, trials 39, 0.41s
  QLAK-CA1-08_day30: neurons 251->248, trials 39, 0.41s
Loaded QLAK-CA1-30 in 14.63s
  QLAK-CA1-30_day00: neurons 398->396, trials 39, 0.69s
  QLAK-CA1-30_day01: neurons 404->401, trials 39, 0.67s
  QLAK-CA1-30_day02: neurons 350->340, trials 39, 0.59s
  QLAK-CA1-30_day03: neurons 356->344, trials 39, 0.60s
  QLAK-CA1-30_day04: neurons 350->343, trials 39, 0.59s
  QLAK-CA1-30_day05: neurons 380->371, trials 39, 0.59s
  QLAK-CA1-30_day06: neurons 347->344, trials 39, 0.66s
  QLAK-CA1-30_day07: neurons 352->348, trials 39, 0.62s
  QLAK-CA1-30_day08: neurons 336->333, trials 39, 0.58s
  QLAK-CA1-30_day09: neurons 382->366, trials 39, 0.63s
  QLAK-CA1-30_day10: neurons 367->364, trials 39, 0.64s
  QLAK-CA1-30_day11: neurons 411->403, trials 39, 0.67s
  QLAK-CA1-30_day12: neurons 405->397, trials 39, 0.66s
  QLAK-CA1-30_day13: neurons 350->341, trials 39, 0.62s
  QLAK-CA1-30_day14: neurons 378->373, trials 39, 0.64s
  QLAK-CA1-30_day15: neurons 340->334, trials 39, 0.61s
  QLAK-CA1-30_day16: neurons 400->395, trials 39, 0.69s
  QLAK-CA1-30_day17: neurons 390->383, trials 39, 0.65s
  QLAK-CA1-30_day18: neurons 378->370, trials 39, 0.64s
  QLAK-CA1-30_day19: neurons 375->363, trials 39, 0.62s
  QLAK-CA1-30_day20: neurons 392->389, trials 39, 0.70s
  QLAK-CA1-30_day21: neurons 405->400, trials 39, 0.70s
  QLAK-CA1-30_day22: neurons 370->360, trials 39, 0.60s
  QLAK-CA1-30_day23: neurons 395->391, trials 39, 0.66s
  QLAK-CA1-30_day24: neurons 388->380, trials 39, 0.70s
  QLAK-CA1-30_day25: neurons 417->410, trials 39, 0.70s
  QLAK-CA1-30_day26: neurons 421->417, trials 39, 0.73s
  QLAK-CA1-30_day27: neurons 422->418, trials 39, 0.71s
  QLAK-CA1-30_day28: neurons 360->355, trials 39, 0.63s
  QLAK-CA1-30_day29: neurons 397->389, trials 39, 0.68s
  QLAK-CA1-30_day30: neurons 396->389, trials 39, 0.66s
Loaded QLAK-CA1-50 in 15.69s
  QLAK-CA1-50_day00: neurons 214->210, trials 39, 0.53s
  QLAK-CA1-50_day01: neurons 233->226, trials 39, 0.57s
  QLAK-CA1-50_day02: neurons 223->219, trials 39, 0.56s
  QLAK-CA1-50_day03: neurons 224->224, trials 39, 0.58s
  QLAK-CA1-50_day04: neurons 242->238, trials 39, 0.59s
  QLAK-CA1-50_day05: neurons 231->231, trials 39, 0.60s
  QLAK-CA1-50_day06: neurons 227->226, trials 39, 0.56s
  QLAK-CA1-50_day07: neurons 364->358, trials 39, 0.72s
  QLAK-CA1-50_day08: neurons 382->377, trials 39, 0.73s
  QLAK-CA1-50_day09: neurons 367->363, trials 39, 0.72s
  QLAK-CA1-50_day10: neurons 367->365, trials 39, 0.73s
  QLAK-CA1-50_day11: neurons 428->424, trials 39, 0.79s
  QLAK-CA1-50_day12: neurons 405->404, trials 39, 0.76s
  QLAK-CA1-50_day13: neurons 421->420, trials 39, 0.79s
  QLAK-CA1-50_day14: neurons 434->430, trials 39, 0.79s
  QLAK-CA1-50_day15: neurons 375->370, trials 39, 0.72s
  QLAK-CA1-50_day16: neurons 430->428, trials 39, 0.81s
  QLAK-CA1-50_day17: neurons 457->455, trials 39, 0.83s
  QLAK-CA1-50_day18: neurons 479->478, trials 39, 0.85s
  QLAK-CA1-50_day19: neurons 452->452, trials 39, 0.84s
  QLAK-CA1-50_day20: neurons 409->407, trials 39, 0.78s
  QLAK-CA1-50_day21: neurons 519->518, trials 39, 0.92s
  QLAK-CA1-50_day22: neurons 502->500, trials 39, 0.89s
  QLAK-CA1-50_day23: neurons 501->500, trials 39, 0.89s
  QLAK-CA1-50_day24: neurons 493->490, trials 39, 0.89s
  QLAK-CA1-50_day25: neurons 445->444, trials 39, 0.86s
  QLAK-CA1-50_day26: neurons 488->487, trials 39, 0.83s
  QLAK-CA1-50_day27: neurons 523->522, trials 39, 0.93s
  QLAK-CA1-50_day28: neurons 492->486, trials 39, 0.84s
  QLAK-CA1-50_day29: neurons 536->532, trials 39, 0.92s
  QLAK-CA1-50_day30: neurons 564->562, trials 39, 0.97s
Loaded QLAK-CA1-51 in 6.31s
  QLAK-CA1-51_day00: neurons 113->112, trials 40, 0.31s
  QLAK-CA1-51_day01: neurons 143->142, trials 40, 0.35s
  QLAK-CA1-51_day02: neurons 148->147, trials 40, 0.35s
  QLAK-CA1-51_day03: neurons 166->164, trials 40, 0.37s
  QLAK-CA1-51_day04: neurons 162->162, trials 40, 0.38s
  QLAK-CA1-51_day05: neurons 151->149, trials 40, 0.37s
  QLAK-CA1-51_day06: neurons 179->179, trials 40, 0.39s
  QLAK-CA1-51_day07: neurons 227->227, trials 40, 0.45s
  QLAK-CA1-51_day08: neurons 233->233, trials 40, 0.46s
  QLAK-CA1-51_day09: neurons 253->253, trials 40, 0.48s
  QLAK-CA1-51_day10: neurons 235->234, trials 40, 0.46s
  QLAK-CA1-51_day11: neurons 263->262, trials 40, 0.49s
  QLAK-CA1-51_day12: neurons 258->257, trials 40, 0.47s
  QLAK-CA1-51_day13: neurons 233->230, trials 40, 0.44s
  QLAK-CA1-51_day14: neurons 277->274, trials 40, 0.50s
  QLAK-CA1-51_day15: neurons 274->273, trials 40, 0.51s
  QLAK-CA1-51_day16: neurons 276->274, trials 40, 0.51s
  QLAK-CA1-51_day17: neurons 284->284, trials 40, 0.52s
  QLAK-CA1-51_day18: neurons 317->316, trials 40, 0.55s
  QLAK-CA1-51_day19: neurons 316->316, trials 40, 0.55s
  QLAK-CA1-51_day20: neurons 323->322, trials 40, 0.54s
Loaded QLAK-CA1-56 in 14.50s
  QLAK-CA1-56_day00: neurons 295->292, trials 40, 0.58s
  QLAK-CA1-56_day01: neurons 251->239, trials 40, 0.52s
  QLAK-CA1-56_day02: neurons 257->253, trials 40, 0.56s
  QLAK-CA1-56_day03: neurons 281->267, trials 40, 0.57s
  QLAK-CA1-56_day04: neurons 264->258, trials 40, 0.54s
  QLAK-CA1-56_day05: neurons 257->250, trials 40, 0.55s
  QLAK-CA1-56_day06: neurons 281->276, trials 40, 0.59s
  QLAK-CA1-56_day07: neurons 340->337, trials 40, 0.66s
  QLAK-CA1-56_day08: neurons 326->321, trials 40, 0.60s
  QLAK-CA1-56_day09: neurons 336->333, trials 40, 0.66s
  QLAK-CA1-56_day10: neurons 329->320, trials 40, 0.60s
  QLAK-CA1-56_day11: neurons 337->330, trials 40, 0.64s
  QLAK-CA1-56_day12: neurons 402->397, trials 40, 0.72s
  QLAK-CA1-56_day13: neurons 371->367, trials 40, 0.71s
  QLAK-CA1-56_day14: neurons 379->374, trials 40, 0.68s
  QLAK-CA1-56_day15: neurons 391->386, trials 40, 0.72s
  QLAK-CA1-56_day16: neurons 377->373, trials 40, 0.70s
  QLAK-CA1-56_day17: neurons 395->392, trials 40, 0.69s
  QLAK-CA1-56_day18: neurons 437->432, trials 40, 0.76s
  QLAK-CA1-56_day19: neurons 428->427, trials 40, 0.78s
  QLAK-CA1-56_day20: neurons 406->403, trials 40, 0.70s
  QLAK-CA1-56_day21: neurons 438->433, trials 40, 0.73s
  QLAK-CA1-56_day22: neurons 423->420, trials 40, 0.71s
  QLAK-CA1-56_day23: neurons 436->430, trials 40, 0.74s
  QLAK-CA1-56_day24: neurons 452->443, trials 40, 0.76s
  QLAK-CA1-56_day25: neurons 472->464, trials 40, 0.79s
  QLAK-CA1-56_day26: neurons 444->440, trials 40, 0.76s
  QLAK-CA1-56_day27: neurons 481->481, trials 40, 0.81s
  QLAK-CA1-56_day28: neurons 485->483, trials 40, 0.80s
  QLAK-CA1-56_day29: neurons 507->503, trials 40, 0.83s
  QLAK-CA1-56_day30: neurons 529->526, trials 40, 0.84s
Loaded QLAK-CA1-74 in 11.90s
  QLAK-CA1-74_day00: neurons 304->302, trials 40, 0.55s
  QLAK-CA1-74_day01: neurons 278->274, trials 40, 0.53s
  QLAK-CA1-74_day02: neurons 274->271, trials 40, 0.54s
  QLAK-CA1-74_day03: neurons 264->260, trials 40, 0.51s
  QLAK-CA1-74_day04: neurons 292->288, trials 40, 0.54s
  QLAK-CA1-74_day05: neurons 275->268, trials 40, 0.52s
  QLAK-CA1-74_day06: neurons 285->282, trials 40, 0.55s
  QLAK-CA1-74_day07: neurons 258->252, trials 40, 0.47s
  QLAK-CA1-74_day08: neurons 306->303, trials 40, 0.54s
  QLAK-CA1-74_day09: neurons 303->300, trials 40, 0.52s
  QLAK-CA1-74_day10: neurons 286->283, trials 40, 0.49s
  QLAK-CA1-74_day11: neurons 316->311, trials 40, 0.52s
