Loading QLAK-CA1-08...
  loaded in 8.85s
  session 000 QLAK-CA1-08_day00: 185 neurons, 39 trials, corrected=0, 0.21s
  session 001 QLAK-CA1-08_day01: 153 neurons, 39 trials, corrected=0, 0.17s
  session 002 QLAK-CA1-08_day02: 156 neurons, 39 trials, corrected=0, 0.17s
  session 003 QLAK-CA1-08_day03: 187 neurons, 39 trials, corrected=0, 0.21s
  session 004 QLAK-CA1-08_day04: 185 neurons, 39 trials, corrected=0, 0.20s
  session 005 QLAK-CA1-08_day05: 186 neurons, 39 trials, corrected=0, 0.20s
  session 006 QLAK-CA1-08_day06: 194 neurons, 39 trials, corrected=0, 0.20s
  session 007 QLAK-CA1-08_day07: 204 neurons, 39 trials, corrected=0, 0.21s
  session 008 QLAK-CA1-08_day08: 189 neurons, 39 trials, corrected=0, 0.21s
  session 009 QLAK-CA1-08_day09: 200 neurons, 39 trials, corrected=0, 0.20s
  session 010 QLAK-CA1-08_day10: 222 neurons, 39 trials, corrected=0, 0.24s
  session 011 QLAK-CA1-08_day11: 196 neurons, 39 trials, corrected=0, 0.21s
  session 012 QLAK-CA1-08_day12: 216 neurons, 39 trials, corrected=0, 0.22s
  session 013 QLAK-CA1-08_day13: 211 neurons, 39 trials, corrected=1, 0.23s
  session 014 QLAK-CA1-08_day14: 206 neurons, 39 trials, corrected=0, 0.23s
  session 015 QLAK-CA1-08_day15: 199 neurons, 39 trials, corrected=0, 0.22s
  session 016 QLAK-CA1-08_day16: 227 neurons, 39 trials, corrected=0, 0.24s
  session 017 QLAK-CA1-08_day17: 233 neurons, 39 trials, corrected=0, 0.26s
  session 018 QLAK-CA1-08_day18: 240 neurons, 39 trials, corrected=0, 0.24s
  session 019 QLAK-CA1-08_day19: 236 neurons, 39 trials, corrected=0, 0.25s
  session 020 QLAK-CA1-08_day20: 226 neurons, 39 trials, corrected=0, 0.24s
  session 021 QLAK-CA1-08_day21: 247 neurons, 39 trials, corrected=0, 0.27s
  session 022 QLAK-CA1-08_day22: 224 neurons, 39 trials, corrected=0, 0.25s
  session 023 QLAK-CA1-08_day23: 227 neurons, 39 trials, corrected=0, 0.24s
  session 024 QLAK-CA1-08_day24: 239 neurons, 39 trials, corrected=0, 0.26s
  session 025 QLAK-CA1-08_day25: 235 neurons, 39 trials, corrected=0, 0.25s
  session 026 QLAK-CA1-08_day26: 237 neurons, 39 trials, corrected=0, 0.26s
  session 027 QLAK-CA1-08_day27: 230 neurons, 39 trials, corrected=0, 0.25s
  session 028 QLAK-CA1-08_day28: 236 neurons, 39 trials, corrected=0, 0.25s
  session 029 QLAK-CA1-08_day29: 254 neurons, 39 trials, corrected=0, 0.28s
  session 030 QLAK-CA1-08_day30: 251 neurons, 39 trials, corrected=0, 0.28s
Loading QLAK-CA1-30...
  loaded in 14.59s
  session 031 QLAK-CA1-30_day00: 398 neurons, 39 trials, corrected=0, 0.45s
  session 032 QLAK-CA1-30_day01: 404 neurons, 39 trials, corrected=0, 0.44s
  session 033 QLAK-CA1-30_day02: 350 neurons, 39 trials, corrected=0, 0.38s
  session 034 QLAK-CA1-30_day03: 356 neurons, 39 trials, corrected=0, 0.38s
  session 035 QLAK-CA1-30_day04: 350 neurons, 39 trials, corrected=0, 0.39s
  session 036 QLAK-CA1-30_day05: 380 neurons, 39 trials, corrected=0, 0.41s
  session 037 QLAK-CA1-30_day06: 347 neurons, 39 trials, corrected=1, 0.39s
  session 038 QLAK-CA1-30_day07: 352 neurons, 39 trials, corrected=0, 0.39s
  session 039 QLAK-CA1-30_day08: 336 neurons, 39 trials, corrected=0, 0.34s
  session 040 QLAK-CA1-30_day09: 382 neurons, 39 trials, corrected=0, 0.42s
  session 041 QLAK-CA1-30_day10: 367 neurons, 39 trials, corrected=0, 0.41s
  session 042 QLAK-CA1-30_day11: 411 neurons, 39 trials, corrected=0, 0.46s
  session 043 QLAK-CA1-30_day12: 405 neurons, 39 trials, corrected=0, 0.45s
  session 044 QLAK-CA1-30_day13: 350 neurons, 39 trials, corrected=0, 0.39s
  session 045 QLAK-CA1-30_day14: 378 neurons, 39 trials, corrected=0, 0.42s
  session 046 QLAK-CA1-30_day15: 340 neurons, 39 trials, corrected=0, 0.37s
  session 047 QLAK-CA1-30_day16: 400 neurons, 39 trials, corrected=0, 0.40s
  session 048 QLAK-CA1-30_day17: 390 neurons, 39 trials, corrected=0, 0.43s
  session 049 QLAK-CA1-30_day18: 378 neurons, 39 trials, corrected=0, 0.42s
  session 050 QLAK-CA1-30_day19: 375 neurons, 39 trials, corrected=0, 0.42s
  session 051 QLAK-CA1-30_day20: 392 neurons, 39 trials, corrected=0, 0.40s
  session 052 QLAK-CA1-30_day21: 405 neurons, 39 trials, corrected=0, 0.45s
  session 053 QLAK-CA1-30_day22: 370 neurons, 39 trials, corrected=0, 0.41s
  session 054 QLAK-CA1-30_day23: 395 neurons, 39 trials, corrected=0, 0.43s
  session 055 QLAK-CA1-30_day24: 388 neurons, 39 trials, corrected=0, 0.41s
  session 056 QLAK-CA1-30_day25: 417 neurons, 39 trials, corrected=0, 0.44s
  session 057 QLAK-CA1-30_day26: 421 neurons, 39 trials, corrected=0, 0.46s
  session 058 QLAK-CA1-30_day27: 422 neurons, 39 trials, corrected=0, 0.47s
  session 059 QLAK-CA1-30_day28: 360 neurons, 39 trials, corrected=0, 0.37s
  session 060 QLAK-CA1-30_day29: 397 neurons, 39 trials, corrected=0, 0.44s
  session 061 QLAK-CA1-30_day30: 396 neurons, 39 trials, corrected=0, 0.43s
Loading QLAK-CA1-50...
  loaded in 15.82s
  session 062 QLAK-CA1-50_day00: 214 neurons, 39 trials, corrected=0, 0.24s
  session 063 QLAK-CA1-50_day01: 233 neurons, 39 trials, corrected=0, 0.25s
  session 064 QLAK-CA1-50_day02: 223 neurons, 39 trials, corrected=0, 0.24s
  session 065 QLAK-CA1-50_day03: 224 neurons, 39 trials, corrected=0, 0.25s
  session 066 QLAK-CA1-50_day04: 242 neurons, 39 trials, corrected=0, 0.26s
  session 067 QLAK-CA1-50_day05: 231 neurons, 39 trials, corrected=0, 0.25s
  session 068 QLAK-CA1-50_day06: 227 neurons, 39 trials, corrected=0, 0.24s
  session 069 QLAK-CA1-50_day07: 364 neurons, 39 trials, corrected=0, 0.39s
  session 070 QLAK-CA1-50_day08: 382 neurons, 39 trials, corrected=0, 0.43s
  session 071 QLAK-CA1-50_day09: 367 neurons, 39 trials, corrected=0, 0.41s
  session 072 QLAK-CA1-50_day10: 367 neurons, 39 trials, corrected=0, 0.40s
  session 073 QLAK-CA1-50_day11: 428 neurons, 39 trials, corrected=0, 0.46s
  session 074 QLAK-CA1-50_day12: 405 neurons, 39 trials, corrected=0, 0.45s
  session 075 QLAK-CA1-50_day13: 421 neurons, 39 trials, corrected=0, 0.46s
  session 076 QLAK-CA1-50_day14: 434 neurons, 39 trials, corrected=0, 0.48s
  session 077 QLAK-CA1-50_day15: 375 neurons, 39 trials, corrected=0, 0.42s
  session 078 QLAK-CA1-50_day16: 430 neurons, 39 trials, corrected=0, 0.48s
  session 079 QLAK-CA1-50_day17: 457 neurons, 39 trials, corrected=0, 0.52s
  session 080 QLAK-CA1-50_day18: 479 neurons, 39 trials, corrected=0, 0.55s
  session 081 QLAK-CA1-50_day19: 452 neurons, 39 trials, corrected=0, 0.49s
  session 082 QLAK-CA1-50_day20: 409 neurons, 39 trials, corrected=0, 0.46s
  session 083 QLAK-CA1-50_day21: 519 neurons, 39 trials, corrected=0, 0.59s
  session 084 QLAK-CA1-50_day22: 502 neurons, 39 trials, corrected=0, 0.56s
  session 085 QLAK-CA1-50_day23: 501 neurons, 39 trials, corrected=0, 0.58s
  session 086 QLAK-CA1-50_day24: 493 neurons, 39 trials, corrected=0, 0.55s
  session 087 QLAK-CA1-50_day25: 445 neurons, 39 trials, corrected=0, 0.51s
  session 088 QLAK-CA1-50_day26: 488 neurons, 39 trials, corrected=0, 0.51s
  session 089 QLAK-CA1-50_day27: 523 neurons, 39 trials, corrected=0, 0.60s
  session 090 QLAK-CA1-50_day28: 492 neurons, 39 trials, corrected=0, 0.54s
  session 091 QLAK-CA1-50_day29: 536 neurons, 39 trials, corrected=0, 0.57s
  session 092 QLAK-CA1-50_day30: 564 neurons, 39 trials, corrected=0, 0.62s
Loading QLAK-CA1-51...
  loaded in 6.37s
  session 093 QLAK-CA1-51_day00: 113 neurons, 40 trials, corrected=0, 0.11s
  session 094 QLAK-CA1-51_day01: 143 neurons, 40 trials, corrected=0, 0.14s
  session 095 QLAK-CA1-51_day02: 148 neurons, 40 trials, corrected=0, 0.15s
  session 096 QLAK-CA1-51_day03: 166 neurons, 40 trials, corrected=0, 0.17s
  session 097 QLAK-CA1-51_day04: 162 neurons, 40 trials, corrected=145, 0.17s
  session 098 QLAK-CA1-51_day05: 151 neurons, 40 trials, corrected=0, 0.16s
  session 099 QLAK-CA1-51_day06: 179 neurons, 40 trials, corrected=0, 0.19s
  session 100 QLAK-CA1-51_day07: 227 neurons, 40 trials, corrected=0, 0.24s
  session 101 QLAK-CA1-51_day08: 233 neurons, 40 trials, corrected=0, 0.26s
  session 102 QLAK-CA1-51_day09: 253 neurons, 40 trials, corrected=0, 0.29s
  session 103 QLAK-CA1-51_day10: 235 neurons, 40 trials, corrected=0, 0.25s
  session 104 QLAK-CA1-51_day11: 263 neurons, 40 trials, corrected=0, 0.29s
  session 105 QLAK-CA1-51_day12: 258 neurons, 40 trials, corrected=0, 0.28s
  session 106 QLAK-CA1-51_day13: 233 neurons, 40 trials, corrected=0, 0.26s
  session 107 QLAK-CA1-51_day14: 277 neurons, 40 trials, corrected=0, 0.30s
  session 108 QLAK-CA1-51_day15: 274 neurons, 40 trials, corrected=0, 0.30s
  session 109 QLAK-CA1-51_day16: 276 neurons, 40 trials, corrected=0, 0.29s
  session 110 QLAK-CA1-51_day17: 284 neurons, 40 trials, corrected=0, 0.30s
  session 111 QLAK-CA1-51_day18: 317 neurons, 40 trials, corrected=0, 0.36s
  session 112 QLAK-CA1-51_day19: 316 neurons, 40 trials, corrected=0, 0.34s
  session 113 QLAK-CA1-51_day20: 323 neurons, 40 trials, corrected=0, 0.36s
Loading QLAK-CA1-56...
  loaded in 14.46s
  session 114 QLAK-CA1-56_day00: 295 neurons, 40 trials, corrected=0, 0.33s
  session 115 QLAK-CA1-56_day01: 251 neurons, 40 trials, corrected=0, 0.28s
  session 116 QLAK-CA1-56_day02: 257 neurons, 40 trials, corrected=0, 0.27s
  session 117 QLAK-CA1-56_day03: 281 neurons, 40 trials, corrected=0, 0.31s
  session 118 QLAK-CA1-56_day04: 264 neurons, 40 trials, corrected=0, 0.27s
  session 119 QLAK-CA1-56_day05: 257 neurons, 40 trials, corrected=0, 0.27s
  session 120 QLAK-CA1-56_day06: 281 neurons, 40 trials, corrected=0, 0.31s
  session 121 QLAK-CA1-56_day07: 340 neurons, 40 trials, corrected=0, 0.37s
  session 122 QLAK-CA1-56_day08: 326 neurons, 40 trials, corrected=0, 0.36s
  session 123 QLAK-CA1-56_day09: 336 neurons, 40 trials, corrected=0, 0.34s
  session 124 QLAK-CA1-56_day10: 329 neurons, 40 trials, corrected=0, 0.37s
  session 125 QLAK-CA1-56_day11: 337 neurons, 40 trials, corrected=0, 0.38s
  session 126 QLAK-CA1-56_day12: 402 neurons, 40 trials, corrected=0, 0.45s
  session 127 QLAK-CA1-56_day13: 371 neurons, 40 trials, corrected=0, 0.41s
  session 128 QLAK-CA1-56_day14: 379 neurons, 40 trials, corrected=0, 0.44s
  session 129 QLAK-CA1-56_day15: 391 neurons, 40 trials, corrected=0, 0.44s
  session 130 QLAK-CA1-56_day16: 377 neurons, 40 trials, corrected=0, 0.42s
  session 131 QLAK-CA1-56_day17: 395 neurons, 40 trials, corrected=0, 0.43s
  session 132 QLAK-CA1-56_day18: 437 neurons, 40 trials, corrected=0, 0.49s
  session 133 QLAK-CA1-56_day19: 428 neurons, 40 trials, corrected=0, 0.46s
  session 134 QLAK-CA1-56_day20: 406 neurons, 40 trials, corrected=0, 0.45s
  session 135 QLAK-CA1-56_day21: 438 neurons, 40 trials, corrected=0, 0.48s
  session 136 QLAK-CA1-56_day22: 423 neurons, 40 trials, corrected=0, 0.47s
  session 137 QLAK-CA1-56_day23: 436 neurons, 40 trials, corrected=0, 0.47s
  session 138 QLAK-CA1-56_day24: 452 neurons, 40 trials, corrected=0, 0.49s
  session 139 QLAK-CA1-56_day25: 472 neurons, 40 trials, corrected=0, 0.50s
  session 140 QLAK-CA1-56_day26: 444 neurons, 40 trials, corrected=0, 0.49s
  session 141 QLAK-CA1-56_day27: 481 neurons, 40 trials, corrected=0, 0.51s
  session 142 QLAK-CA1-56_day28: 485 neurons, 40 trials, corrected=0, 0.54s
