Data format warnings:
  - Session 0, trial 0: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 1: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 2: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 3: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 4: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 5: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 6: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 7: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 8: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 9: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 10: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 11: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 12: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 13: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 14: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 15: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 16: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 17: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 18: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 19: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 20: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 21: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 22: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 23: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 24: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 25: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 26: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 27: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 28: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 29: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 30: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 31: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 32: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 33: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 34: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 35: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 36: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 37: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 0, trial 38: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 1, trial 0: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 1, trial 1: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 1, trial 2: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 1, trial 3: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 1, trial 4: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 1, trial 5: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 1, trial 6: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 1, trial 7: neural dtype is uint8, expected float32. Will be converted during training.
  - Session 1, trial 8: neural dtype is uint8, expected float32. Will be converted during training.
