
Loading QLAK-CA1-08...
  31 sessions, 515 tracked neurons
  Session 0 (square): 185 neurons, 39 trials
  Session 1 (o): 153 neurons, 39 trials
  Session 2 (t): 156 neurons, 39 trials
  Session 3 (u): 187 neurons, 39 trials
  Session 4 (rectangle): 185 neurons, 39 trials
  Session 5 (+): 186 neurons, 39 trials
  Session 6 (i): 194 neurons, 39 trials
  Session 7 (l): 204 neurons, 39 trials
  Session 8 (bit donut): 189 neurons, 39 trials
  Session 9 (glenn): 200 neurons, 39 trials
  Session 10 (square): 222 neurons, 39 trials
  Session 11 (o): 196 neurons, 39 trials
  Session 12 (t): 216 neurons, 39 trials
  Session 13 (u): 211 neurons, 39 trials
  Session 14 (rectangle): 206 neurons, 39 trials
  Session 15 (+): 199 neurons, 39 trials
  Session 16 (i): 227 neurons, 39 trials
  Session 17 (l): 233 neurons, 39 trials
  Session 18 (bit donut): 240 neurons, 39 trials
  Session 19 (glenn): 236 neurons, 39 trials
  Session 20 (square): 226 neurons, 39 trials
  Session 21 (o): 247 neurons, 39 trials
  Session 22 (t): 224 neurons, 39 trials
  Session 23 (u): 227 neurons, 39 trials
  Session 24 (rectangle): 239 neurons, 39 trials
  Session 25 (+): 235 neurons, 39 trials
  Session 26 (i): 237 neurons, 39 trials
  Session 27 (l): 230 neurons, 39 trials
  Session 28 (bit donut): 236 neurons, 39 trials
  Session 29 (glenn): 254 neurons, 39 trials
  Session 30 (square): 251 neurons, 39 trials

Loading QLAK-CA1-30...
  31 sessions, 875 tracked neurons
  Session 0 (square): 398 neurons, 39 trials
  Session 1 (o): 404 neurons, 39 trials
  Session 2 (+): 350 neurons, 39 trials
  Session 3 (l): 356 neurons, 39 trials
  Session 4 (glenn): 350 neurons, 39 trials
  Session 5 (i): 380 neurons, 39 trials
  Session 6 (u): 347 neurons, 39 trials
  Session 7 (bit donut): 352 neurons, 39 trials
  Session 8 (rectangle): 336 neurons, 39 trials
  Session 9 (t): 382 neurons, 39 trials
  Session 10 (square): 367 neurons, 39 trials
  Session 11 (o): 411 neurons, 39 trials
  Session 12 (+): 405 neurons, 39 trials
  Session 13 (l): 350 neurons, 39 trials
  Session 14 (glenn): 378 neurons, 39 trials
  Session 15 (i): 340 neurons, 39 trials
  Session 16 (u): 400 neurons, 39 trials
  Session 17 (bit donut): 390 neurons, 39 trials
  Session 18 (rectangle): 378 neurons, 39 trials
  Session 19 (t): 375 neurons, 39 trials
  Session 20 (square): 392 neurons, 39 trials
  Session 21 (o): 405 neurons, 39 trials
  Session 22 (+): 370 neurons, 39 trials
  Session 23 (l): 395 neurons, 39 trials
  Session 24 (glenn): 388 neurons, 39 trials
  Session 25 (i): 417 neurons, 39 trials
  Session 26 (u): 421 neurons, 39 trials
  Session 27 (bit donut): 422 neurons, 39 trials
  Session 28 (rectangle): 360 neurons, 39 trials
  Session 29 (t): 397 neurons, 39 trials
  Session 30 (square): 396 neurons, 39 trials

Loading QLAK-CA1-50...
  31 sessions, 942 tracked neurons
  Session 0 (square): 214 neurons, 39 trials
  Session 1 (+): 233 neurons, 39 trials
  Session 2 (bit donut): 223 neurons, 39 trials
  Session 3 (o): 224 neurons, 39 trials
  Session 4 (u): 242 neurons, 39 trials
  Session 5 (t): 231 neurons, 39 trials
  Session 6 (rectangle): 227 neurons, 39 trials
  Session 7 (glenn): 364 neurons, 39 trials
  Session 8 (i): 382 neurons, 39 trials
  Session 9 (l): 367 neurons, 39 trials
  Session 10 (square): 367 neurons, 39 trials
  Session 11 (+): 428 neurons, 39 trials
  Session 12 (bit donut): 405 neurons, 39 trials
  Session 13 (o): 421 neurons, 39 trials
  Session 14 (u): 434 neurons, 39 trials
  Session 15 (t): 375 neurons, 39 trials
  Session 16 (rectangle): 430 neurons, 39 trials
  Session 17 (glenn): 457 neurons, 39 trials
  Session 18 (i): 479 neurons, 39 trials
  Session 19 (l): 452 neurons, 39 trials
  Session 20 (square): 409 neurons, 39 trials
  Session 21 (+): 519 neurons, 39 trials
  Session 22 (bit donut): 502 neurons, 39 trials
  Session 23 (o): 501 neurons, 39 trials
  Session 24 (u): 493 neurons, 39 trials
  Session 25 (t): 445 neurons, 39 trials
  Session 26 (rectangle): 488 neurons, 39 trials
  Session 27 (glenn): 523 neurons, 39 trials
  Session 28 (i): 492 neurons, 39 trials
  Session 29 (l): 536 neurons, 39 trials
  Session 30 (square): 564 neurons, 39 trials

Loading QLAK-CA1-51...
  21 sessions, 554 tracked neurons
  Session 0 (square): 113 neurons, 40 trials
  Session 1 (o): 143 neurons, 40 trials
  Session 2 (l): 148 neurons, 40 trials
  Session 3 (u): 166 neurons, 40 trials
  Session 4 (bit donut): 162 neurons, 40 trials
  Session 5 (rectangle): 151 neurons, 40 trials
  Session 6 (+): 179 neurons, 40 trials
  Session 7 (glenn): 227 neurons, 40 trials
  Session 8 (i): 233 neurons, 40 trials
  Session 9 (t): 253 neurons, 40 trials
  Session 10 (square): 235 neurons, 40 trials
  Session 11 (o): 263 neurons, 40 trials
  Session 12 (l): 258 neurons, 40 trials
  Session 13 (u): 233 neurons, 40 trials
  Session 14 (bit donut): 277 neurons, 40 trials
  Session 15 (rectangle): 274 neurons, 40 trials
  Session 16 (+): 276 neurons, 40 trials
  Session 17 (glenn): 284 neurons, 40 trials
  Session 18 (i): 317 neurons, 40 trials
  Session 19 (t): 316 neurons, 40 trials
  Session 20 (square): 323 neurons, 40 trials

Loading QLAK-CA1-56...
  31 sessions, 862 tracked neurons
  Session 0 (square): 295 neurons, 40 trials
  Session 1 (l): 251 neurons, 40 trials
  Session 2 (bit donut): 257 neurons, 40 trials
  Session 3 (glenn): 281 neurons, 40 trials
  Session 4 (rectangle): 264 neurons, 40 trials
  Session 5 (i): 257 neurons, 40 trials
  Session 6 (+): 281 neurons, 40 trials
  Session 7 (o): 340 neurons, 40 trials
  Session 8 (u): 326 neurons, 40 trials
  Session 9 (t): 336 neurons, 40 trials
  Session 10 (square): 329 neurons, 40 trials
  Session 11 (l): 337 neurons, 40 trials
  Session 12 (bit donut): 402 neurons, 40 trials
  Session 13 (glenn): 371 neurons, 40 trials
  Session 14 (rectangle): 379 neurons, 40 trials
  Session 15 (i): 391 neurons, 40 trials
  Session 16 (+): 377 neurons, 40 trials
  Session 17 (o): 395 neurons, 40 trials
  Session 18 (u): 437 neurons, 40 trials
  Session 19 (t): 428 neurons, 40 trials
  Session 20 (square): 406 neurons, 40 trials
  Session 21 (l): 438 neurons, 40 trials
  Session 22 (bit donut): 423 neurons, 40 trials
  Session 23 (glenn): 436 neurons, 40 trials
  Session 24 (rectangle): 452 neurons, 40 trials
  Session 25 (i): 472 neurons, 40 trials
  Session 26 (+): 444 neurons, 40 trials
  Session 27 (o): 481 neurons, 40 trials
  Session 28 (u): 485 neurons, 40 trials
  Session 29 (t): 507 neurons, 40 trials
  Session 30 (square): 529 neurons, 40 trials

Loading QLAK-CA1-74...
  31 sessions, 713 tracked neurons
  Session 0 (square): 304 neurons, 40 trials
  Session 1 (t): 278 neurons, 40 trials
  Session 2 (bit donut): 274 neurons, 40 trials
  Session 3 (+): 264 neurons, 40 trials
  Session 4 (o): 292 neurons, 40 trials
  Session 5 (i): 275 neurons, 40 trials
  Session 6 (l): 285 neurons, 40 trials
  Session 7 (rectangle): 258 neurons, 40 trials
  Session 8 (glenn): 306 neurons, 40 trials
  Session 9 (u): 303 neurons, 40 trials
  Session 10 (square): 286 neurons, 40 trials
  Session 11 (t): 316 neurons, 40 trials
  Session 12 (bit donut): 284 neurons, 40 trials
  Session 13 (+): 303 neurons, 40 trials
  Session 14 (o): 289 neurons, 40 trials
  Session 15 (i): 289 neurons, 40 trials
  Session 16 (l): 300 neurons, 40 trials
  Session 17 (rectangle): 258 neurons, 40 trials
  Session 18 (glenn): 321 neurons, 40 trials
  Session 19 (u): 339 neurons, 40 trials
  Session 20 (square): 328 neurons, 40 trials
  Session 21 (t): 361 neurons, 40 trials
  Session 22 (bit donut): 389 neurons, 40 trials
  Session 23 (+): 344 neurons, 40 trials
  Session 24 (o): 359 neurons, 40 trials
  Session 25 (i): 315 neurons, 40 trials
  Session 26 (l): 294 neurons, 40 trials
  Session 27 (rectangle): 300 neurons, 40 trials
  Session 28 (glenn): 370 neurons, 40 trials
  Session 29 (u): 405 neurons, 40 trials
  Session 30 (square): 391 neurons, 40 trials

Loading QLAK-CA1-75...
  31 sessions, 952 tracked neurons
  Session 0 (square): 356 neurons, 40 trials
  Session 1 (rectangle): 263 neurons, 40 trials
