Loading QLAK-CA1-08...
  31 days, 515 total cells, 71866 timepoints/day
  Day 0: square, 185 neurons, 39 trials
  Day 1: o, 153 neurons, 39 trials
  Day 2: t, 156 neurons, 39 trials
  Day 3: u, 187 neurons, 39 trials
  Day 4: rectangle, 185 neurons, 39 trials
  Day 5: +, 186 neurons, 39 trials
  Day 6: i, 194 neurons, 39 trials
  Day 7: l, 204 neurons, 39 trials
  Day 8: bit donut, 189 neurons, 39 trials
  Day 9: glenn, 200 neurons, 39 trials
  Day 10: square, 222 neurons, 39 trials
  Day 11: o, 196 neurons, 39 trials
  Day 12: t, 216 neurons, 39 trials
  Day 13: u, 211 neurons, 39 trials
  Day 14: rectangle, 206 neurons, 39 trials
  Day 15: +, 199 neurons, 39 trials
  Day 16: i, 227 neurons, 39 trials
  Day 17: l, 233 neurons, 39 trials
  Day 18: bit donut, 240 neurons, 39 trials
  Day 19: glenn, 236 neurons, 39 trials
  Day 20: square, 226 neurons, 39 trials
  Day 21: o, 247 neurons, 39 trials
  Day 22: t, 224 neurons, 39 trials
  Day 23: u, 227 neurons, 39 trials
  Day 24: rectangle, 239 neurons, 39 trials
  Day 25: +, 235 neurons, 39 trials
  Day 26: i, 237 neurons, 39 trials
  Day 27: l, 230 neurons, 39 trials
  Day 28: bit donut, 236 neurons, 39 trials
  Day 29: glenn, 254 neurons, 39 trials
  Day 30: square, 251 neurons, 39 trials
Loading QLAK-CA1-30...
  31 days, 875 total cells, 71866 timepoints/day
  Day 0: square, 398 neurons, 39 trials
  Day 1: o, 404 neurons, 39 trials
  Day 2: +, 350 neurons, 39 trials
  Day 3: l, 356 neurons, 39 trials
  Day 4: glenn, 350 neurons, 39 trials
  Day 5: i, 380 neurons, 39 trials
  Day 6: u, 347 neurons, 39 trials
  Day 7: bit donut, 352 neurons, 39 trials
  Day 8: rectangle, 336 neurons, 39 trials
  Day 9: t, 382 neurons, 39 trials
  Day 10: square, 367 neurons, 39 trials
  Day 11: o, 411 neurons, 39 trials
  Day 12: +, 405 neurons, 39 trials
  Day 13: l, 350 neurons, 39 trials
  Day 14: glenn, 378 neurons, 39 trials
  Day 15: i, 340 neurons, 39 trials
