Starting full conversion
Converted jm031/2023-10-18_a: 221 neurons, 36000 native frames -> 20 trials x 180 bins; motion missing=0; neural=0.26s total=0.30s
Converted jm031/2023-10-19_a: 221 neurons, 36000 native frames -> 20 trials x 180 bins; motion missing=0; neural=0.26s total=0.29s
Converted jm031/2023-10-20_a: 221 neurons, 36000 native frames -> 20 trials x 180 bins; motion missing=2; neural=0.38s total=0.41s
Converted jm031/2023-10-21_a: 221 neurons, 36000 native frames -> 20 trials x 180 bins; motion missing=3; neural=0.35s total=0.39s
Converted jm031/2023-10-22_a: 221 neurons, 36000 native frames -> 20 trials x 180 bins; motion missing=116; neural=0.39s total=0.42s
Converted jm031/2023-10-23_a: 221 neurons, 36000 native frames -> 20 trials x 180 bins; motion missing=0; neural=0.36s total=0.39s
Converted jm031/2023-10-24_a: 221 neurons, 36000 native frames -> 20 trials x 180 bins; motion missing=0; neural=0.38s total=0.41s
Converted jm032/2023-10-18_a: 370 neurons, 36000 native frames -> 20 trials x 180 bins; motion missing=0; neural=0.62s total=0.65s
Converted jm032/2023-10-19_a: 370 neurons, 36000 native frames -> 20 trials x 180 bins; motion missing=0; neural=0.62s total=0.65s
Converted jm032/2023-10-20_a: 370 neurons, 36000 native frames -> 20 trials x 180 bins; motion missing=2; neural=0.62s total=0.65s
Converted jm032/2023-10-21_a: 370 neurons, 36000 native frames -> 20 trials x 180 bins; motion missing=2; neural=0.59s total=0.63s
Converted jm032/2023-10-22_a: 370 neurons, 36000 native frames -> 20 trials x 180 bins; motion missing=148; neural=0.60s total=0.63s
Converted jm032/2023-10-23_a: 370 neurons, 36000 native frames -> 20 trials x 180 bins; motion missing=0; neural=0.57s total=0.60s
Converted jm032/2023-10-24_a: 370 neurons, 36000 native frames -> 20 trials x 180 bins; motion missing=0; neural=0.52s total=0.55s
Converted jm038/2023-04-30_a: 685 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.79s total=1.83s
Converted jm038/2023-05-01_a: 685 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.63s total=1.68s
Converted jm038/2023-05-02_a: 685 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.63s total=1.67s
Converted jm038/2023-05-03_a: 685 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.66s total=1.70s
Converted jm038/2023-05-04_a: 685 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.64s total=1.68s
Converted jm038/2023-05-05_a: 685 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.56s total=1.60s
Converted jm038/2023-05-06_a: 685 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.63s total=1.67s
Converted jm039/2024-04-30_a: 746 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.78s total=1.82s
Converted jm039/2024-05-01_a: 746 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.76s total=1.80s
Converted jm039/2024-05-02_a: 746 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.87s total=1.91s
Converted jm039/2024-05-03_a: 746 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.99s total=2.03s
Converted jm039/2024-05-04_a: 746 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=1; neural=1.72s total=1.76s
Converted jm039/2024-05-05_a: 746 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.78s total=1.82s
Converted jm039/2024-05-06_a: 746 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.84s total=1.88s
Converted jm040/2024-05-01_a: 541 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.29s total=1.33s
Converted jm040/2024-05-02_a: 541 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.22s total=1.26s
Converted jm040/2024-05-03_a: 541 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.32s total=1.36s
Converted jm040/2024-05-04_a: 541 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=1; neural=1.26s total=1.30s
Converted jm040/2024-05-05_a: 541 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.32s total=1.36s
Converted jm040/2024-05-06_a: 541 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.29s total=1.33s
Converted jm046/2024-09-03_a: 435 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.08s total=1.12s
Converted jm046/2024-09-04_a: 435 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.13s total=1.17s
Converted jm046/2024-09-05_a: 435 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=0.96s total=1.00s
Converted jm046/2024-09-06_a: 435 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.11s total=1.14s
Converted jm046/2024-09-07_a: 435 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.09s total=1.13s
Converted jm046/2024-09-08_a: 435 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=0; neural=1.12s total=1.16s
Converted jm046/2024-09-09_a: 435 neurons, 54000 native frames -> 30 trials x 180 bins; motion missing=1; neural=1.08s total=1.11s
Conversion computations finished in 47.69s
Saved /app/converted_data.pkl (395.3 MiB) in 0.32s; total elapsed 48.01s
