Mode: full; processing 41 of 41 sessions
[01/41] jm031/2023-10-18_a: 20 trials, 221 neurons, 0 missing motion frames, 0.30 s
[02/41] jm031/2023-10-19_a: 20 trials, 221 neurons, 0 missing motion frames, 0.44 s
[03/41] jm031/2023-10-20_a: 20 trials, 221 neurons, 2 missing motion frames, 0.39 s
[04/41] jm031/2023-10-21_a: 20 trials, 221 neurons, 3 missing motion frames, 0.39 s
[05/41] jm031/2023-10-22_a: 20 trials, 221 neurons, 116 missing motion frames, 0.29 s
[06/41] jm031/2023-10-23_a: 20 trials, 221 neurons, 0 missing motion frames, 0.40 s
[07/41] jm031/2023-10-24_a: 20 trials, 221 neurons, 0 missing motion frames, 0.36 s
[08/41] jm032/2023-10-18_a: 20 trials, 370 neurons, 0 missing motion frames, 0.45 s
[09/41] jm032/2023-10-19_a: 20 trials, 370 neurons, 0 missing motion frames, 0.64 s
[10/41] jm032/2023-10-20_a: 20 trials, 370 neurons, 2 missing motion frames, 0.61 s
[11/41] jm032/2023-10-21_a: 20 trials, 370 neurons, 2 missing motion frames, 0.61 s
[12/41] jm032/2023-10-22_a: 20 trials, 370 neurons, 148 missing motion frames, 0.62 s
[13/41] jm032/2023-10-23_a: 20 trials, 370 neurons, 0 missing motion frames, 0.63 s
[14/41] jm032/2023-10-24_a: 20 trials, 370 neurons, 0 missing motion frames, 0.58 s
[15/41] jm038/2023-04-30_a: 30 trials, 685 neurons, 0 missing motion frames, 1.20 s
[16/41] jm038/2023-05-01_a: 30 trials, 685 neurons, 0 missing motion frames, 1.58 s
[17/41] jm038/2023-05-02_a: 30 trials, 685 neurons, 0 missing motion frames, 1.58 s
[18/41] jm038/2023-05-03_a: 30 trials, 685 neurons, 0 missing motion frames, 1.76 s
[19/41] jm038/2023-05-04_a: 30 trials, 685 neurons, 0 missing motion frames, 1.55 s
[20/41] jm038/2023-05-05_a: 30 trials, 685 neurons, 0 missing motion frames, 1.67 s
[21/41] jm038/2023-05-06_a: 30 trials, 685 neurons, 0 missing motion frames, 1.56 s
[22/41] jm039/2024-04-30_a: 30 trials, 746 neurons, 0 missing motion frames, 1.29 s
[23/41] jm039/2024-05-01_a: 30 trials, 746 neurons, 0 missing motion frames, 1.73 s
[24/41] jm039/2024-05-02_a: 30 trials, 746 neurons, 0 missing motion frames, 1.81 s
[25/41] jm039/2024-05-03_a: 30 trials, 746 neurons, 0 missing motion frames, 1.72 s
[26/41] jm039/2024-05-04_a: 30 trials, 746 neurons, 1 missing motion frames, 1.32 s
[27/41] jm039/2024-05-05_a: 30 trials, 746 neurons, 0 missing motion frames, 1.81 s
[28/41] jm039/2024-05-06_a: 30 trials, 746 neurons, 0 missing motion frames, 1.67 s
[29/41] jm040/2024-05-01_a: 30 trials, 541 neurons, 0 missing motion frames, 0.95 s
[30/41] jm040/2024-05-02_a: 30 trials, 541 neurons, 0 missing motion frames, 1.32 s
[31/41] jm040/2024-05-03_a: 30 trials, 541 neurons, 0 missing motion frames, 1.27 s
[32/41] jm040/2024-05-04_a: 30 trials, 541 neurons, 1 missing motion frames, 1.39 s
[33/41] jm040/2024-05-05_a: 30 trials, 541 neurons, 0 missing motion frames, 1.28 s
[34/41] jm040/2024-05-06_a: 30 trials, 541 neurons, 0 missing motion frames, 1.30 s
[35/41] jm046/2024-09-03_a: 30 trials, 435 neurons, 0 missing motion frames, 0.78 s
[36/41] jm046/2024-09-04_a: 30 trials, 435 neurons, 0 missing motion frames, 1.09 s
[37/41] jm046/2024-09-05_a: 30 trials, 435 neurons, 0 missing motion frames, 1.01 s
[38/41] jm046/2024-09-06_a: 30 trials, 435 neurons, 0 missing motion frames, 1.00 s
[39/41] jm046/2024-09-07_a: 30 trials, 435 neurons, 0 missing motion frames, 1.07 s
[40/41] jm046/2024-09-08_a: 30 trials, 435 neurons, 0 missing motion frames, 1.06 s
[41/41] jm046/2024-09-09_a: 30 trials, 435 neurons, 1 missing motion frames, 1.00 s
Validated 41 sessions and 1090 trials
Saved /app/converted_data.pkl (395.3 MiB) in 0.30 s
Total conversion time: 43.99 s
