Discovered 41 sessions
Pass 1 (behavior scan): 2.39s
[1/41] jm031_2023-10-18_a: neurons=221, trials=10, binned_T=3600 in 0.51s
[2/41] jm031_2023-10-19_a: neurons=221, trials=10, binned_T=3600 in 0.40s
[3/41] jm031_2023-10-20_a: neurons=221, trials=10, binned_T=3600 in 0.40s
[4/41] jm031_2023-10-21_a: neurons=221, trials=10, binned_T=3600 in 0.45s
[5/41] jm031_2023-10-22_a: neurons=221, trials=10, binned_T=3600 in 0.48s
[6/41] jm031_2023-10-23_a: neurons=221, trials=10, binned_T=3600 in 0.48s
[7/41] jm031_2023-10-24_a: neurons=221, trials=10, binned_T=3600 in 0.40s
[8/41] jm032_2023-10-18_a: neurons=370, trials=10, binned_T=3600 in 0.72s
[9/41] jm032_2023-10-19_a: neurons=370, trials=10, binned_T=3600 in 0.81s
[10/41] jm032_2023-10-20_a: neurons=370, trials=10, binned_T=3600 in 0.82s
[11/41] jm032_2023-10-21_a: neurons=370, trials=10, binned_T=3600 in 0.70s
[12/41] jm032_2023-10-22_a: neurons=370, trials=10, binned_T=3600 in 0.78s
[13/41] jm032_2023-10-23_a: neurons=370, trials=10, binned_T=3600 in 0.86s
[14/41] jm032_2023-10-24_a: neurons=370, trials=10, binned_T=3600 in 0.73s
[15/41] jm038_2023-04-30_a: neurons=685, trials=15, binned_T=5400 in 2.30s
[16/41] jm038_2023-05-01_a: neurons=685, trials=15, binned_T=5400 in 1.99s
[17/41] jm038_2023-05-02_a: neurons=685, trials=15, binned_T=5400 in 1.96s
[18/41] jm038_2023-05-03_a: neurons=685, trials=15, binned_T=5400 in 2.00s
[19/41] jm038_2023-05-04_a: neurons=685, trials=15, binned_T=5400 in 1.99s
[20/41] jm038_2023-05-05_a: neurons=685, trials=15, binned_T=5400 in 2.00s
[21/41] jm038_2023-05-06_a: neurons=685, trials=15, binned_T=5400 in 2.05s
[22/41] jm039_2024-04-30_a: neurons=746, trials=15, binned_T=5400 in 2.15s
[23/41] jm039_2024-05-01_a: neurons=746, trials=15, binned_T=5400 in 2.16s
[24/41] jm039_2024-05-02_a: neurons=746, trials=15, binned_T=5400 in 2.15s
[25/41] jm039_2024-05-03_a: neurons=746, trials=15, binned_T=5400 in 2.19s
[26/41] jm039_2024-05-04_a: neurons=746, trials=15, binned_T=5400 in 2.21s
[27/41] jm039_2024-05-05_a: neurons=746, trials=15, binned_T=5400 in 2.41s
[28/41] jm039_2024-05-06_a: neurons=746, trials=15, binned_T=5400 in 2.19s
[29/41] jm040_2024-05-01_a: neurons=541, trials=15, binned_T=5400 in 1.79s
[30/41] jm040_2024-05-02_a: neurons=541, trials=15, binned_T=5400 in 1.52s
[31/41] jm040_2024-05-03_a: neurons=541, trials=15, binned_T=5400 in 1.75s
[32/41] jm040_2024-05-04_a: neurons=541, trials=15, binned_T=5400 in 1.87s
[33/41] jm040_2024-05-05_a: neurons=541, trials=15, binned_T=5400 in 1.79s
[34/41] jm040_2024-05-06_a: neurons=541, trials=15, binned_T=5400 in 1.60s
[35/41] jm046_2024-09-03_a: neurons=435, trials=15, binned_T=5400 in 1.36s
[36/41] jm046_2024-09-04_a: neurons=435, trials=15, binned_T=5400 in 1.33s
[37/41] jm046_2024-09-05_a: neurons=435, trials=15, binned_T=5400 in 1.30s
[38/41] jm046_2024-09-06_a: neurons=435, trials=15, binned_T=5400 in 1.29s
[39/41] jm046_2024-09-07_a: neurons=435, trials=15, binned_T=5400 in 1.30s
[40/41] jm046_2024-09-08_a: neurons=435, trials=15, binned_T=5400 in 1.30s
[41/41] jm046_2024-09-09_a: neurons=435, trials=15, binned_T=5400 in 1.30s
Pass 2 (neural conversion): 57.79s
Validation passed with no warnings
Saved converted dataset to converted_data.pkl
Total conversion time: 60.97s
