processed 1/41 jm031 2023-10-18_a -> 20 trials, 221 neurons in 0.17s
processed 2/41 jm031 2023-10-19_a -> 20 trials, 221 neurons in 0.16s
processed 3/41 jm031 2023-10-20_a -> 20 trials, 221 neurons in 0.15s
processed 4/41 jm031 2023-10-21_a -> 20 trials, 221 neurons in 0.16s
processed 5/41 jm031 2023-10-22_a -> 20 trials, 221 neurons in 0.15s
processed 6/41 jm031 2023-10-23_a -> 20 trials, 221 neurons in 0.15s
processed 7/41 jm031 2023-10-24_a -> 20 trials, 221 neurons in 0.16s
processed 8/41 jm032 2023-10-18_a -> 20 trials, 370 neurons in 0.29s
processed 9/41 jm032 2023-10-19_a -> 20 trials, 370 neurons in 0.28s
processed 10/41 jm032 2023-10-20_a -> 20 trials, 370 neurons in 0.28s
processed 11/41 jm032 2023-10-21_a -> 20 trials, 370 neurons in 0.28s
processed 12/41 jm032 2023-10-22_a -> 20 trials, 370 neurons in 0.28s
processed 13/41 jm032 2023-10-23_a -> 20 trials, 370 neurons in 0.28s
processed 14/41 jm032 2023-10-24_a -> 20 trials, 370 neurons in 0.29s
processed 15/41 jm038 2023-04-30_a -> 30 trials, 685 neurons in 0.71s
processed 16/41 jm038 2023-05-01_a -> 30 trials, 685 neurons in 0.71s
processed 17/41 jm038 2023-05-02_a -> 30 trials, 685 neurons in 0.73s
processed 18/41 jm038 2023-05-03_a -> 30 trials, 685 neurons in 0.72s
processed 19/41 jm038 2023-05-04_a -> 30 trials, 685 neurons in 0.70s
processed 20/41 jm038 2023-05-05_a -> 30 trials, 685 neurons in 0.69s
processed 21/41 jm038 2023-05-06_a -> 30 trials, 685 neurons in 0.70s
processed 22/41 jm039 2024-04-30_a -> 30 trials, 746 neurons in 0.77s
processed 23/41 jm039 2024-05-01_a -> 30 trials, 746 neurons in 0.78s
processed 24/41 jm039 2024-05-02_a -> 30 trials, 746 neurons in 0.77s
processed 25/41 jm039 2024-05-03_a -> 30 trials, 746 neurons in 0.77s
processed 26/41 jm039 2024-05-04_a -> 30 trials, 746 neurons in 0.78s
processed 27/41 jm039 2024-05-05_a -> 30 trials, 746 neurons in 0.77s
processed 28/41 jm039 2024-05-06_a -> 30 trials, 746 neurons in 0.77s
processed 29/41 jm040 2024-05-01_a -> 30 trials, 541 neurons in 0.58s
processed 30/41 jm040 2024-05-02_a -> 30 trials, 541 neurons in 0.57s
processed 31/41 jm040 2024-05-03_a -> 30 trials, 541 neurons in 0.56s
processed 32/41 jm040 2024-05-04_a -> 30 trials, 541 neurons in 0.55s
processed 33/41 jm040 2024-05-05_a -> 30 trials, 541 neurons in 0.57s
processed 34/41 jm040 2024-05-06_a -> 30 trials, 541 neurons in 0.57s
processed 35/41 jm046 2024-09-03_a -> 30 trials, 435 neurons in 0.46s
processed 36/41 jm046 2024-09-04_a -> 30 trials, 435 neurons in 0.46s
processed 37/41 jm046 2024-09-05_a -> 30 trials, 435 neurons in 0.47s
processed 38/41 jm046 2024-09-06_a -> 30 trials, 435 neurons in 0.45s
processed 39/41 jm046 2024-09-07_a -> 30 trials, 435 neurons in 0.45s
processed 40/41 jm046 2024-09-08_a -> 30 trials, 435 neurons in 0.46s
processed 41/41 jm046 2024-09-09_a -> 30 trials, 435 neurons in 0.46s
saved dataset to /app/converted_data.pkl
n_sessions=41, n_subjects=6
