Converting 41 sessions from 6 subjects
  jm031/2023-10-18_a: 221 neurons, 20 trials, discarded endpoint frames neural=0, motion=0, 0.31s
  jm031/2023-10-19_a: 221 neurons, 20 trials, discarded endpoint frames neural=0, motion=0, 0.29s
  jm031/2023-10-20_a: 221 neurons, 19 trials, discarded endpoint frames neural=1800, motion=1798, 0.29s
  jm031/2023-10-21_a: 221 neurons, 19 trials, discarded endpoint frames neural=1800, motion=1797, 0.29s
  jm031/2023-10-22_a: 221 neurons, 19 trials, discarded endpoint frames neural=1800, motion=1684, 0.29s
  jm031/2023-10-23_a: 221 neurons, 20 trials, discarded endpoint frames neural=0, motion=0, 0.29s
  jm031/2023-10-24_a: 221 neurons, 20 trials, discarded endpoint frames neural=0, motion=0, 0.29s
  jm032/2023-10-18_a: 370 neurons, 20 trials, discarded endpoint frames neural=0, motion=0, 0.49s
  jm032/2023-10-19_a: 370 neurons, 20 trials, discarded endpoint frames neural=0, motion=0, 0.49s
  jm032/2023-10-20_a: 370 neurons, 19 trials, discarded endpoint frames neural=1800, motion=1798, 0.49s
  jm032/2023-10-21_a: 370 neurons, 19 trials, discarded endpoint frames neural=1800, motion=1798, 0.49s
  jm032/2023-10-22_a: 370 neurons, 19 trials, discarded endpoint frames neural=1800, motion=1652, 0.49s
  jm032/2023-10-23_a: 370 neurons, 20 trials, discarded endpoint frames neural=0, motion=0, 0.49s
  jm032/2023-10-24_a: 370 neurons, 20 trials, discarded endpoint frames neural=0, motion=0, 0.49s
  jm038/2023-04-30_a: 685 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.32s
  jm038/2023-05-01_a: 685 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.30s
  jm038/2023-05-02_a: 685 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.30s
  jm038/2023-05-03_a: 685 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.30s
  jm038/2023-05-04_a: 685 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.32s
  jm038/2023-05-05_a: 685 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.30s
  jm038/2023-05-06_a: 685 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.30s
  jm039/2024-04-30_a: 746 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.41s
  jm039/2024-05-01_a: 746 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.43s
  jm039/2024-05-02_a: 746 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.41s
  jm039/2024-05-03_a: 746 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.41s
  jm039/2024-05-04_a: 746 neurons, 29 trials, discarded endpoint frames neural=1800, motion=1799, 1.41s
  jm039/2024-05-05_a: 746 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.44s
  jm039/2024-05-06_a: 746 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.42s
  jm040/2024-05-01_a: 541 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.03s
  jm040/2024-05-02_a: 541 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.03s
  jm040/2024-05-03_a: 541 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.04s
  jm040/2024-05-04_a: 541 neurons, 29 trials, discarded endpoint frames neural=1800, motion=1799, 1.03s
  jm040/2024-05-05_a: 541 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.04s
  jm040/2024-05-06_a: 541 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 1.03s
  jm046/2024-09-03_a: 435 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 0.85s
  jm046/2024-09-04_a: 435 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 0.84s
  jm046/2024-09-05_a: 435 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 0.84s
  jm046/2024-09-06_a: 435 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 0.84s
  jm046/2024-09-07_a: 435 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 0.85s
  jm046/2024-09-08_a: 435 neurons, 30 trials, discarded endpoint frames neural=0, motion=0, 0.84s
  jm046/2024-09-09_a: 435 neurons, 29 trials, discarded endpoint frames neural=1800, motion=1799, 0.84s
Saved /app/converted_data.pkl (392.8 MiB): 41 sessions, 1081 trials in 37.39s
