Converting 41 sessions to /app/converted_data.pkl
Processed jm031/2023-10-18_a: 221 neurons, 20 trials, class counts [720, 720, 720, 720, 720], 0.30s
Processed jm031/2023-10-19_a: 221 neurons, 20 trials, class counts [720, 720, 720, 720, 720], 0.29s
Processed jm031/2023-10-20_a: 221 neurons, 19 trials, class counts [684, 684, 684, 684, 684], 0.29s
Processed jm031/2023-10-21_a: 221 neurons, 19 trials, class counts [684, 684, 684, 684, 684], 0.29s
Processed jm031/2023-10-22_a: 221 neurons, 19 trials, class counts [683, 685, 684, 684, 684], 0.29s
Processed jm031/2023-10-23_a: 221 neurons, 20 trials, class counts [720, 720, 720, 720, 720], 0.29s
Processed jm031/2023-10-24_a: 221 neurons, 20 trials, class counts [720, 720, 720, 720, 720], 0.29s
Processed jm032/2023-10-18_a: 370 neurons, 20 trials, class counts [720, 720, 720, 720, 720], 0.48s
Processed jm032/2023-10-19_a: 370 neurons, 20 trials, class counts [720, 720, 720, 720, 720], 0.48s
Processed jm032/2023-10-20_a: 370 neurons, 19 trials, class counts [684, 684, 684, 684, 684], 0.48s
Processed jm032/2023-10-21_a: 370 neurons, 19 trials, class counts [684, 684, 684, 684, 684], 0.47s
Processed jm032/2023-10-22_a: 370 neurons, 19 trials, class counts [684, 684, 684, 684, 684], 0.47s
Processed jm032/2023-10-23_a: 370 neurons, 20 trials, class counts [720, 720, 720, 720, 720], 0.47s
Processed jm032/2023-10-24_a: 370 neurons, 20 trials, class counts [720, 720, 720, 720, 720], 0.48s
Processed jm038/2023-04-30_a: 685 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.26s
Processed jm038/2023-05-01_a: 685 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.26s
Processed jm038/2023-05-02_a: 685 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.26s
Processed jm038/2023-05-03_a: 685 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.27s
Processed jm038/2023-05-04_a: 685 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.26s
Processed jm038/2023-05-05_a: 685 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.26s
Processed jm038/2023-05-06_a: 685 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.25s
Processed jm039/2024-04-30_a: 746 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.37s
Processed jm039/2024-05-01_a: 746 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.36s
Processed jm039/2024-05-02_a: 746 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.36s
Processed jm039/2024-05-03_a: 746 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.36s
Processed jm039/2024-05-04_a: 746 neurons, 29 trials, class counts [1044, 1044, 1044, 1044, 1044], 1.37s
Processed jm039/2024-05-05_a: 746 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.36s
Processed jm039/2024-05-06_a: 746 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.36s
Processed jm040/2024-05-01_a: 541 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 0.99s
Processed jm040/2024-05-02_a: 541 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.00s
Processed jm040/2024-05-03_a: 541 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 0.99s
Processed jm040/2024-05-04_a: 541 neurons, 29 trials, class counts [1044, 1044, 1044, 1044, 1044], 0.99s
Processed jm040/2024-05-05_a: 541 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 0.99s
Processed jm040/2024-05-06_a: 541 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 1.00s
Processed jm046/2024-09-03_a: 435 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 0.80s
Processed jm046/2024-09-04_a: 435 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 0.81s
Processed jm046/2024-09-05_a: 435 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 0.80s
Processed jm046/2024-09-06_a: 435 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 0.81s
Processed jm046/2024-09-07_a: 435 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 0.81s
Processed jm046/2024-09-08_a: 435 neurons, 30 trials, class counts [1080, 1080, 1080, 1080, 1080], 0.80s
Processed jm046/2024-09-09_a: 435 neurons, 29 trials, class counts [1044, 1044, 1044, 1044, 1044], 0.80s
Saved /app/converted_data.pkl: 41 sessions, 1081 trials in 36.09s; mean processing 0.86s/session
