processed jm031/2023-10-18_a in 0.14s: neurons=221, trials=10
processed jm031/2023-10-19_a in 0.13s: neurons=221, trials=10
processed jm031/2023-10-20_a in 0.13s: neurons=221, trials=9
processed jm031/2023-10-21_a in 0.11s: neurons=221, trials=9
processed jm031/2023-10-22_a in 0.12s: neurons=221, trials=9
processed jm031/2023-10-23_a in 0.12s: neurons=221, trials=10
processed jm031/2023-10-24_a in 0.12s: neurons=221, trials=10
processed jm032/2023-10-18_a in 0.20s: neurons=370, trials=10
processed jm032/2023-10-19_a in 0.34s: neurons=370, trials=10
processed jm032/2023-10-20_a in 0.20s: neurons=370, trials=9
processed jm032/2023-10-21_a in 0.20s: neurons=370, trials=9
processed jm032/2023-10-22_a in 0.21s: neurons=370, trials=9
processed jm032/2023-10-23_a in 0.20s: neurons=370, trials=10
processed jm032/2023-10-24_a in 0.20s: neurons=370, trials=10
processed jm038/2023-04-30_a in 0.53s: neurons=685, trials=15
processed jm038/2023-05-01_a in 0.54s: neurons=685, trials=15
processed jm038/2023-05-02_a in 0.54s: neurons=685, trials=15
processed jm038/2023-05-03_a in 0.54s: neurons=685, trials=15
processed jm038/2023-05-04_a in 0.54s: neurons=685, trials=15
processed jm038/2023-05-05_a in 0.53s: neurons=685, trials=15
processed jm038/2023-05-06_a in 0.53s: neurons=685, trials=15
processed jm039/2024-04-30_a in 0.64s: neurons=746, trials=15
processed jm039/2024-05-01_a in 0.67s: neurons=746, trials=15
processed jm039/2024-05-02_a in 0.66s: neurons=746, trials=15
processed jm039/2024-05-03_a in 0.68s: neurons=746, trials=15
processed jm039/2024-05-04_a in 0.67s: neurons=746, trials=14
processed jm039/2024-05-05_a in 0.69s: neurons=746, trials=15
processed jm039/2024-05-06_a in 0.68s: neurons=746, trials=15
processed jm040/2024-05-01_a in 0.43s: neurons=541, trials=15
processed jm040/2024-05-02_a in 0.42s: neurons=541, trials=15
processed jm040/2024-05-03_a in 0.43s: neurons=541, trials=15
processed jm040/2024-05-04_a in 0.43s: neurons=541, trials=14
processed jm040/2024-05-05_a in 0.43s: neurons=541, trials=15
processed jm040/2024-05-06_a in 0.42s: neurons=541, trials=15
processed jm046/2024-09-03_a in 0.35s: neurons=435, trials=15
processed jm046/2024-09-04_a in 0.35s: neurons=435, trials=15
processed jm046/2024-09-05_a in 0.35s: neurons=435, trials=15
processed jm046/2024-09-06_a in 0.35s: neurons=435, trials=15
processed jm046/2024-09-07_a in 0.35s: neurons=435, trials=15
processed jm046/2024-09-08_a in 0.34s: neurons=435, trials=15
processed jm046/2024-09-09_a in 0.35s: neurons=435, trials=14
converted 41 sessions in 15.90s
saved to converted_data.pkl
