Found 41 sessions from 6 subjects
Processed jm031__2023-10-18_a: neurons=221 raw_frames=36000 bins=3600 blocks=10 time=0.24s
Processed jm031__2023-10-19_a: neurons=221 raw_frames=36000 bins=3600 blocks=10 time=0.20s
Processed jm031__2023-10-20_a: neurons=221 raw_frames=35998 bins=3599 blocks=9 time=0.20s
Processed jm031__2023-10-21_a: neurons=221 raw_frames=35997 bins=3599 blocks=9 time=0.20s
Processed jm031__2023-10-22_a: neurons=221 raw_frames=35884 bins=3588 blocks=9 time=0.19s
Processed jm031__2023-10-23_a: neurons=221 raw_frames=36000 bins=3600 blocks=10 time=0.19s
Processed jm031__2023-10-24_a: neurons=221 raw_frames=36000 bins=3600 blocks=10 time=0.19s
Processed jm032__2023-10-18_a: neurons=370 raw_frames=36000 bins=3600 blocks=10 time=0.33s
Processed jm032__2023-10-19_a: neurons=370 raw_frames=36000 bins=3600 blocks=10 time=0.43s
Processed jm032__2023-10-20_a: neurons=370 raw_frames=35998 bins=3599 blocks=9 time=0.34s
Processed jm032__2023-10-21_a: neurons=370 raw_frames=35998 bins=3599 blocks=9 time=0.33s
Processed jm032__2023-10-22_a: neurons=370 raw_frames=35852 bins=3585 blocks=9 time=0.33s
Processed jm032__2023-10-23_a: neurons=370 raw_frames=36000 bins=3600 blocks=10 time=0.33s
Processed jm032__2023-10-24_a: neurons=370 raw_frames=36000 bins=3600 blocks=10 time=0.33s
Processed jm038__2023-04-30_a: neurons=685 raw_frames=54000 bins=5400 blocks=15 time=0.86s
Processed jm038__2023-05-01_a: neurons=685 raw_frames=54000 bins=5400 blocks=15 time=0.85s
Processed jm038__2023-05-02_a: neurons=685 raw_frames=54000 bins=5400 blocks=15 time=0.88s
Processed jm038__2023-05-03_a: neurons=685 raw_frames=54000 bins=5400 blocks=15 time=0.88s
Processed jm038__2023-05-04_a: neurons=685 raw_frames=54000 bins=5400 blocks=15 time=0.86s
Processed jm038__2023-05-05_a: neurons=685 raw_frames=54000 bins=5400 blocks=15 time=0.90s
Processed jm038__2023-05-06_a: neurons=685 raw_frames=54000 bins=5400 blocks=15 time=0.86s
Processed jm039__2024-04-30_a: neurons=746 raw_frames=54000 bins=5400 blocks=15 time=0.96s
Processed jm039__2024-05-01_a: neurons=746 raw_frames=54000 bins=5400 blocks=15 time=0.96s
Processed jm039__2024-05-02_a: neurons=746 raw_frames=54000 bins=5400 blocks=15 time=0.95s
Processed jm039__2024-05-03_a: neurons=746 raw_frames=54000 bins=5400 blocks=15 time=0.94s
Processed jm039__2024-05-04_a: neurons=746 raw_frames=53999 bins=5399 blocks=14 time=0.96s
Processed jm039__2024-05-05_a: neurons=746 raw_frames=54000 bins=5400 blocks=15 time=0.95s
Processed jm039__2024-05-06_a: neurons=746 raw_frames=54000 bins=5400 blocks=15 time=0.95s
Processed jm040__2024-05-01_a: neurons=541 raw_frames=54000 bins=5400 blocks=15 time=0.71s
Processed jm040__2024-05-02_a: neurons=541 raw_frames=54000 bins=5400 blocks=15 time=0.70s
Processed jm040__2024-05-03_a: neurons=541 raw_frames=54000 bins=5400 blocks=15 time=0.69s
Processed jm040__2024-05-04_a: neurons=541 raw_frames=53999 bins=5399 blocks=14 time=0.69s
Processed jm040__2024-05-05_a: neurons=541 raw_frames=54000 bins=5400 blocks=15 time=0.71s
Processed jm040__2024-05-06_a: neurons=541 raw_frames=54000 bins=5400 blocks=15 time=0.70s
Processed jm046__2024-09-03_a: neurons=435 raw_frames=54000 bins=5400 blocks=15 time=0.57s
Processed jm046__2024-09-04_a: neurons=435 raw_frames=54000 bins=5400 blocks=15 time=0.57s
Processed jm046__2024-09-05_a: neurons=435 raw_frames=54000 bins=5400 blocks=15 time=0.58s
Processed jm046__2024-09-06_a: neurons=435 raw_frames=54000 bins=5400 blocks=15 time=0.56s
Processed jm046__2024-09-07_a: neurons=435 raw_frames=54000 bins=5400 blocks=15 time=0.57s
Processed jm046__2024-09-08_a: neurons=435 raw_frames=54000 bins=5400 blocks=15 time=0.57s
Processed jm046__2024-09-09_a: neurons=435 raw_frames=53999 bins=5399 blocks=14 time=0.57s
Motion percentile edges: [7.23151250e+05 8.24233125e+05 1.01777694e+06 1.64568500e+06]
Saved converted_data.pkl
Total time: 25.45s
