Data format warnings:
  - Session 0, trial 159: all neural data is zero
  - Session 0, trial 160: all neural data is zero
  - Session 0, trial 161: all neural data is zero
  - Session 0, trial 162: all neural data is zero
  - Session 0, trial 163: all neural data is zero
  - Session 0, trial 164: all neural data is zero
  - Session 0, trial 165: all neural data is zero
  - Session 0, trial 166: all neural data is zero
  - Session 0, trial 167: all neural data is zero
  - Session 0, trial 168: all neural data is zero
  - Session 0, trial 169: all neural data is zero
  - Session 0, trial 170: all neural data is zero
  - Session 0, trial 171: all neural data is zero
  - Session 0, trial 172: all neural data is zero
  - Session 0, trial 173: all neural data is zero
  - Session 0, trial 174: all neural data is zero
  - Session 0, trial 175: all neural data is zero
  - Session 0, trial 176: all neural data is zero
  - Session 0, trial 177: all neural data is zero
  - Session 0, trial 178: all neural data is zero
  - Session 0, trial 179: all neural data is zero
  - Session 0, trial 180: all neural data is zero
  - Session 0, trial 181: all neural data is zero
  - Session 0, trial 182: all neural data is zero
  - Session 0, trial 183: all neural data is zero
  - Session 0, trial 184: all neural data is zero
  - Session 0, trial 185: all neural data is zero
  - Session 0, trial 186: all neural data is zero
  - Session 0, trial 187: all neural data is zero
  - Session 0, trial 188: all neural data is zero
  - Session 0, trial 189: all neural data is zero
  - Session 0, trial 190: all neural data is zero
  - Session 0, trial 191: all neural data is zero
  - Session 0, trial 192: all neural data is zero
  - Session 0, trial 193: all neural data is zero
  - Session 0, trial 194: all neural data is zero
  - Session 0, trial 195: all neural data is zero
  - Session 0, trial 196: all neural data is zero
  - Session 0, trial 197: all neural data is zero
  - Session 0, trial 198: all neural data is zero
  - Session 0, trial 199: all neural data is zero
  - Session 0, trial 200: all neural data is zero
  - Session 0, trial 201: all neural data is zero
  - Session 0, trial 202: all neural data is zero
  - Session 0, trial 203: all neural data is zero
  - Session 0, trial 204: all neural data is zero
  - Session 0, trial 205: all neural data is zero
  - Session 0, trial 206: all neural data is zero
  - Session 0, trial 207: all neural data is zero
  - Session 0, trial 208: all neural data is zero
  - Session 0, trial 209: all neural data is zero
  - Session 0, trial 210: all neural data is zero
  - Session 0, trial 211: all neural data is zero
