Mode: full; processing 173 of 173 usable sessions
Excluded during discovery: [{'session_id': 'sub-440958_ses-20190216T162508', 'reason': 'no classifier-good units / missing classifier labels', 'n_raw_units': 1852}]
[  1/173] sub-440956_ses-20190207T120657: 459 neurons, 354/368 trials, 0.40 s
[  2/173] sub-440956_ses-20190208T133600: 375 neurons, 159/160 trials, 0.27 s
[  3/173] sub-440956_ses-20190209T150135: 205 neurons, 517/518 trials, 0.59 s
[  4/173] sub-440956_ses-20190210T155629: 552 neurons, 206/206 trials, 0.56 s
[  5/173] sub-440957_ses-20190211T143614: 526 neurons, 520/520 trials, 0.83 s
[  6/173] sub-440957_ses-20190212T153751: 505 neurons, 528/531 trials, 0.72 s
[  7/173] sub-440957_ses-20190213T145027: 192 neurons, 499/501 trials, 0.54 s
[  8/173] sub-440957_ses-20190214T144611: 169 neurons, 560/660 trials, 0.49 s
[  9/173] sub-440958_ses-20190213T115547: 347 neurons, 520/521 trials, 0.76 s
[ 10/173] sub-440958_ses-20190214T123412: 342 neurons, 519/520 trials, 0.73 s
[ 11/173] sub-440958_ses-20190215T141028: 432 neurons, 529/530 trials, 0.66 s
[ 12/173] sub-440958_ses-20190217T154414: 367 neurons, 582/583 trials, 0.73 s
[ 13/173] sub-440959_ses-20190219T121506: 214 neurons, 435/437 trials, 0.46 s
[ 14/173] sub-440959_ses-20190220T134256: 160 neurons, 525/525 trials, 0.41 s
[ 15/173] sub-440959_ses-20190221T140717: 383 neurons, 519/521 trials, 0.66 s
[ 16/173] sub-440959_ses-20190222T130111: 452 neurons, 571/571 trials, 0.84 s
[ 17/173] sub-440959_ses-20190223T173853: 537 neurons, 443/443 trials, 0.74 s
[ 18/173] sub-440959_ses-20190224T133648: 396 neurons, 442/444 trials, 0.64 s
[ 19/173] sub-440959_ses-20190225T142613: 391 neurons, 478/481 trials, 0.71 s
[ 20/173] sub-440959_ses-20190226T140636: 292 neurons, 436/440 trials, 0.44 s
[ 21/173] sub-441666_ses-20190513T144253: 300 neurons, 496/530 trials, 0.67 s
[ 22/173] sub-441666_ses-20190514T154424: 290 neurons, 559/581 trials, 0.73 s
[ 23/173] sub-441666_ses-20190515T153723: 314 neurons, 597/602 trials, 0.83 s
[ 24/173] sub-441666_ses-20190516T152922: 501 neurons, 437/439 trials, 0.85 s
[ 25/173] sub-441666_ses-20190517T150543: 278 neurons, 682/684 trials, 0.76 s
[ 26/173] sub-442571_ses-20190227T134351: 279 neurons, 538/540 trials, 0.62 s
[ 27/173] sub-442571_ses-20190228T140832: 603 neurons, 460/460 trials, 0.74 s
[ 28/173] sub-442571_ses-20190301T140324: 433 neurons, 281/281 trials, 0.31 s
[ 29/173] sub-442571_ses-20190302T150148: 425 neurons, 501/501 trials, 0.71 s
[ 30/173] sub-442571_ses-20190303T144606: 436 neurons, 692/692 trials, 0.88 s
[ 31/173] sub-449141_ses-20190530T173316: 553 neurons, 645/660 trials, 1.13 s
[ 32/173] sub-449141_ses-20190531T161406: 499 neurons, 796/800 trials, 1.12 s
[ 33/173] sub-449141_ses-20190601T175411: 571 neurons, 660/660 trials, 0.93 s
[ 34/173] sub-449141_ses-20190602T155210: 533 neurons, 688/690 trials, 1.04 s
[ 35/173] sub-449141_ses-20190603T160047: 675 neurons, 420/430 trials, 0.89 s
[ 36/173] sub-449141_ses-20190604T152447: 496 neurons, 655/661 trials, 1.24 s
[ 37/173] sub-455219_ses-20190805T152117: 498 neurons, 561/561 trials, 0.87 s
[ 38/173] sub-455219_ses-20190806T143015: 530 neurons, 611/611 trials, 0.85 s
[ 39/173] sub-455219_ses-20190807T134913: 463 neurons, 505/505 trials, 0.74 s
[ 40/173] sub-455219_ses-20190808T140448: 599 neurons, 750/750 trials, 1.33 s
[ 41/173] sub-455220_ses-20190729T145044: 224 neurons, 579/580 trials, 0.69 s
[ 42/173] sub-455220_ses-20190730T154125: 478 neurons, 550/550 trials, 0.77 s
[ 43/173] sub-455220_ses-20190731T151805: 488 neurons, 522/524 trials, 0.83 s
[ 44/173] sub-455220_ses-20190801T135056: 427 neurons, 567/569 trials, 0.81 s
[ 45/173] sub-455220_ses-20190803T150200: 433 neurons, 539/542 trials, 1.15 s
[ 46/173] sub-455220_ses-20190804T152922: 428 neurons, 502/513 trials, 0.94 s
[ 47/173] sub-456772_ses-20191119T115109: 106 neurons, 426/450 trials, 0.25 s
[ 48/173] sub-456772_ses-20191119T130822: 157 neurons, 373/400 trials, 0.44 s
[ 49/173] sub-456772_ses-20191120T115527: 217 neurons, 387/404 trials, 0.53 s
[ 50/173] sub-456772_ses-20191120T130334: 194 neurons, 424/454 trials, 0.51 s
[ 51/173] sub-456772_ses-20191121T113844: 344 neurons, 415/440 trials, 0.55 s
[ 52/173] sub-456772_ses-20191121T124405: 253 neurons, 458/480 trials, 0.56 s
[ 53/173] sub-456772_ses-20191122T134226: 343 neurons, 444/470 trials, 0.51 s
[ 54/173] sub-456772_ses-20191122T144855: 477 neurons, 395/415 trials, 0.60 s
[ 55/173] sub-456772_ses-20191123T135013: 332 neurons, 397/421 trials, 0.38 s
[ 56/173] sub-456772_ses-20191123T145127: 442 neurons, 515/600 trials, 0.58 s
[ 57/173] sub-456773_ses-20191002T143533: 452 neurons, 550/581 trials, 0.88 s
[ 58/173] sub-456773_ses-20191003T153548: 272 neurons, 487/507 trials, 0.71 s
[ 59/173] sub-456773_ses-20191004T143720: 414 neurons, 455/491 trials, 0.83 s
[ 60/173] sub-456773_ses-20191005T142316: 346 neurons, 665/700 trials, 1.05 s
[ 61/173] sub-456774_ses-20191021T142044: 532 neurons, 418/440 trials, 0.70 s
[ 62/173] sub-456774_ses-20191022T133136: 279 neurons, 512/570 trials, 0.72 s
