Data format warnings:
  - Session 46, trial 7: all neural data is zero
  - Session 46, trial 11: all neural data is zero
  - Session 46, trial 14: all neural data is zero
  - Session 46, trial 24: all neural data is zero
  - Session 46, trial 70: all neural data is zero
  - Session 46, trial 73: all neural data is zero
  - Session 46, trial 75: all neural data is zero
  - Session 46, trial 118: all neural data is zero
  - Session 46, trial 120: all neural data is zero
  - Session 46, trial 134: all neural data is zero
  - Session 46, trial 138: all neural data is zero
  - Session 46, trial 218: all neural data is zero
  - Session 46, trial 245: all neural data is zero
  - Session 46, trial 265: all neural data is zero
  - Session 46, trial 272: all neural data is zero
  - Session 46, trial 304: all neural data is zero
  - Session 46, trial 369: all neural data is zero
  - Session 46, trial 373: all neural data is zero
  - Session 46, trial 395: all neural data is zero
  - Session 46, trial 396: all neural data is zero
  - Session 46, trial 407: all neural data is zero
  - Session 46, trial 411: all neural data is zero
  - Session 46, trial 413: all neural data is zero
  - Session 46, trial 422: all neural data is zero
  - Session 47, trial 15: all neural data is zero
  - Session 47, trial 21: all neural data is zero
  - Session 47, trial 22: all neural data is zero
  - Session 47, trial 40: all neural data is zero
  - Session 47, trial 42: all neural data is zero
  - Session 47, trial 85: all neural data is zero
  - Session 47, trial 116: all neural data is zero
  - Session 47, trial 120: all neural data is zero
  - Session 47, trial 164: all neural data is zero
  - Session 47, trial 169: all neural data is zero
  - Session 47, trial 193: all neural data is zero
  - Session 47, trial 212: all neural data is zero
  - Session 47, trial 217: all neural data is zero
  - Session 47, trial 225: all neural data is zero
  - Session 47, trial 231: all neural data is zero
  - Session 47, trial 235: all neural data is zero
  - Session 47, trial 282: all neural data is zero
  - Session 47, trial 346: all neural data is zero
  - Session 47, trial 357: all neural data is zero
  - Session 47, trial 379: all neural data is zero
  - Session 47, trial 381: all neural data is zero
  - Session 47, trial 396: all neural data is zero
  - Session 48, trial 58: all neural data is zero
  - Session 48, trial 106: all neural data is zero
  - Session 48, trial 114: all neural data is zero
  - Session 48, trial 129: all neural data is zero
  - Session 48, trial 147: all neural data is zero
  - Session 48, trial 154: all neural data is zero
  - Session 48, trial 227: all neural data is zero
  - Session 48, trial 260: all neural data is zero
  - Session 48, trial 267: all neural data is zero
  - Session 48, trial 277: all neural data is zero
  - Session 48, trial 292: all neural data is zero
  - Session 48, trial 297: all neural data is zero
  - Session 48, trial 328: all neural data is zero
  - Session 48, trial 348: all neural data is zero
  - Session 48, trial 393: all neural data is zero
  - Session 49, trial 28: all neural data is zero
  - Session 49, trial 43: all neural data is zero
  - Session 49, trial 44: all neural data is zero
  - Session 49, trial 65: all neural data is zero
  - Session 49, trial 78: all neural data is zero
  - Session 49, trial 114: all neural data is zero
  - Session 49, trial 118: all neural data is zero
  - Session 49, trial 142: all neural data is zero
  - Session 49, trial 144: all neural data is zero
  - Session 49, trial 168: all neural data is zero
  - Session 49, trial 221: all neural data is zero
  - Session 49, trial 258: all neural data is zero
  - Session 49, trial 270: all neural data is zero
  - Session 49, trial 276: all neural data is zero
  - Session 49, trial 307: all neural data is zero
  - Session 49, trial 309: all neural data is zero
  - Session 49, trial 315: all neural data is zero
  - Session 49, trial 329: all neural data is zero
  - Session 49, trial 355: all neural data is zero
  - Session 49, trial 361: all neural data is zero
  - Session 49, trial 377: all neural data is zero
  - Session 49, trial 393: all neural data is zero
  - Session 49, trial 408: all neural data is zero
  - Session 49, trial 412: all neural data is zero
  - Session 49, trial 451: all neural data is zero
  - Session 50, trial 12: all neural data is zero
  - Session 50, trial 70: all neural data is zero
  - Session 50, trial 111: all neural data is zero
  - Session 50, trial 115: all neural data is zero
  - Session 50, trial 157: all neural data is zero
  - Session 50, trial 161: all neural data is zero
  - Session 50, trial 177: all neural data is zero
  - Session 50, trial 198: all neural data is zero
  - Session 50, trial 201: all neural data is zero
  - Session 50, trial 234: all neural data is zero
  - Session 50, trial 236: all neural data is zero
  - Session 50, trial 244: all neural data is zero
  - Session 50, trial 248: all neural data is zero
  - Session 50, trial 252: all neural data is zero
  - Session 50, trial 254: all neural data is zero
  - Session 50, trial 282: all neural data is zero
  - Session 50, trial 284: all neural data is zero
  - Session 50, trial 310: all neural data is zero
  - Session 50, trial 338: all neural data is zero
  - Session 50, trial 382: all neural data is zero
  - Session 50, trial 390: all neural data is zero
  - Session 50, trial 392: all neural data is zero
  - Session 50, trial 399: all neural data is zero
  - Session 50, trial 414: all neural data is zero
  - Session 50, trial 427: all neural data is zero
  - Session 51, trial 3: all neural data is zero
  - Session 51, trial 33: all neural data is zero
  - Session 51, trial 113: all neural data is zero
  - Session 51, trial 124: all neural data is zero
  - Session 51, trial 150: all neural data is zero
  - Session 51, trial 164: all neural data is zero
  - Session 51, trial 183: all neural data is zero
  - Session 51, trial 199: all neural data is zero
  - Session 51, trial 211: all neural data is zero
  - Session 51, trial 228: all neural data is zero
  - Session 51, trial 232: all neural data is zero
  - Session 51, trial 251: all neural data is zero
  - Session 51, trial 300: all neural data is zero
  - Session 51, trial 313: all neural data is zero
  - Session 51, trial 326: all neural data is zero
  - Session 51, trial 336: all neural data is zero
  - Session 51, trial 347: all neural data is zero
  - Session 51, trial 350: all neural data is zero
  - Session 51, trial 360: all neural data is zero
  - Session 51, trial 369: all neural data is zero
  - Session 51, trial 374: all neural data is zero
  - Session 51, trial 442: all neural data is zero
  - Session 52, trial 8: all neural data is zero
  - Session 52, trial 74: all neural data is zero
  - Session 52, trial 82: all neural data is zero
  - Session 52, trial 96: all neural data is zero
  - Session 52, trial 104: all neural data is zero
  - Session 52, trial 116: all neural data is zero
  - Session 52, trial 139: all neural data is zero
  - Session 52, trial 146: all neural data is zero
  - Session 52, trial 166: all neural data is zero
  - Session 52, trial 214: all neural data is zero
  - Session 52, trial 225: all neural data is zero
  - Session 52, trial 227: all neural data is zero
  - Session 52, trial 233: all neural data is zero
  - Session 52, trial 264: all neural data is zero
  - Session 52, trial 293: all neural data is zero
  - Session 52, trial 321: all neural data is zero
  - Session 52, trial 344: all neural data is zero
  - Session 52, trial 371: all neural data is zero
  - Session 52, trial 394: all neural data is zero
  - Session 52, trial 409: all neural data is zero
  - Session 52, trial 422: all neural data is zero
  - Session 52, trial 429: all neural data is zero
  - Session 52, trial 433: all neural data is zero
  - Session 52, trial 443: all neural data is zero
  - Session 52, trial 460: all neural data is zero
  - Session 52, trial 461: all neural data is zero
  - Session 53, trial 12: all neural data is zero
  - Session 53, trial 20: all neural data is zero
  - Session 53, trial 73: all neural data is zero
  - Session 53, trial 80: all neural data is zero
  - Session 53, trial 116: all neural data is zero
