Processing 174 sessions with 16 workers
SC017_20190216_162508_s4: no good units, skipping
SC015_20190208_133600_s2: 375 units, 159/480 trials, 0.3s
SC011_20190219_121506_s1: 214 units, 435/437 trials, 0.4s
SC016_20190213_145027_s3: 192 units, 499/501 trials, 0.4s
SC011_20190220_134256_s2: 160 units, 525/525 trials, 0.5s
SC015_20190210_155629_s4: 552 units, 206/582 trials, 0.5s
SC016_20190214_144611_s4: 169 units, 660/660 trials, 0.6s
SC015_20190207_120657_s1: 459 units, 354/368 trials, 0.6s
SC015_20190209_150135_s3: 205 units, 517/518 trials, 0.6s
SC017_20190214_123412_s2: 342 units, 519/520 trials, 0.7s
SC017_20190213_115547_s1: 347 units, 520/521 trials, 0.7s
SC017_20190217_154414_s5: 367 units, 582/590 trials, 0.7s
SC011_20190221_140717_s3: 383 units, 519/521 trials, 0.8s
SC017_20190215_141028_s3: 432 units, 529/530 trials, 0.8s
SC016_20190212_153751_s2: 505 units, 528/531 trials, 0.9s
SC011_20190222_130111_s4: 452 units, 571/571 trials, 1.0s
SC016_20190211_143614_s1: 526 units, 520/520 trials, 1.0s
SC011_20190226_140636_s8: 292 units, 436/440 trials, 0.5s
SC011_20190224_133648_s6: 396 units, 442/444 trials, 0.6s
SC013_20190513_144253_s22: 300 units, 496/534 trials, 0.6s
SC011_20190225_142613_s7: 391 units, 478/481 trials, 0.7s
SC011_20190223_173853_s5: 537 units, 443/448 trials, 0.9s
SC013_20190514_154424_s23: 290 units, 559/581 trials, 0.8s
SC013_20190515_153723_s24: 314 units, 597/602 trials, 0.7s
SC013_20190516_152922_s25: 501 units, 437/439 trials, 0.8s
SC022_20190227_134351_s1: 279 units, 538/540 trials, 0.6s
SC022_20190301_140324_s3: 433 units, 281/501 trials, 0.5s
SC013_20190517_150543_s26: 278 units, 682/684 trials, 0.8s
SC022_20190228_140832_s2: 603 units, 460/460 trials, 0.8s
SC022_20190302_150148_s4: 425 units, 501/501 trials, 0.8s
SC022_20190303_144606_s5: 436 units, 692/692 trials, 1.1s
SC023_20190530_173316_s5: 553 units, 645/660 trials, 1.2s
SC023_20190531_161406_s6: 499 units, 796/800 trials, 1.3s
SC023_20190601_175411_s7: 571 units, 660/660 trials, 1.2s
SC023_20190603_160047_s9: 675 units, 420/430 trials, 1.0s
SC026_20190805_152117_s21: 498 units, 561/561 trials, 0.9s
SC023_20190602_155210_s8: 533 units, 688/690 trials, 1.2s
SC026_20190807_134913_s20: 463 units, 505/630 trials, 0.8s
SC027_20190729_145044_s17: 224 units, 579/580 trials, 0.7s
SC026_20190806_143015_s22: 530 units, 611/611 trials, 1.1s
SC023_20190604_152447_s10: 496 units, 655/661 trials, 1.3s
SC027_20190730_154125_s18: 478 units, 550/550 trials, 0.9s
SC027_20190731_151805_s19: 488 units, 522/524 trials, 1.0s
SC027_20190801_135056_s20: 427 units, 567/569 trials, 0.8s
SC038_20191119_115109_s4: 106 units, 426/450 trials, 0.3s
SC027_20190803_150200_s21: 433 units, 539/542 trials, 0.9s
SC026_20190808_140448_s23: 599 units, 750/750 trials, 1.5s
SC038_20191119_130822_s5: 157 units, 373/400 trials, 0.3s
SC027_20190804_152922_s22: 428 units, 502/513 trials, 1.0s
SC038_20191120_115527_s6: 217 units, 387/404 trials, 0.4s
SC038_20191120_130334_s7: 194 units, 424/454 trials, 0.4s
SC038_20191121_113844_s8: 344 units, 415/440 trials, 0.5s
SC038_20191121_124405_s9: 253 units, 458/480 trials, 0.5s
SC038_20191122_134226_s10: 343 units, 444/470 trials, 0.5s
SC038_20191123_135013_s12: 332 units, 397/421 trials, 0.4s
SC038_20191122_144855_s11: 477 units, 395/415 trials, 0.6s
SC038_20191123_145127_s13: 442 units, 577/600 trials, 0.7s
SC030_20191003_153548_s33: 272 units, 487/507 trials, 0.8s
SC030_20191002_143533_s32: 452 units, 550/581 trials, 1.0s
SC030_20191004_143720_s34: 414 units, 455/491 trials, 0.8s
SC031_20191021_142044_s48: 532 units, 418/440 trials, 0.8s
SC030_20191005_142316_s35: 346 units, 665/700 trials, 1.0s
SC032_20191217_123303_s54: 259 units, 403/450 trials, 0.5s
SC031_20191023_142402_s50: 178 units, 486/530 trials, 0.6s
SC031_20191022_133136_s49: 279 units, 512/570 trials, 0.7s
SC032_20191220_140433_s57: 184 units, 464/490 trials, 0.4s
SC032_20191219_134919_s56: 368 units, 416/450 trials, 0.5s
SC033_20191112_114755_s31: 156 units, 441/480 trials, 0.4s
SC032_20191218_111453_s55: 322 units, 485/520 trials, 0.6s
SC033_20191113_135640_s32: 150 units, 396/423 trials, 0.4s
SC033_20191114_142520_s33: 190 units, 479/503 trials, 0.5s
SC033_20191115_135939_s34: 141 units, 635/665 trials, 0.4s
SC035_20200107_111633_s33: 365 units, 519/541 trials, 0.7s
SC035_20200108_105741_s34: 254 units, 600/640 trials, 0.7s
SC035_20200109_111437_s35: 323 units, 492/517 trials, 0.7s
SC035_20200110_142717_s36: 269 units, 470/500 trials, 0.7s
SC043_20200921_162104_s29: 605 units, 298/320 trials, 0.6s
SC043_20200928_141416_s28: 90 units, 526/530 trials, 0.3s
SC045_20201209_115448_s17: 110 units, 503/580 trials, 0.4s
SC043_20200922_135318_s24: 378 units, 519/527 trials, 0.7s
SC043_20200925_153348_s27: 322 units, 425/461 trials, 0.6s
SC045_20201210_113111_s18: 180 units, 605/640 trials, 0.5s
SC045_20201211_110651_s19: 233 units, 395/410 trials, 0.5s
SC045_20201216_120333_s24: 480 units, 261/264 trials, 0.5s
