Data format warnings:
  - Session 43, trial 7: all neural data is zero
  - Session 43, trial 11: all neural data is zero
  - Session 43, trial 14: all neural data is zero
  - Session 43, trial 24: all neural data is zero
  - Session 43, trial 70: all neural data is zero
  - Session 43, trial 73: all neural data is zero
  - Session 43, trial 75: all neural data is zero
  - Session 43, trial 118: all neural data is zero
  - Session 43, trial 120: all neural data is zero
  - Session 43, trial 134: all neural data is zero
  - Session 43, trial 138: all neural data is zero
  - Session 43, trial 218: all neural data is zero
  - Session 43, trial 245: all neural data is zero
  - Session 43, trial 265: all neural data is zero
  - Session 43, trial 272: all neural data is zero
  - Session 43, trial 304: all neural data is zero
  - Session 43, trial 369: all neural data is zero
  - Session 43, trial 373: all neural data is zero
  - Session 43, trial 395: all neural data is zero
  - Session 43, trial 396: all neural data is zero
  - Session 43, trial 407: all neural data is zero
  - Session 43, trial 411: all neural data is zero
  - Session 43, trial 413: all neural data is zero
  - Session 43, trial 422: all neural data is zero
  - Session 44, trial 15: all neural data is zero
  - Session 44, trial 21: all neural data is zero
  - Session 44, trial 22: all neural data is zero
  - Session 44, trial 40: all neural data is zero
  - Session 44, trial 42: all neural data is zero
  - Session 44, trial 85: all neural data is zero
  - Session 44, trial 116: all neural data is zero
  - Session 44, trial 120: all neural data is zero
  - Session 44, trial 164: all neural data is zero
  - Session 44, trial 169: all neural data is zero
  - Session 44, trial 193: all neural data is zero
  - Session 44, trial 212: all neural data is zero
  - Session 44, trial 217: all neural data is zero
  - Session 44, trial 225: all neural data is zero
  - Session 44, trial 231: all neural data is zero
  - Session 44, trial 235: all neural data is zero
  - Session 44, trial 282: all neural data is zero
  - Session 44, trial 346: all neural data is zero
  - Session 44, trial 357: all neural data is zero
  - Session 44, trial 379: all neural data is zero
  - Session 44, trial 381: all neural data is zero
  - Session 44, trial 396: all neural data is zero
  - Session 45, trial 58: all neural data is zero
  - Session 45, trial 106: all neural data is zero
  - Session 45, trial 114: all neural data is zero
  - Session 45, trial 129: all neural data is zero
  - Session 45, trial 147: all neural data is zero
  - Session 45, trial 154: all neural data is zero
  - Session 45, trial 227: all neural data is zero
  - Session 45, trial 260: all neural data is zero
  - Session 45, trial 267: all neural data is zero
  - Session 45, trial 277: all neural data is zero
  - Session 45, trial 292: all neural data is zero
  - Session 45, trial 297: all neural data is zero
  - Session 45, trial 328: all neural data is zero
  - Session 45, trial 348: all neural data is zero
  - Session 45, trial 393: all neural data is zero
  - Session 46, trial 28: all neural data is zero
  - Session 46, trial 43: all neural data is zero
  - Session 46, trial 44: all neural data is zero
  - Session 46, trial 65: all neural data is zero
  - Session 46, trial 78: all neural data is zero
  - Session 46, trial 114: all neural data is zero
  - Session 46, trial 118: all neural data is zero
  - Session 46, trial 142: all neural data is zero
  - Session 46, trial 144: all neural data is zero
