Found 174 NWB files in /app/data
[1/174] SC015_20190207_120657_s1: 459 neurons, 354/368 trials, 0.77s  {'trials': 0.171, 'read_spikes': 0.228, 'bin_spikes': 0.219, 'regions': 0.076, 'inputs': 0.001, 'outputs': 0.051, 'assemble': 0.017}  [elapsed 2s, eta 273s]
[2/174] SC015_20190208_133600_s2: 375 neurons, 159/480 trials, 0.54s  {'trials': 0.178, 'read_spikes': 0.127, 'bin_spikes': 0.081, 'regions': 0.078, 'inputs': 0.001, 'outputs': 0.063, 'assemble': 0.001}  [elapsed 2s, eta 136s]
[3/174] SC015_20190209_150135_s3: 205 neurons, 517/518 trials, 0.75s  {'trials': 0.168, 'read_spikes': 0.248, 'bin_spikes': 0.19, 'regions': 0.055, 'inputs': 0.001, 'outputs': 0.067, 'assemble': 0.015}  [elapsed 2s, eta 90s]
[4/174] SC015_20190210_155629_s4: 552 neurons, 206/582 trials, 0.6s  {'trials': 0.167, 'read_spikes': 0.126, 'bin_spikes': 0.162, 'regions': 0.077, 'inputs': 0.001, 'outputs': 0.056, 'assemble': 0.01}  [elapsed 2s, eta 67s]
[5/174] SC016_20190211_143614_s1: 526 neurons, 520/520 trials, 1.26s  {'trials': 0.185, 'read_spikes': 0.418, 'bin_spikes': 0.426, 'regions': 0.08, 'inputs': 0.002, 'outputs': 0.102, 'assemble': 0.033}  [elapsed 3s, eta 86s]
[6/174] SC016_20190212_153751_s2: 505 neurons, 528/531 trials, 1.15s  {'trials': 0.171, 'read_spikes': 0.39, 'bin_spikes': 0.383, 'regions': 0.082, 'inputs': 0.002, 'outputs': 0.081, 'assemble': 0.034}  [elapsed 3s, eta 71s]
[7/174] SC016_20190213_145027_s3: 192 neurons, 499/501 trials, 0.78s  {'trials': 0.184, 'read_spikes': 0.303, 'bin_spikes': 0.152, 'regions': 0.061, 'inputs': 0.001, 'outputs': 0.067, 'assemble': 0.009}  [elapsed 3s, eta 61s]
[8/174] SC016_20190214_144611_s4: 169 neurons, 660/660 trials, 0.82s  {'trials': 0.185, 'read_spikes': 0.297, 'bin_spikes': 0.171, 'regions': 0.061, 'inputs': 0.002, 'outputs': 0.087, 'assemble': 0.017}  [elapsed 3s, eta 53s]
[9/174] SC017_20190213_115547_s1: 347 neurons, 520/521 trials, 0.95s  {'trials': 0.178, 'read_spikes': 0.308, 'bin_spikes': 0.283, 'regions': 0.077, 'inputs': 0.002, 'outputs': 0.074, 'assemble': 0.018}  [elapsed 3s, eta 47s]
[10/174] SC017_20190214_123412_s2: 342 neurons, 519/520 trials, 0.94s  {'trials': 0.166, 'read_spikes': 0.342, 'bin_spikes': 0.255, 'regions': 0.078, 'inputs': 0.001, 'outputs': 0.073, 'assemble': 0.02}  [elapsed 3s, eta 42s]
[11/174] SC017_20190215_141028_s3: 432 neurons, 529/530 trials, 0.91s  {'trials': 0.167, 'read_spikes': 0.252, 'bin_spikes': 0.316, 'regions': 0.08, 'inputs': 0.001, 'outputs': 0.06, 'assemble': 0.028}  [elapsed 3s, eta 38s]
[12/174] SC017_20190216_162508_s4: skipped (no good units)
[13/174] SC017_20190217_154414_s5: 367 neurons, 582/590 trials, 1.12s  {'trials': 0.174, 'read_spikes': 0.404, 'bin_spikes': 0.337, 'regions': 0.083, 'inputs': 0.002, 'outputs': 0.081, 'assemble': 0.029}  [elapsed 3s, eta 31s]
[14/174] SC011_20190219_121506_s1: 214 neurons, 435/437 trials, 0.72s  {'trials': 0.18, 'read_spikes': 0.235, 'bin_spikes': 0.138, 'regions': 0.079, 'inputs': 0.002, 'outputs': 0.061, 'assemble': 0.017}  [elapsed 3s, eta 29s]
[15/174] SC011_20190220_134256_s2: 160 neurons, 525/525 trials, 0.61s  {'trials': 0.149, 'read_spikes': 0.191, 'bin_spikes': 0.129, 'regions': 0.062, 'inputs': 0.001, 'outputs': 0.059, 'assemble': 0.012}  [elapsed 3s, eta 27s]
[16/174] SC011_20190221_140717_s3: 383 neurons, 519/521 trials, 0.9s  {'trials': 0.154, 'read_spikes': 0.273, 'bin_spikes': 0.304, 'regions': 0.064, 'inputs': 0.002, 'outputs': 0.065, 'assemble': 0.026}  [elapsed 3s, eta 26s]
[17/174] SC011_20190222_130111_s4: 452 neurons, 571/571 trials, 1.31s  {'trials': 0.179, 'read_spikes': 0.54, 'bin_spikes': 0.409, 'regions': 0.065, 'inputs': 0.001, 'outputs': 0.087, 'assemble': 0.023}  [elapsed 3s, eta 30s]
[18/174] SC011_20190223_173853_s5: 537 neurons, 443/448 trials, 1.19s  {'trials': 0.18, 'read_spikes': 0.479, 'bin_spikes': 0.346, 'regions': 0.08, 'inputs': 0.001, 'outputs': 0.067, 'assemble': 0.024}  [elapsed 3s, eta 29s]
[19/174] SC011_20190224_133648_s6: 396 neurons, 442/444 trials, 0.89s  {'trials': 0.166, 'read_spikes': 0.335, 'bin_spikes': 0.272, 'regions': 0.064, 'inputs': 0.001, 'outputs': 0.035, 'assemble': 0.014}  [elapsed 3s, eta 27s]
[20/174] SC011_20190225_142613_s7: 391 neurons, 478/481 trials, 1.03s  {'trials': 0.19, 'read_spikes': 0.431, 'bin_spikes': 0.281, 'regions': 0.062, 'inputs': 0.001, 'outputs': 0.034, 'assemble': 0.02}  [elapsed 3s, eta 25s]
