Found 174 session files
  SC015_20190208_133600_s2: dropping 1 trial(s) with no spikes at all
[1/174] SC015_20190207_120657_s1: 459 neurons, 354/368 trials (0.7s: setup=0.3, neural=0.3, input=0.0, output=0.1)
[2/174] SC015_20190208_133600_s2: 375 neurons, 159/480 trials (0.6s: setup=0.3, neural=0.1, input=0.0, output=0.1)
[3/174] SC015_20190209_150135_s3: 205 neurons, 517/518 trials (0.8s: setup=0.3, neural=0.4, input=0.0, output=0.1)
[4/174] SC015_20190210_155629_s4: 552 neurons, 206/582 trials (0.7s: setup=0.3, neural=0.3, input=0.0, output=0.1)
[5/174] SC016_20190211_143614_s1: 526 neurons, 520/520 trials (1.1s: setup=0.3, neural=0.7, input=0.0, output=0.1)
[6/174] SC016_20190212_153751_s2: 505 neurons, 528/531 trials (1.1s: setup=0.3, neural=0.6, input=0.0, output=0.1)
[7/174] SC016_20190213_145027_s3: 192 neurons, 499/501 trials (0.7s: setup=0.3, neural=0.3, input=0.0, output=0.1)
[8/174] SC016_20190214_144611_s4: 169 neurons, 560/660 trials (0.7s: setup=0.2, neural=0.3, input=0.0, output=0.1)
[9/174] SC017_20190213_115547_s1: 347 neurons, 520/521 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[10/174] SC017_20190214_123412_s2: 342 neurons, 519/520 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[11/174] SC017_20190215_141028_s3: 432 neurons, 529/530 trials (0.8s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[12/174] dropped sub-440958_ses-20190216T162508_behavior+ecephys+ogen.nwb
[13/174] SC017_20190217_154414_s5: 367 neurons, 582/590 trials (1.1s: setup=0.4, neural=0.6, input=0.0, output=0.1)
[14/174] SC011_20190219_121506_s1: 214 neurons, 435/437 trials (0.6s: setup=0.2, neural=0.2, input=0.0, output=0.1)
[15/174] SC011_20190220_134256_s2: 160 neurons, 525/525 trials (0.5s: setup=0.2, neural=0.2, input=0.0, output=0.1)
[16/174] SC011_20190221_140717_s3: 383 neurons, 519/521 trials (0.8s: setup=0.2, neural=0.5, input=0.0, output=0.1)
[17/174] SC011_20190222_130111_s4: 452 neurons, 571/571 trials (1.2s: setup=0.4, neural=0.7, input=0.0, output=0.1)
[18/174] SC011_20190223_173853_s5: 537 neurons, 443/448 trials (1.0s: setup=0.3, neural=0.6, input=0.0, output=0.1)
[19/174] SC011_20190224_133648_s6: 396 neurons, 442/444 trials (0.9s: setup=0.3, neural=0.5, input=0.0, output=0.1)
[20/174] SC011_20190225_142613_s7: 391 neurons, 478/481 trials (0.8s: setup=0.3, neural=0.5, input=0.0, output=0.1)
