Found 174 NWB sessions; processing with pynwb
[1/174] sub-440956_ses-20190207T120657_behavior+ecephys+ogen.nwb: 368 trials, 459 neurons; 0.63s; ETA 1.8 min
[2/174] sub-440956_ses-20190208T133600_behavior+ecephys+ogen.nwb: 159 trials, 375 neurons; 0.38s; ETA 1.4 min
[3/174] sub-440956_ses-20190209T150135_behavior+ecephys+ogen.nwb: 518 trials, 205 neurons; 0.65s; ETA 1.6 min
[4/174] sub-440956_ses-20190210T155629_behavior+ecephys+ogen.nwb: 206 trials, 552 neurons; 0.58s; ETA 1.6 min
[5/174] sub-440957_ses-20190211T143614_behavior+ecephys+ogen.nwb: 520 trials, 526 neurons; 1.14s; ETA 1.9 min
[6/174] sub-440957_ses-20190212T153751_behavior+ecephys+ogen.nwb: 531 trials, 505 neurons; 1.00s; ETA 2.0 min
[7/174] sub-440957_ses-20190213T145027_behavior+ecephys+ogen.nwb: 501 trials, 192 neurons; 0.61s; ETA 2.0 min
[8/174] sub-440957_ses-20190214T144611_behavior+ecephys+ogen.nwb: 560 trials, 169 neurons; 0.67s; ETA 2.0 min
[9/174] sub-440958_ses-20190213T115547_behavior+ecephys+ogen.nwb: 521 trials, 347 neurons; 0.84s; ETA 2.0 min
[10/174] sub-440958_ses-20190214T123412_behavior+ecephys+ogen.nwb: 520 trials, 342 neurons; 0.92s; ETA 2.0 min
[11/174] sub-440958_ses-20190215T141028_behavior+ecephys+ogen.nwb: 530 trials, 432 neurons; 1.03s; ETA 2.1 min
[12/174] sub-440958_ses-20190216T162508_behavior+ecephys+ogen.nwb: excluded (zero good neurons); 0.15s; ETA 1.9 min
[13/174] sub-440958_ses-20190217T154414_behavior+ecephys+ogen.nwb: 583 trials, 367 neurons; 1.07s; ETA 2.0 min
[14/174] sub-440959_ses-20190219T121506_behavior+ecephys+ogen.nwb: 437 trials, 214 neurons; 0.52s; ETA 1.9 min
[15/174] sub-440959_ses-20190220T134256_behavior+ecephys+ogen.nwb: 525 trials, 160 neurons; 0.66s; ETA 1.9 min
[16/174] sub-440959_ses-20190221T140717_behavior+ecephys+ogen.nwb: 521 trials, 383 neurons; 0.96s; ETA 1.9 min
[17/174] sub-440959_ses-20190222T130111_behavior+ecephys.nwb: 571 trials, 452 neurons; 1.23s; ETA 2.0 min
[18/174] sub-440959_ses-20190223T173853_behavior+ecephys+ogen.nwb: 443 trials, 537 neurons; 1.12s; ETA 2.0 min
[19/174] sub-440959_ses-20190224T133648_behavior+ecephys+ogen.nwb: 444 trials, 396 neurons; 0.84s; ETA 2.0 min
[20/174] sub-440959_ses-20190225T142613_behavior+ecephys+ogen.nwb: 481 trials, 391 neurons; 0.91s; ETA 2.0 min
[21/174] sub-440959_ses-20190226T140636_behavior+ecephys+ogen.nwb: 440 trials, 292 neurons; 0.71s; ETA 2.0 min
[22/174] sub-441666_ses-20190513T144253_behavior+ecephys+ogen.nwb: 530 trials, 300 neurons; 0.97s; ETA 2.0 min
[23/174] sub-441666_ses-20190514T154424_behavior+ecephys+ogen.nwb: 581 trials, 290 neurons; 0.92s; ETA 2.0 min
[24/174] sub-441666_ses-20190515T153723_behavior+ecephys+ogen.nwb: 602 trials, 314 neurons; 0.97s; ETA 2.0 min
