Found 174 NWB files; mode=full
[1] SC015_20190207_120657_s1: trials=368 neurons=459 visible=0.126 time=1.37s
[2] SC015_20190208_133600_s2: trials=159 neurons=375 visible=0.181 time=0.89s
[3] SC015_20190209_150135_s3: trials=518 neurons=205 visible=0.152 time=1.03s
[4] SC015_20190210_155629_s4: trials=206 neurons=552 visible=0.155 time=1.57s
[5] SC016_20190211_143614_s1: trials=520 neurons=526 visible=0.166 time=1.61s
[6] SC016_20190212_153751_s2: trials=531 neurons=505 visible=0.178 time=1.53s
[7] SC016_20190213_145027_s3: trials=501 neurons=192 visible=0.180 time=0.97s
[8] SC016_20190214_144611_s4: trials=660 neurons=161 visible=0.187 time=0.86s
[9] SC017_20190213_115547_s1: trials=521 neurons=347 visible=0.167 time=1.37s
[10] SC017_20190214_123412_s2: trials=520 neurons=342 visible=0.157 time=1.33s
[11] SC017_20190215_141028_s3: trials=530 neurons=432 visible=0.146 time=1.42s
SKIP no selected units: sub-440958_ses-20190216T162508_behavior+ecephys+ogen.nwb
[12] SC017_20190217_154414_s5: trials=583 neurons=367 visible=0.161 time=1.37s
[13] SC011_20190219_121506_s1: trials=437 neurons=214 visible=0.115 time=0.96s
[14] SC011_20190220_134256_s2: trials=525 neurons=160 visible=0.124 time=0.73s
[15] SC011_20190221_140717_s3: trials=521 neurons=383 visible=0.132 time=1.31s
[16] SC011_20190222_130111_s4: trials=571 neurons=452 visible=0.136 time=1.69s
[17] SC011_20190223_173853_s5: trials=443 neurons=537 visible=0.136 time=1.53s
[18] SC011_20190224_133648_s6: trials=444 neurons=396 visible=0.055 time=1.41s
[19] SC011_20190225_142613_s7: trials=481 neurons=391 visible=0.061 time=1.40s
[20] SC011_20190226_140636_s8: trials=440 neurons=292 visible=0.052 time=1.01s
[21] SC013_20190513_144253_s22: trials=530 neurons=300 visible=0.098 time=1.29s
[22] SC013_20190514_154424_s23: trials=581 neurons=290 visible=0.090 time=1.43s
[23] SC013_20190515_153723_s24: trials=602 neurons=314 visible=0.256 time=1.49s
[24] SC013_20190516_152922_s25: trials=439 neurons=501 visible=0.199 time=1.62s
[25] SC013_20190517_150543_s26: trials=684 neurons=278 visible=0.194 time=1.29s
[26] SC022_20190227_134351_s1: trials=540 neurons=279 visible=0.083 time=1.19s
[27] SC022_20190228_140832_s2: trials=460 neurons=603 visible=0.089 time=1.69s
[28] SC022_20190301_140324_s3: trials=281 neurons=433 visible=0.149 time=1.20s
[29] SC022_20190302_150148_s4: trials=501 neurons=425 visible=0.160 time=1.59s
[30] SC022_20190303_144606_s5: trials=692 neurons=436 visible=0.143 time=1.59s
[31] SC023_20190530_173316_s5: trials=660 neurons=553 visible=0.180 time=2.01s
[32] SC023_20190531_161406_s6: trials=800 neurons=499 visible=0.220 time=1.98s
[33] SC023_20190601_175411_s7: trials=660 neurons=571 visible=0.197 time=1.84s
[34] SC023_20190602_155210_s8: trials=690 neurons=533 visible=0.134 time=2.03s
[35] SC023_20190603_160047_s9: trials=430 neurons=675 visible=0.128 time=1.90s
[36] SC023_20190604_152447_s10: trials=661 neurons=496 visible=0.171 time=2.10s
[37] SC026_20190805_152117_s21: trials=561 neurons=498 visible=0.162 time=1.66s
[38] SC026_20190806_143015_s22: trials=611 neurons=530 visible=0.162 time=1.70s
[39] SC026_20190807_134913_s20: trials=505 neurons=463 visible=0.153 time=1.50s
[40] SC026_20190808_140448_s23: trials=750 neurons=599 visible=0.166 time=2.28s
[41] SC027_20190729_145044_s17: trials=580 neurons=224 visible=0.133 time=1.27s
[42] SC027_20190730_154125_s18: trials=550 neurons=478 visible=0.127 time=1.72s
[43] SC027_20190731_151805_s19: trials=524 neurons=488 visible=0.137 time=1.61s
[44] SC027_20190801_135056_s20: trials=569 neurons=427 visible=0.120 time=1.48s
[45] SC027_20190803_150200_s21: trials=542 neurons=433 visible=0.746 time=1.79s
[46] SC027_20190804_152922_s22: trials=513 neurons=428 visible=0.100 time=1.62s
[47] SC038_20191119_115109_s4: trials=426 neurons=106 visible=0.162 time=0.54s
[48] SC038_20191119_130822_s5: trials=378 neurons=157 visible=0.140 time=0.78s
[49] SC038_20191120_115527_s6: trials=389 neurons=217 visible=0.160 time=0.96s
[50] SC038_20191120_130334_s7: trials=429 neurons=194 visible=0.131 time=0.90s
[51] SC038_20191121_113844_s8: trials=415 neurons=344 visible=0.151 time=1.13s
[52] SC038_20191121_124405_s9: trials=458 neurons=253 visible=0.152 time=1.06s
[53] SC038_20191122_134226_s10: trials=444 neurons=343 visible=0.157 time=1.10s
[54] SC038_20191122_144855_s11: trials=402 neurons=477 visible=0.091 time=1.45s
[55] SC038_20191123_135013_s12: trials=397 neurons=332 visible=0.147 time=0.95s
[56] SC038_20191123_145127_s13: trials=577 neurons=254 visible=0.144 time=0.99s
[57] SC030_20191002_143533_s32: trials=552 neurons=452 visible=0.120 time=1.73s
[58] SC030_20191003_153548_s33: trials=488 neurons=272 visible=0.120 time=1.24s
[59] SC030_20191004_143720_s34: trials=466 neurons=414 visible=0.114 time=1.52s
[60] SC030_20191005_142316_s35: trials=665 neurons=346 visible=0.124 time=1.70s
