Processing 174 NWB files with 16 workers
[1/174] SC015_20190207_120657_s1         behavioural session criteria  | elapsed 1s, eta 95s
[2/174] SC011_20190220_134256_s2         behavioural session criteria  | elapsed 1s, eta 50s
[3/174] SC017_20190216_162508_s4         no good units  | elapsed 1s, eta 36s
[4/174] SC015_20190208_133600_s2         kept 159 trials, 375 units  | elapsed 1s, eta 37s
[5/174] SC011_20190219_121506_s1         kept 437 trials, 214 units  | elapsed 1s, eta 34s
[6/174] SC015_20190210_155629_s4         kept 206 trials, 552 units  | elapsed 1s, eta 30s
[7/174] SC015_20190209_150135_s3         kept 518 trials, 205 units  | elapsed 1s, eta 27s
[8/174] SC016_20190214_144611_s4         kept 660 trials, 169 units  | elapsed 1s, eta 25s
[9/174] SC016_20190213_145027_s3         kept 501 trials, 192 units  | elapsed 1s, eta 23s
[10/174] SC017_20190215_141028_s3         kept 530 trials, 432 units  | elapsed 1s, eta 23s
[11/174] SC011_20190221_140717_s3         kept 521 trials, 383 units  | elapsed 2s, eta 23s
[12/174] SC013_20190513_144253_s22        behavioural session criteria  | elapsed 2s, eta 21s
[13/174] SC017_20190214_123412_s2         kept 520 trials, 342 units  | elapsed 2s, eta 20s
[14/174] SC017_20190213_115547_s1         kept 521 trials, 347 units  | elapsed 2s, eta 20s
[15/174] SC011_20190224_133648_s6         video does not cover the analysis window  | elapsed 2s, eta 19s
[16/174] SC017_20190217_154414_s5         kept 583 trials, 367 units  | elapsed 2s, eta 19s
[17/174] SC016_20190212_153751_s2         kept 531 trials, 505 units  | elapsed 2s, eta 19s
[18/174] SC016_20190211_143614_s1         kept 520 trials, 526 units  | elapsed 2s, eta 19s
[19/174] SC011_20190226_140636_s8         video does not cover the analysis window  | elapsed 2s, eta 18s
[20/174] SC011_20190225_142613_s7         video does not cover the analysis window  | elapsed 2s, eta 17s
[21/174] SC011_20190223_173853_s5         kept 443 trials, 537 units  | elapsed 2s, eta 17s
[22/174] SC011_20190222_130111_s4         kept 571 trials, 452 units  | elapsed 3s, eta 18s
[23/174] SC023_20190530_173316_s5         behavioural session criteria  | elapsed 3s, eta 17s
[24/174] SC013_20190514_154424_s23        kept 581 trials, 290 units  | elapsed 3s, eta 17s
[25/174] SC022_20190227_134351_s1         video does not cover the analysis window  | elapsed 3s, eta 16s
[26/174] SC022_20190228_140832_s2         video does not cover the analysis window  | elapsed 3s, eta 15s
[27/174] SC013_20190515_153723_s24        kept 602 trials, 314 units  | elapsed 3s, eta 15s
[28/174] SC022_20190301_140324_s3         kept 281 trials, 433 units  | elapsed 3s, eta 15s
[29/174] SC013_20190516_152922_s25        kept 439 trials, 501 units  | elapsed 3s, eta 15s
[30/174] SC013_20190517_150543_s26        kept 684 trials, 278 units  | elapsed 3s, eta 15s
[31/174] SC022_20190302_150148_s4         kept 501 trials, 425 units  | elapsed 3s, eta 15s
[32/174] SC022_20190303_144606_s5         kept 692 trials, 436 units  | elapsed 3s, eta 15s
[33/174] SC023_20190531_161406_s6         kept 800 trials, 499 units  | elapsed 4s, eta 16s
[34/174] SC023_20190601_175411_s7         kept 660 trials, 571 units  | elapsed 4s, eta 17s
[35/174] SC027_20190729_145044_s17        kept 580 trials, 224 units  | elapsed 4s, eta 16s
[36/174] SC023_20190603_160047_s9         kept 430 trials, 675 units  | elapsed 4s, eta 17s
[37/174] SC023_20190602_155210_s8         kept 690 trials, 533 units  | elapsed 5s, eta 17s
[38/174] SC026_20190805_152117_s21        kept 561 trials, 498 units  | elapsed 5s, eta 17s
[39/174] SC026_20190806_143015_s22        kept 611 trials, 530 units  | elapsed 5s, eta 17s
[40/174] SC026_20190807_134913_s20        kept 503 trials, 463 units  | elapsed 5s, eta 17s
[41/174] SC023_20190604_152447_s10        kept 661 trials, 496 units  | elapsed 5s, eta 18s
[42/174] SC038_20191119_115109_s4         kept 426 trials, 106 units  | elapsed 5s, eta 17s
[43/174] SC026_20190808_140448_s23        kept 750 trials, 599 units  | elapsed 6s, eta 17s
[44/174] SC027_20190731_151805_s19        kept 524 trials, 488 units  | elapsed 6s, eta 17s
[45/174] SC027_20190730_154125_s18        kept 550 trials, 478 units  | elapsed 6s, eta 17s
[46/174] SC038_20191119_130822_s5         kept 378 trials, 157 units  | elapsed 6s, eta 17s
[47/174] SC027_20190801_135056_s20        kept 569 trials, 427 units  | elapsed 6s, eta 17s
[48/174] SC027_20190803_150200_s21        kept 542 trials, 433 units  | elapsed 6s, eta 17s
[49/174] SC027_20190804_152922_s22        kept 513 trials, 428 units  | elapsed 7s, eta 17s
[50/174] SC038_20191120_115527_s6         kept 389 trials, 217 units  | elapsed 7s, eta 16s
[51/174] SC038_20191120_130334_s7         kept 429 trials, 194 units  | elapsed 7s, eta 16s
[52/174] SC038_20191121_113844_s8         kept 415 trials, 344 units  | elapsed 7s, eta 16s
[53/174] SC038_20191121_124405_s9         kept 458 trials, 253 units  | elapsed 7s, eta 16s
[54/174] SC038_20191122_134226_s10        kept 444 trials, 343 units  | elapsed 7s, eta 15s
[55/174] SC038_20191123_135013_s12        kept 397 trials, 332 units  | elapsed 7s, eta 15s
[56/174] SC038_20191122_144855_s11        kept 402 trials, 477 units  | elapsed 7s, eta 15s
[57/174] SC038_20191123_145127_s13        kept 577 trials, 442 units  | elapsed 7s, eta 15s
[58/174] SC031_20191022_133136_s49        behavioural session criteria  | elapsed 7s, eta 15s
[59/174] SC030_20191003_153548_s33        kept 488 trials, 272 units  | elapsed 7s, eta 14s
[60/174] SC030_20191002_143533_s32        kept 552 trials, 452 units  | elapsed 8s, eta 14s
[61/174] SC032_20191217_123303_s54        behavioural session criteria  | elapsed 8s, eta 14s
