Converting 174 sessions
[  1/174] SC015_20190207_120657_s1     0.9s elapsed (0.9s/session, eta 2.6 min)
[  2/174] SC015_20190208_133600_s2     0.9s elapsed (0.5s/session, eta 1.3 min)
[  3/174] SC015_20190209_150135_s3     1.0s elapsed (0.3s/session, eta 1.0 min)
[  4/174] SC015_20190210_155629_s4     1.0s elapsed (0.3s/session, eta 0.7 min)
[  5/174] SC016_20190211_143614_s1     2.4s elapsed (0.5s/session, eta 1.4 min)
[  6/174] SC016_20190212_153751_s2     2.4s elapsed (0.4s/session, eta 1.1 min)
[  7/174] SC016_20190213_145027_s3     2.4s elapsed (0.3s/session, eta 1.0 min)
[  8/174] SC016_20190214_144611_s4     2.4s elapsed (0.3s/session, eta 0.8 min)
[  9/174] SC017_20190213_115547_s1     2.4s elapsed (0.3s/session, eta 0.7 min)
[ 10/174] SC017_20190214_123412_s2     2.4s elapsed (0.2s/session, eta 0.7 min)
[ 11/174] SC017_20190215_141028_s3     2.4s elapsed (0.2s/session, eta 0.6 min)
[ 12/174] sub-440958_ses-20190216T1625 2.4s elapsed (0.2s/session, eta 0.5 min)
[ 13/174] SC017_20190217_154414_s5     2.8s elapsed (0.2s/session, eta 0.6 min)
[ 14/174] SC011_20190219_121506_s1     2.8s elapsed (0.2s/session, eta 0.5 min)
[ 15/174] SC011_20190220_134256_s2     2.8s elapsed (0.2s/session, eta 0.5 min)
[ 16/174] SC011_20190221_140717_s3     2.8s elapsed (0.2s/session, eta 0.5 min)
[ 17/174] SC011_20190222_130111_s4     3.0s elapsed (0.2s/session, eta 0.5 min)
[ 18/174] SC011_20190223_173853_s5     3.0s elapsed (0.2s/session, eta 0.4 min)
[ 19/174] SC011_20190224_133648_s6     3.0s elapsed (0.2s/session, eta 0.4 min)
[ 20/174] SC011_20190225_142613_s7     3.0s elapsed (0.1s/session, eta 0.4 min)
[ 21/174] SC011_20190226_140636_s8     3.0s elapsed (0.1s/session, eta 0.4 min)
[ 22/174] SC013_20190513_144253_s22    3.0s elapsed (0.1s/session, eta 0.3 min)
[ 23/174] SC013_20190514_154424_s23    3.0s elapsed (0.1s/session, eta 0.3 min)
[ 24/174] SC013_20190515_153723_s24    3.0s elapsed (0.1s/session, eta 0.3 min)
[ 25/174] SC013_20190516_152922_s25    3.1s elapsed (0.1s/session, eta 0.3 min)
[ 26/174] SC013_20190517_150543_s26    3.4s elapsed (0.1s/session, eta 0.3 min)
[ 27/174] SC022_20190227_134351_s1     3.4s elapsed (0.1s/session, eta 0.3 min)
[ 28/174] SC022_20190228_140832_s2     3.5s elapsed (0.1s/session, eta 0.3 min)
[ 29/174] SC022_20190301_140324_s3     3.5s elapsed (0.1s/session, eta 0.3 min)
[ 30/174] SC022_20190302_150148_s4     3.7s elapsed (0.1s/session, eta 0.3 min)
[ 31/174] SC022_20190303_144606_s5     3.9s elapsed (0.1s/session, eta 0.3 min)
[ 32/174] SC023_20190530_173316_s5     4.6s elapsed (0.1s/session, eta 0.3 min)
[ 33/174] SC023_20190531_161406_s6     4.6s elapsed (0.1s/session, eta 0.3 min)
[ 34/174] SC023_20190601_175411_s7     4.6s elapsed (0.1s/session, eta 0.3 min)
[ 35/174] SC023_20190602_155210_s8     4.9s elapsed (0.1s/session, eta 0.3 min)
[ 36/174] SC023_20190603_160047_s9     5.1s elapsed (0.1s/session, eta 0.3 min)
[ 37/174] SC023_20190604_152447_s10    6.1s elapsed (0.2s/session, eta 0.4 min)
[ 38/174] SC026_20190805_152117_s21    6.1s elapsed (0.2s/session, eta 0.4 min)
[ 39/174] SC026_20190806_143015_s22    6.1s elapsed (0.2s/session, eta 0.4 min)
