Data format warnings:
  - Session 0, trial 145: all neural data is zero
  - Session 40, trial 6: all neural data is zero
  - Session 40, trial 9: all neural data is zero
  - Session 40, trial 12: all neural data is zero
  - Session 40, trial 53: all neural data is zero
  - Session 40, trial 57: all neural data is zero
  - Session 40, trial 94: all neural data is zero
  - Session 40, trial 96: all neural data is zero
  - Session 40, trial 108: all neural data is zero
  - Session 40, trial 109: all neural data is zero
  - Session 40, trial 174: all neural data is zero
  - Session 40, trial 196: all neural data is zero
  - Session 40, trial 211: all neural data is zero
  - Session 40, trial 216: all neural data is zero
  - Session 40, trial 244: all neural data is zero
  - Session 40, trial 314: all neural data is zero
  - Session 40, trial 315: all neural data is zero
  - Session 40, trial 323: all neural data is zero
  - Session 40, trial 326: all neural data is zero
  - Session 40, trial 328: all neural data is zero
  - Session 40, trial 335: all neural data is zero
  - Session 41, trial 14: all neural data is zero
  - Session 41, trial 25: all neural data is zero
  - Session 41, trial 27: all neural data is zero
  - Session 41, trial 64: all neural data is zero
  - Session 41, trial 92: all neural data is zero
  - Session 41, trial 94: all neural data is zero
  - Session 41, trial 128: all neural data is zero
  - Session 41, trial 132: all neural data is zero
  - Session 41, trial 153: all neural data is zero
  - Session 41, trial 170: all neural data is zero
  - Session 41, trial 175: all neural data is zero
  - Session 41, trial 182: all neural data is zero
  - Session 41, trial 188: all neural data is zero
  - Session 41, trial 192: all neural data is zero
  - Session 41, trial 237: all neural data is zero
  - Session 41, trial 290: all neural data is zero
  - Session 41, trial 297: all neural data is zero
  - Session 41, trial 303: all neural data is zero
  - Session 41, trial 306: all neural data is zero
  - Session 42, trial 50: all neural data is zero
  - Session 42, trial 89: all neural data is zero
  - Session 42, trial 96: all neural data is zero
  - Session 42, trial 111: all neural data is zero
  - Session 42, trial 127: all neural data is zero
  - Session 42, trial 134: all neural data is zero
  - Session 42, trial 199: all neural data is zero
  - Session 42, trial 230: all neural data is zero
  - Session 42, trial 236: all neural data is zero
  - Session 42, trial 244: all neural data is zero
  - Session 42, trial 255: all neural data is zero
  - Session 42, trial 260: all neural data is zero
  - Session 42, trial 287: all neural data is zero
  - Session 42, trial 304: all neural data is zero
  - Session 43, trial 11: all neural data is zero
  - Session 43, trial 68: all neural data is zero
  - Session 43, trial 104: all neural data is zero
  - Session 43, trial 108: all neural data is zero
  - Session 43, trial 147: all neural data is zero
  - Session 43, trial 151: all neural data is zero
  - Session 43, trial 167: all neural data is zero
  - Session 43, trial 186: all neural data is zero
  - Session 43, trial 189: all neural data is zero
  - Session 43, trial 220: all neural data is zero
  - Session 43, trial 222: all neural data is zero
  - Session 43, trial 230: all neural data is zero
  - Session 43, trial 233: all neural data is zero
  - Session 43, trial 237: all neural data is zero
  - Session 43, trial 238: all neural data is zero
  - Session 43, trial 264: all neural data is zero
  - Session 43, trial 266: all neural data is zero
  - Session 43, trial 291: all neural data is zero
  - Session 43, trial 318: all neural data is zero
  - Session 43, trial 359: all neural data is zero
  - Session 43, trial 368: all neural data is zero
  - Session 43, trial 375: all neural data is zero
  - Session 43, trial 388: all neural data is zero
  - Session 43, trial 399: all neural data is zero
  - Session 44, trial 3: all neural data is zero
  - Session 44, trial 95: all neural data is zero
  - Session 44, trial 105: all neural data is zero
  - Session 44, trial 130: all neural data is zero
  - Session 44, trial 143: all neural data is zero
  - Session 44, trial 159: all neural data is zero
  - Session 44, trial 175: all neural data is zero
  - Session 44, trial 187: all neural data is zero
  - Session 44, trial 202: all neural data is zero
  - Session 44, trial 206: all neural data is zero
  - Session 44, trial 222: all neural data is zero
  - Session 44, trial 262: all neural data is zero
  - Session 44, trial 274: all neural data is zero
  - Session 44, trial 286: all neural data is zero
  - Session 44, trial 293: all neural data is zero
  - Session 44, trial 304: all neural data is zero
  - Session 44, trial 307: all neural data is zero
