Loading experiment info and behavior data...
Processing 89 sessions across 19 mice

--- Pass 1: Collecting corridor speeds ---
  [1/89] DR10_2022_07_12_1: 52246/58224 neurons, 503/503 trials, dt=0.3147s
  [2/89] DR10_2022_07_19_1: 49472/54741 neurons, 431/431 trials, dt=0.3146s
  [3/89] DR10_2022_07_21_1: 44926/50347 neurons, 518/518 trials, dt=0.3147s
  [4/89] DR10_2022_07_28_1: 44464/50195 neurons, 455/455 trials, dt=0.3146s
  [5/89] DR10_2022_07_29_1: 49931/56106 neurons, 629/629 trials, dt=0.3147s
  [6/89] DR10_2022_07_30_1: 42973/47963 neurons, 511/511 trials, dt=0.3147s
  [7/89] DR15_2022_10_09_1: 53588/55746 neurons, 218/218 trials, dt=0.3146s
  [8/89] DR15_2022_10_19_1: 56607/58930 neurons, 259/259 trials, dt=0.3146s
  [9/89] DR15_2022_10_20_1: 61475/64130 neurons, 305/305 trials, dt=0.3146s
  [10/89] DR15_2022_11_02_1: 55588/57540 neurons, 248/248 trials, dt=0.3146s
  [11/89] DR15_2022_11_03_2: 57220/59251 neurons, 306/306 trials, dt=0.3147s
  [12/89] LZ13_2024_05_15_1: 30385/34658 neurons, 457/457 trials, dt=0.3151s
  [13/89] LZ13_2024_05_16_2: 29973/34575 neurons, 453/453 trials, dt=0.3153s
  [14/89] LZ13_2024_05_28_1: 32956/38489 neurons, 400/400 trials, dt=0.3152s
  [15/89] LZ13_2024_05_29_1: 33726/39358 neurons, 407/407 trials, dt=0.3152s
  [16/89] LZ16_2024_05_18_2: 32128/33577 neurons, 492/492 trials, dt=0.3152s
  [17/89] LZ16_2024_05_19_1: 30469/31859 neurons, 419/419 trials, dt=0.3147s
  [18/89] LZ16_2024_05_31_2: 34307/35918 neurons, 335/335 trials, dt=0.3152s
  [19/89] LZ16_2024_06_01_1: 33838/35291 neurons, 426/426 trials, dt=0.3152s
  [20/89] TX104_2022_10_12_1: 42795/43834 neurons, 145/145 trials, dt=0.3146s
  [21/89] TX104_2022_10_20_1: 41503/42565 neurons, 269/269 trials, dt=0.3147s
  [22/89] TX105_2022_10_08_2: 56521/58941 neurons, 201/201 trials, dt=0.3147s
  [23/89] TX105_2022_10_19_2: 53233/55653 neurons, 259/259 trials, dt=0.3147s
  [24/89] TX105_2022_10_21_1: 58512/61115 neurons, 251/251 trials, dt=0.3146s
  [25/89] TX105_2022_11_05_1: 43430/45207 neurons, 309/309 trials, dt=0.3146s
  [26/89] TX105_2022_11_08_1: 52567/55457 neurons, 455/455 trials, dt=0.3147s
  [27/89] TX108_2023_01_05_2: 63981/68553 neurons, 453/453 trials, dt=0.3147s
  [28/89] TX108_2023_03_13_1: 78815/85481 neurons, 210/210 trials, dt=0.3147s
  [29/89] TX108_2023_03_22_1: 69080/75480 neurons, 300/300 trials, dt=0.3147s
  [30/89] TX108_2023_03_25_1: 72944/79417 neurons, 423/423 trials, dt=0.3147s
  [31/89] TX108_2023_04_01_1: 61781/68045 neurons, 402/402 trials, dt=0.3147s
  [32/89] TX108_2023_04_04_1: 69762/76530 neurons, 457/457 trials, dt=0.3146s
  [33/89] TX108_2023_04_07_1: 59964/65861 neurons, 428/428 trials, dt=0.3147s
  [34/89] TX109_2023_03_16_1: 65651/85468 neurons, 418/418 trials, dt=0.3146s
  [35/89] TX109_2023_03_27_1: 50153/63625 neurons, 84/84 trials, dt=0.3147s
  [36/89] TX109_2023_04_07_1: 68776/89577 neurons, 320/320 trials, dt=0.3147s
  [37/89] TX109_2023_04_18_1: 64419/83309 neurons, 370/370 trials, dt=0.3146s
  [38/89] TX109_2023_05_12_1: 56487/71687 neurons, 267/267 trials, dt=0.3146s
  [39/89] TX109_2023_05_13_1: 61668/76296 neurons, 405/405 trials, dt=0.3146s
  [40/89] TX119_2023_12_12_1: 25971/28907 neurons, 568/568 trials, dt=0.3152s
  [41/89] TX119_2023_12_13_1: 30803/34222 neurons, 561/561 trials, dt=0.3153s
  [42/89] TX119_2023_12_14_1: 28412/31672 neurons, 379/379 trials, dt=0.3151s
  [43/89] TX119_2023_12_23_1: 32855/36935 neurons, 429/429 trials, dt=0.3153s
  [44/89] TX119_2023_12_24_1: 24452/27281 neurons, 452/452 trials, dt=0.3152s
  [45/89] TX119_2024_01_06_1: 26572/29587 neurons, 473/473 trials, dt=0.3153s
  [46/89] TX119_2024_01_07_1: 29357/32547 neurons, 511/511 trials, dt=0.3153s
  [47/89] TX119_2024_01_09_1: 32090/36238 neurons, 669/669 trials, dt=0.3153s
  [48/89] TX123_2023_12_18_1: 43776/52044 neurons, 789/789 trials, dt=0.3153s
  [49/89] TX123_2023_12_20_1: 39418/46975 neurons, 534/534 trials, dt=0.3153s
  [50/89] TX123_2023_12_21_1: 24739/28696 neurons, 345/345 trials, dt=0.3153s
  [51/89] TX123_2024_01_02_1: 36174/43103 neurons, 475/475 trials, dt=0.3153s
  [52/89] TX123_2024_01_03_1: 26615/30931 neurons, 459/459 trials, dt=0.3153s
  [53/89] TX123_2024_01_15_1: 25767/30252 neurons, 520/520 trials, dt=0.3153s
  [54/89] TX123_2024_01_16_1: 22808/26756 neurons, 658/658 trials, dt=0.3153s
  [55/89] TX123_2024_01_17_1: 27277/32329 neurons, 722/722 trials, dt=0.3154s
  [56/89] TX124_2023_12_23_1: 20995/24383 neurons, 578/578 trials, dt=0.3153s
  [57/89] TX124_2023_12_24_1: 17363/20547 neurons, 501/501 trials, dt=0.3153s
  [58/89] TX124_2023_12_26_1: 19313/23176 neurons, 501/501 trials, dt=0.3153s
  [59/89] TX139_2024_05_18_1: 27160/35126 neurons, 368/368 trials, dt=0.3152s
  [60/89] TX139_2024_05_31_1: 25719/34522 neurons, 369/369 trials, dt=0.3152s
  [61/89] TX140_2024_05_31_1: 44895/49311 neurons, 398/398 trials, dt=0.3152s
  [62/89] TX60_2021_04_10_1: 44919/48732 neurons, 237/237 trials, dt=0.3144s
  [63/89] TX60_2021_05_04_1: 51339/57368 neurons, 303/303 trials, dt=0.3145s
  [64/89] TX60_2021_06_07_1: 46218/47785 neurons, 485/485 trials, dt=0.3146s
  [65/89] TX60_2021_06_21_1: 55513/60924 neurons, 471/471 trials, dt=0.3147s
  [66/89] TX60_2021_06_22_1: 47246/48742 neurons, 479/479 trials, dt=0.3147s
  [67/89] TX61_2021_06_07_2: 57534/62256 neurons, 408/408 trials, dt=0.3146s
