Mode: full; sessions: 89
Behavior prepass: 38,110 trials, 821,579 selected timepoints, speed edges [12.422419514874129, 25.352614545028338, 40.854577405174] (1.44 s)
[01/89] TX83_2022_08_17_1: 400 trials, 32,387/44,059 cells, 8,855 timepoints, 2.94 s; ETA 4.4 min
[02/89] TX88_2022_06_13_2: 282 trials, 53,710/62,606 cells, 6,990 timepoints, 4.38 s; ETA 5.4 min
[03/89] TX105_2022_10_08_2: 201 trials, 56,521/58,941 cells, 5,384 timepoints, 8.76 s; ETA 7.7 min
[04/89] TX104_2022_10_12_1: 145 trials, 42,795/43,834 cells, 3,564 timepoints, 4.68 s; ETA 7.4 min
[05/89] TX119_2023_12_14_1: 379 trials, 28,412/31,672 cells, 8,245 timepoints, 3.32 s; ETA 6.8 min
[06/89] TX123_2023_12_21_1: 345 trials, 24,739/28,696 cells, 6,477 timepoints, 2.68 s; ETA 6.2 min
[07/89] DR10_2022_07_12_1: 503 trials, 52,246/58,224 cells, 8,196 timepoints, 9.97 s; ETA 7.2 min
[08/89] DR15_2022_10_09_1: 218 trials, 53,588/55,746 cells, 5,786 timepoints, 10.68 s; ETA 8.0 min
[09/89] TX85_2022_06_14_1: 402 trials, 52,780/59,560 cells, 9,757 timepoints, 8.87 s; ETA 8.3 min
[10/89] TX83_2022_08_29_1: 238 trials, 41,367/52,954 cells, 6,025 timepoints, 7.18 s; ETA 8.4 min
[11/89] TX88_2022_06_17_2: 605 trials, 42,145/48,824 cells, 13,400 timepoints, 9.92 s; ETA 8.7 min
[12/89] TX105_2022_10_19_2: 259 trials, 53,233/55,653 cells, 6,446 timepoints, 6.08 s; ETA 8.5 min
[13/89] TX104_2022_10_20_1: 269 trials, 41,503/42,565 cells, 5,928 timepoints, 4.19 s; ETA 8.2 min
[14/89] TX119_2023_12_23_1: 429 trials, 32,855/36,935 cells, 7,547 timepoints, 6.41 s; ETA 8.1 min
[15/89] TX123_2024_01_02_1: 475 trials, 36,174/43,103 cells, 8,856 timepoints, 13.41 s; ETA 8.5 min
[16/89] DR10_2022_07_19_1: 431 trials, 49,472/54,741 cells, 10,129 timepoints, 15.28 s; ETA 9.0 min
[17/89] DR15_2022_10_19_1: 259 trials, 56,607/58,930 cells, 6,918 timepoints, 22.45 s; ETA 10.0 min
[18/89] TX85_2022_06_17_1: 403 trials, 48,822/55,163 cells, 9,386 timepoints, 15.23 s; ETA 10.3 min
[19/89] VR2_2021_03_20_1: 348 trials, 64,112/81,473 cells, 9,600 timepoints, 18.85 s; ETA 10.8 min
[20/89] TX60_2021_04_10_1: 237 trials, 44,919/48,732 cells, 5,340 timepoints, 8.31 s; ETA 10.6 min
[21/89] TX108_2023_03_13_1: 210 trials, 78,815/85,481 cells, 5,864 timepoints, 23.54 s; ETA 11.2 min
[22/89] TX109_2023_03_27_1: 84 trials, 50,153/63,625 cells, 3,035 timepoints, 5.58 s; ETA 10.8 min
[23/89] VR2_2021_04_06_1: 470 trials, 55,794/71,069 cells, 9,420 timepoints, 15.28 s; ETA 10.9 min
[24/89] TX60_2021_05_04_1: 303 trials, 51,339/57,368 cells, 5,203 timepoints, 9.37 s; ETA 10.7 min
[25/89] TX108_2023_03_22_1: 300 trials, 69,080/75,480 cells, 7,349 timepoints, 16.78 s; ETA 10.9 min
