task,agent,trial,subjects,sessions,trials,neurons_per_session,subjects_text,sessions_text,trials_text,neurons_per_session_text,total_neurons_text,source_file
allen2p,claude-code,1,82.0,376.0,51992.0,146.0,82,376,"51,992",146,"34,619",harbor-jobs/allen2p/claude-code/2026-03-26__07-49-34_trial1/verifier/snapshot/CONVERSION_NOTES.md
allen2p,claude-code,2,82.0,551.0,51992.0,,82 mice,551,"51,992",,,harbor-jobs/allen2p/claude-code/2026-03-26__07-49-34_trial2/verifier/snapshot/CONVERSION_NOTES.md
allen2p,claude-code,3,82.0,4.0,51992.0,145.8,82,up to 4 during calcium imaging,"51,992",145.8,"34,619",harbor-jobs/allen2p/claude-code/2026-03-26__07-49-34_trial3/verifier/snapshot/CONVERSION_NOTES.md
allen2p,codex,1,82.0,,,34619.0,82 mice in whitepaper and paper analysis scope,Not stated explicitly,Not explicitly stated,"Not stated explicitly in text; implied by 34,619 / 551 ≈ 62.8 in whitepaper scope","34,619 cortical cells in whitepaper v1.0 dataset scope",harbor-jobs/allen2p/codex/2026-04-08__13-38-16_trial1/verifier/snapshot/CONVERSION_NOTES.md
allen2p,codex,2,82.0,376.0,,27.46808510638298,82 mice in the full imaging dataset discussed in the paper,376 / 82 ≈ 4.59 imaging sessions per mouse in the full paper dataset (derived),Not stated explicitly in the whitepaper/paper text reviewed,"Not given directly; familiar subset spans 21 excitatory sessions, 15 Sst sessions, 21 Vip sessions","10,328 cells in the familiar-session neural subset analyzed in the strategy paper (8,619 excitatory + 470 Sst + 1,239 Vip)",harbor-jobs/allen2p/codex/2026-04-07__15-15-02_trial2/verifier/snapshot/CONVERSION_NOTES.md
allen2p,codex,3,82.0,376.0,,68.7,Paper subset: 82 mice for behavior analyses; cell-class neural subsets use 6–9 mice,Paper behavior subset: 376 / 82 = 4.59 imaging sessions per mouse on average,Not explicitly tabulated in paper/whitepaper text,Paper subset is tens to hundreds of cells per imaging plane; raw release contains 68.7 mean ROI rows per experiment,"Paper subset: 8,619 excitatory + 470 Sst + 1,239 Vip = 10,328 cells",harbor-jobs/allen2p/codex/2026-04-07__15-15-02_trial3/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,claude,1,9.0,25.0,,98.28,9,25,,,"2,457",harbor-jobs/hasnain2024/claude/2026-03-20__13-50-53_trial1/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,claude,2,9.0,25.0,13823.0,55.8,9 mice,25,13823,55.8,2456 (1531 DR + 925 randomized),harbor-jobs/hasnain2024/claude/2026-03-20__13-50-53_trial2/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,claude,3,9.0,25.0,,57.0,9,25,Not stated,~57,1651+845=2496,harbor-jobs/hasnain2024/claude/2026-03-20__17-31-10_trial3/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,codex,1,6.0,12.0,,43.5,Two-context: 6 mice; fixed-delay DR total: 9 mice; randomized delay: 4 mice,Two-context: 12 sessions; fixed-delay DR total: 25 sessions; randomized delay: 19 sessions,Not reported explicitly in paper text,Not given as a single mean in text; per-session stats said to be in Extended Data Fig. 2a,"Two-context: 522 units; fixed-delay DR total: 1,651 units; randomized delay: 845 units",harbor-jobs/hasnain2024/codex/2026-03-21__11-04-17_trial1/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,codex,2,6.0,2.0,,43.5,6 mice in two-context ephys dataset,2.0 mean in two-context ephys dataset,Not stated explicitly in text,~43.5 units/session in two-context ephys dataset,522 units in two-context ephys dataset,harbor-jobs/hasnain2024/codex/2026-03-21__11-04-17_trial2/verifier/snapshot/CONVERSION_NOTES.md
