task,agent,trial,subjects,sessions,trials,neurons_per_session,subjects_text,subjects_key,subjects_src,sessions_text,sessions_key,sessions_src,trials_text,trials_key,trials_src,neurons_per_session_text,neurons_per_session_key,neurons_per_session_src,neurons_total_text,neurons_total_key,neurons_total_src,source_file
allen2p,claude-code,1,38.0,376.0,51992.0,146.0,38,subjects,Step9:table1:row3,376,sessions used (piet et al.),Step3:table1:row5,"51,992",total trials,Step9:table1:row5,146,mean neurons/session,Step9:table1:row8,"34,619",cortical cells tracked,Step3:table1:row4,harbor-jobs/allen2p/claude-code/2026-03-26__07-49-34_trial1/verifier/snapshot/CONVERSION_NOTES.md
allen2p,claude-code,2,38.0,551.0,51992.0,,38,subjects,Step9:table1:row3,551,imaging sessions,Step3:table1:row3,"51,992",total trials,Step9:table1:row5,,,,,,,harbor-jobs/allen2p/claude-code/2026-03-26__07-49-34_trial2/verifier/snapshot/CONVERSION_NOTES.md
allen2p,claude-code,3,82.0,4.0,51992.0,145.8,82,subjects,Step3:table1:row4,up to 4 during calcium imaging,sessions / subject,Step3:table1:row7,"51,992",total trials,Step9:table1:row3,145.8,mean neurons/session,Step9:table1:row8,"34,619",neurons (total),Step3:table1:row2,harbor-jobs/allen2p/claude-code/2026-03-26__07-49-34_trial3/verifier/snapshot/CONVERSION_NOTES.md
allen2p,codex,1,82.0,,,34619.0,82 mice in whitepaper and paper analysis scope,subjects,Step3:table1:row4,Not stated explicitly,sessions / subject,Step3:table1:row5,Not explicitly stated,trials (total),Step3:table1:row6,"Not stated explicitly in text; implied by 34,619 / 551 ≈ 62.8 in whitepaper scope",neurons / session,Step3:table1:row3,"34,619 cortical cells in whitepaper v1.0 dataset scope",neurons (total),Step3:table1:row2,harbor-jobs/allen2p/codex/2026-04-08__13-38-16_trial1/verifier/snapshot/CONVERSION_NOTES.md
allen2p,codex,2,82.0,376.0,,27.46808510638298,82 mice in the full imaging dataset discussed in the paper,subjects,Step3:table1:row4,376 / 82 ≈ 4.59 imaging sessions per mouse in the full paper dataset (derived),sessions / subject,Step3:table1:row5,Not stated explicitly in the whitepaper/paper text reviewed,trials (total),Step3:table1:row6,"Not given directly; familiar subset spans 21 excitatory sessions, 15 Sst sessions, 21 Vip sessions",neurons / session,Step3:table1:row3|derived=neurons_total/sessions,"10,328 cells in the familiar-session neural subset analyzed in the strategy paper (8,619 excitatory + 470 Sst + 1,239 Vip)",neurons (total),Step3:table1:row2,harbor-jobs/allen2p/codex/2026-04-07__15-15-02_trial2/verifier/snapshot/CONVERSION_NOTES.md
allen2p,codex,3,82.0,376.0,,68.7,Paper subset: 82 mice for behavior analyses; cell-class neural subsets use 6–9 mice,subjects,Step3:table1:row4,Paper behavior subset: 376 / 82 = 4.59 imaging sessions per mouse on average,sessions / subject,Step3:table1:row5,Not explicitly tabulated in paper/whitepaper text,trials (total),Step3:table1:row6,Paper subset is tens to hundreds of cells per imaging plane; raw release contains 68.7 mean ROI rows per experiment,neurons / session,Step3:table1:row3,"Paper subset: 8,619 excitatory + 470 Sst + 1,239 Vip = 10,328 cells",neurons (total),Step3:table1:row2,harbor-jobs/allen2p/codex/2026-04-07__15-15-02_trial3/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,claude,1,9.0,25.0,,98.28,9,dr task mice,Step3:table1:row3,25,dr task sessions,Step3:table1:row2,,,,,,|derived=neurons_total/sessions,"2,457",total neurons,Step9:table1:row8,harbor-jobs/hasnain2024/claude/2026-03-20__13-50-53_trial1/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,claude,2,14.0,44.0,13823.0,55.8,14,subjects,Step9:table1:row3,44 (25 DR + 19 randomized delay),sessions,Step9:table1:row2,13823,total trials,Step9:table1:row5,55.8,mean neurons/session,Step9:table1:row6,2456 (1531 DR + 925 randomized),total neurons,Step9:table1:row4,harbor-jobs/hasnain2024/claude/2026-03-20__13-50-53_trial2/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,claude,3,9.0,25.0,,57.0,9+4=13 unique,subjects,Step9:table1:row4,25+19=44,sessions,Step9:table1:row5,Not stated,trials (total),Step9:table1:row6,~57,mean neurons/session,Step9:table1:row3,1651+845=2496,total neurons,Step9:table1:row2,harbor-jobs/hasnain2024/claude/2026-03-20__17-31-10_trial3/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,codex,1,6.0,12.0,,43.5,Two-context: 6 mice; fixed-delay DR total: 9 mice; randomized delay: 4 mice,subjects,Step3:table1:row4,Two-context: 12 sessions; fixed-delay DR total: 25 sessions; randomized delay: 19 sessions,sessions / subject,Step3:table1:row5,Not reported explicitly in paper text,trials (total),Step3:table1:row6,Not given as a single mean in text; per-session stats said to be in Extended Data Fig. 2a,neurons / session,Step3:table1:row3|derived=neurons_total/sessions,"Two-context: 522 units; fixed-delay DR total: 1,651 units; randomized delay: 845 units",neurons (total),Step3:table1:row2,harbor-jobs/hasnain2024/codex/2026-03-21__11-04-17_trial1/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,codex,2,6.0,2.0,,43.5,6 mice in two-context ephys dataset,subjects,Step3:table1:row4,2.0 mean in two-context ephys dataset,sessions / subject,Step3:table1:row5,Not stated explicitly in text,trials (total),Step3:table1:row6,~43.5 units/session in two-context ephys dataset,neurons / session,Step3:table1:row3,522 units in two-context ephys dataset,neurons (total),Step3:table1:row2,harbor-jobs/hasnain2024/codex/2026-03-21__11-04-17_trial2/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,codex,3,6.0,2.0,,43.5,Two-context: 6 mice; fixed-delay DR total: 9 mice; randomized-delay: 4 mice,subjects,Step3:table1:row4,Two-context mean 2.0; fixed-delay DR mean about 2.8; randomized-delay mean about 4.8,sessions / subject,Step3:table1:row5,Not explicitly tabulated in text,trials (total),Step3:table1:row6,Two-context mean about 43.5 units/session; DR-only mean about 66.0; randomized-delay mean about 44.5,neurons / session,Step3:table1:row3,"Two-context task: 522 units; DR-only fixed-delay task: 1,651 units; randomized-delay task: 845 units",neurons (total),Step3:table1:row2,harbor-jobs/hasnain2024/codex/2026-03-21__11-04-17_trial3/verifier/snapshot/CONVERSION_NOTES.md
lee2025,claude,1,7.0,207.0,,337.0,"7 (4M, 3F)",subjects,Step3:table1:row6,207,sessions,Step9:table1:row3,N/A,total trials,Step9:table1:row10,~337,mean neurons/session,Step9:table1:row5,,,,harbor-jobs/lee2025/claude/2026-03-10__11-18-23_trial1/verifier/snapshot/CONVERSION_NOTES.md
lee2025,claude,2,7.0,207.0,,337.0,7,subjects,Step3:table1:row5,207,sessions,Step3:table1:row3,,,,~337,mean neurons/session,Step9:table1:row12,,,,harbor-jobs/lee2025/claude/2026-03-10__11-18-23_trial2/verifier/snapshot/CONVERSION_NOTES.md
