task,agent,n_trials,subjects_mean,subjects_sd,sessions_mean,sessions_sd,trials_mean,trials_sd,neurons_per_session_mean,neurons_per_session_sd
allen2p,claude-code,3,52.666666666666664,25.403411844343534,310.3333333333333,279.3498404032716,51992.0,0.0,145.9,0.14142135623730148
allen2p,codex,3,82.0,0.0,376.0,0.0,,,11571.72269503546,19959.53828114898
hasnain2024,claude,3,10.666666666666666,2.886751345948129,31.333333333333332,10.969655114602888,13823.0,0.0,70.36,24.186872472479777
hasnain2024,codex,3,6.0,0.0,5.333333333333333,5.773502691896258,,,43.5,0.0
lee2025,claude,4,7.0,0.0,163.0,88.0,,,482.3333333333333,251.72471736667683
lee2025,codex,3,7.0,0.0,31.0,0.0,,,23563.870967741936,39994.284027300695
majnik2025,claude,3,6.0,0.0,6.0,0.0,,,526.0,0.0
majnik2025,codex,3,6.0,0.0,6.0,0.0,20.0,0.0,447.2222222222222,327.3547741337342
map,claude,3,28.0,0.0,173.0,0.0,,,366.6268786127168,53.277839202823856
map,codex,3,28.0,0.0,173.0,0.0,,,404.0,0.0
mouseland,claude-code,3,19.0,0.0,89.0,0.0,38110.0,0.0,,
mouseland,codex,3,19.0,0.0,89.0,0.0,,,20547.0,0.0
sosa2024,claude,3,11.0,0.0,106.0,79.67433714816836,12108.0,152.73506473629428,658.9666666666667,436.4489699075178
sosa2024,codex,3,11.0,0.0,14.0,0.0,12376.0,0.0,155.0,0.0
zhang2025,claude-code,4,132.75,10.012492197250394,459.0,0.0,166504.0,27940.61735180524,1350.6964415395787,51.332330468664026
zhang2025,codex,4,139.0,0.0,3.2999999999999994,0.0,,,1355.0,0.0
