task,agent,trial,subjects,sessions_per_subject,trials_total,neurons_per_session,path
allen2p,claude-code,1,,,,,harbor-jobs/allen2p/claude-code/2026-03-26__07-49-34_trial1/verifier/snapshot/CONVERSION_NOTES.md
allen2p,claude-code,2,,,,,harbor-jobs/allen2p/claude-code/2026-03-26__07-49-34_trial2/verifier/snapshot/CONVERSION_NOTES.md
allen2p,claude-code,3,82.0,4.0,,,harbor-jobs/allen2p/claude-code/2026-03-26__07-49-34_trial3/verifier/snapshot/CONVERSION_NOTES.md
allen2p,codex,1,82.0,,,34619.0,harbor-jobs/allen2p/codex/2026-04-08__13-38-16_trial1/verifier/snapshot/CONVERSION_NOTES.md
allen2p,codex,2,82.0,376.0,,21.0,harbor-jobs/allen2p/codex/2026-04-07__15-15-02_trial2/verifier/snapshot/CONVERSION_NOTES.md
allen2p,codex,3,82.0,376.0,,68.7,harbor-jobs/allen2p/codex/2026-04-07__15-15-02_trial3/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,claude,1,,,,,harbor-jobs/hasnain2024/claude/2026-03-20__13-50-53_trial1/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,claude,2,,,,,harbor-jobs/hasnain2024/claude/2026-03-20__13-50-53_trial2/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,claude,3,,,,,harbor-jobs/hasnain2024/claude/2026-03-20__17-31-10_trial3/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,codex,1,6.0,12.0,,2.0,harbor-jobs/hasnain2024/codex/2026-03-21__11-04-17_trial1/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,codex,2,6.0,2.0,,43.5,harbor-jobs/hasnain2024/codex/2026-03-21__11-04-17_trial2/verifier/snapshot/CONVERSION_NOTES.md
hasnain2024,codex,3,6.0,2.0,,43.5,harbor-jobs/hasnain2024/codex/2026-03-21__11-04-17_trial3/verifier/snapshot/CONVERSION_NOTES.md
lee2025,claude,1,7.0,,,,harbor-jobs/lee2025/claude/2026-03-10__11-18-23_trial1/verifier/snapshot/CONVERSION_NOTES.md
lee2025,claude,2,7.0,,,,harbor-jobs/lee2025/claude/2026-03-10__11-18-23_trial2/verifier/snapshot/CONVERSION_NOTES.md
lee2025,claude,3,7.0,,,,harbor-jobs/lee2025/claude/2026-03-10__11-18-23_badtrial3/verifier/snapshot/CONVERSION_NOTES.md
lee2025,claude,3,7.0,31.0,,,harbor-jobs/lee2025/claude/2026-04-08__18-25-48_trial3/verifier/snapshot/CONVERSION_NOTES.md
lee2025,codex,1,7.0,31.0,,773.0,harbor-jobs/lee2025/codex/2026-03-11__11-30-50_trial1/verifier/snapshot/CONVERSION_NOTES.md
lee2025,codex,2,7.0,31.0,,5413.0,harbor-jobs/lee2025/codex/2026-03-11__11-30-50_trial2/verifier/snapshot/CONVERSION_NOTES.md
lee2025,codex,3,7.0,31.0,,69744.0,harbor-jobs/lee2025/codex/2026-03-11__11-30-50_trial3/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,claude,1,6.0,6.0,,,harbor-jobs/majnik2025/claude/2026-03-10__19-45-01_trial1/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,claude,2,6.0,,,,harbor-jobs/majnik2025/claude/2026-03-10__11-18-23_trial2/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,claude,3,6.0,,,,harbor-jobs/majnik2025/claude/2026-03-10__11-18-23_trial3/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,codex,1,6.0,6.0,20.0,,harbor-jobs/majnik2025/codex/2026-03-11__11-30-50_trial1/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,codex,2,6.0,6.0,,728.0,harbor-jobs/majnik2025/codex/2026-03-11__11-30-50_trial2/verifier/snapshot/CONVERSION_NOTES.md
majnik2025,codex,3,6.0,6.0,,,harbor-jobs/majnik2025/codex/2026-03-11__11-30-50_trial3/verifier/snapshot/CONVERSION_NOTES.md
