task,agent,n_trials,subjects_mean,subjects_sd,sessions_per_subject_mean,sessions_per_subject_sd,trials_total_mean,trials_total_sd,neurons_per_session_mean,neurons_per_session_sd
allen2p,claude-code,3,82.0,0.0,4.0,0.0,,,,
allen2p,codex,3,82.0,0.0,376.0,0.0,,,11569.566666666666,19961.409057562378
hasnain2024,claude,3,,,,,,,,
hasnain2024,codex,3,6.0,0.0,5.333333333333333,5.773502691896258,,,29.666666666666668,23.96003617136947
lee2025,claude,4,7.0,0.0,31.0,0.0,,,,
lee2025,codex,3,7.0,0.0,31.0,0.0,,,25310.0,38550.84521771215
majnik2025,claude,3,6.0,0.0,6.0,0.0,,,,
majnik2025,codex,3,6.0,0.0,6.0,0.0,20.0,0.0,728.0,0.0
map,claude,3,28.0,0.0,,,,,,
map,codex,3,28.0,0.0,173.0,0.0,,,404.0,0.0
mouseland,claude-code,3,19.0,0.0,,,,,,
mouseland,codex,3,19.0,0.0,89.0,0.0,,,20547.0,0.0
sosa2024,claude,3,11.0,0.0,14.0,0.0,,,155.0,0.0
sosa2024,codex,3,11.0,0.0,14.0,0.0,12376.0,0.0,155.0,0.0
zhang2025,claude-code,4,139.0,0.0,,,,,,
zhang2025,codex,4,139.0,0.0,3.2999999999999994,0.0,,,1355.0,0.0
