Found 152 NWB files
  sub-m11_ses-03: 155 cells, 80 trials, 0.1s
  sub-m11_ses-04: 168 cells, 80 trials, 0.1s
  sub-m11_ses-05: 189 cells, 80 trials, 0.1s
  sub-m11_ses-06: 176 cells, 80 trials, 0.1s
  sub-m11_ses-07: 174 cells, 80 trials, 0.1s
  sub-m11_ses-08: 181 cells, 80 trials, 0.1s
  sub-m11_ses-09: 190 cells, 80 trials, 0.1s
  sub-m11_ses-10: 198 cells, 80 trials, 0.1s
  sub-m11_ses-11: 204 cells, 80 trials, 0.1s
  sub-m11_ses-12: 209 cells, 80 trials, 0.2s
  sub-m11_ses-13: 245 cells, 80 trials, 0.2s
  sub-m11_ses-14: 219 cells, 80 trials, 0.2s
  sub-m12_ses-01: 1780 cells, 80 trials, 0.8s
  sub-m12_ses-02: 1112 cells, 80 trials, 0.4s
  sub-m12_ses-03: 1143 cells, 80 trials, 0.5s
  sub-m12_ses-04: 1017 cells, 80 trials, 0.5s
  sub-m12_ses-05: 1306 cells, 80 trials, 0.6s
  sub-m12_ses-06: 1084 cells, 80 trials, 0.4s
  sub-m12_ses-07: 1478 cells, 80 trials, 0.6s
  sub-m12_ses-08: 1494 cells, 80 trials, 0.6s
  sub-m12_ses-09: 1121 cells, 80 trials, 0.4s
  sub-m12_ses-10: 1327 cells, 80 trials, 0.6s
  sub-m12_ses-11: 1323 cells, 80 trials, 0.6s
  sub-m12_ses-12: 1184 cells, 80 trials, 0.4s
  sub-m12_ses-13: 1118 cells, 80 trials, 0.5s
  sub-m12_ses-14: 1354 cells, 80 trials, 0.4s
  sub-m13_ses-01: 686 cells, 80 trials, 0.4s
  sub-m13_ses-02: 550 cells, 80 trials, 0.4s
  sub-m13_ses-03: 616 cells, 80 trials, 0.3s
  sub-m13_ses-04: 503 cells, 80 trials, 0.4s
  sub-m13_ses-05: 704 cells, 80 trials, 0.4s
  sub-m13_ses-06: 519 cells, 80 trials, 0.4s
  sub-m13_ses-07: 834 cells, 80 trials, 0.5s
  sub-m13_ses-08: 707 cells, 80 trials, 0.4s
  sub-m13_ses-09: 557 cells, 80 trials, 0.4s
  sub-m13_ses-10: 603 cells, 80 trials, 0.3s
  sub-m13_ses-11: 657 cells, 80 trials, 0.5s
  sub-m13_ses-12: 595 cells, 80 trials, 0.4s
  sub-m13_ses-13: 479 cells, 60 trials, 0.3s
  sub-m13_ses-14: 749 cells, 80 trials, 0.3s
  sub-m14_ses-01: 981 cells, 80 trials, 0.6s
  sub-m14_ses-02: 592 cells, 80 trials, 0.4s
  sub-m14_ses-03: 753 cells, 80 trials, 0.4s
  sub-m14_ses-04: 648 cells, 80 trials, 0.3s
  sub-m14_ses-05: 603 cells, 80 trials, 0.3s
  sub-m14_ses-06: 619 cells, 80 trials, 0.3s
  sub-m14_ses-07: 927 cells, 80 trials, 0.5s
  sub-m14_ses-08: 990 cells, 80 trials, 0.4s
  sub-m14_ses-09: 500 cells, 80 trials, 0.3s
  sub-m14_ses-10: 727 cells, 80 trials, 0.4s
  sub-m14_ses-11: 554 cells, 80 trials, 0.3s
  sub-m14_ses-12: 611 cells, 80 trials, 0.3s
  sub-m14_ses-13: 483 cells, 80 trials, 0.3s
  sub-m14_ses-14: 876 cells, 80 trials, 0.4s
  sub-m15_ses-01: 1133 cells, 80 trials, 0.5s
  sub-m15_ses-02: 1045 cells, 80 trials, 0.5s
  sub-m15_ses-03: 1426 cells, 80 trials, 0.5s
  sub-m15_ses-04: 1167 cells, 80 trials, 0.5s
  sub-m15_ses-05: 1483 cells, 80 trials, 0.6s
  sub-m15_ses-06: 1041 cells, 80 trials, 0.4s
  sub-m15_ses-07: 1308 cells, 80 trials, 0.4s
  sub-m15_ses-08: 1307 cells, 80 trials, 0.4s
  sub-m15_ses-09: 1070 cells, 80 trials, 0.4s
  sub-m15_ses-10: 1283 cells, 80 trials, 0.5s
  sub-m15_ses-11: 754 cells, 80 trials, 0.3s
  sub-m15_ses-12: 1127 cells, 80 trials, 0.5s
  sub-m15_ses-13: 875 cells, 80 trials, 0.3s
  sub-m15_ses-14: 1195 cells, 80 trials, 0.6s
  sub-m17_ses-01: 591 cells, 80 trials, 0.6s
  sub-m17_ses-02: 442 cells, 80 trials, 0.9s
  sub-m17_ses-03: 676 cells, 80 trials, 0.6s
  sub-m17_ses-04: 506 cells, 80 trials, 0.5s
  sub-m17_ses-05: 838 cells, 80 trials, 0.8s
  sub-m17_ses-06: 491 cells, 80 trials, 0.9s
  sub-m17_ses-07: 690 cells, 80 trials, 0.7s
  sub-m17_ses-08: 593 cells, 80 trials, 0.7s
  sub-m17_ses-09: 539 cells, 80 trials, 0.7s
  sub-m17_ses-10: 683 cells, 80 trials, 0.6s
  sub-m17_ses-11: 629 cells, 80 trials, 0.6s
  sub-m17_ses-12: 747 cells, 80 trials, 0.6s
  sub-m17_ses-13: 468 cells, 80 trials, 0.6s
  sub-m17_ses-14: 770 cells, 80 trials, 0.4s
