Found 152 NWB files
  sub-m11_ses-03: 155 neurons, 80 trials, 0 interneurons removed, 0.8s
  sub-m11_ses-04: 168 neurons, 80 trials, 0 interneurons removed, 0.8s
  sub-m11_ses-05: 189 neurons, 80 trials, 0 interneurons removed, 0.9s
  sub-m11_ses-06: 176 neurons, 80 trials, 0 interneurons removed, 0.8s
  sub-m11_ses-07: 173 neurons, 80 trials, 1 interneurons removed, 0.9s
  sub-m11_ses-08: 180 neurons, 80 trials, 1 interneurons removed, 0.9s
  sub-m11_ses-09: 190 neurons, 80 trials, 0 interneurons removed, 0.8s
  sub-m11_ses-10: 197 neurons, 80 trials, 1 interneurons removed, 0.9s
  sub-m11_ses-11: 204 neurons, 80 trials, 0 interneurons removed, 0.9s
  sub-m11_ses-12: 209 neurons, 80 trials, 0 interneurons removed, 1.0s
  sub-m11_ses-13: 244 neurons, 80 trials, 1 interneurons removed, 1.1s
  sub-m11_ses-14: 217 neurons, 80 trials, 2 interneurons removed, 0.9s
  sub-m12_ses-01: 1780 neurons, 80 trials, 0 interneurons removed, 5.7s
  sub-m12_ses-02: 1112 neurons, 80 trials, 0 interneurons removed, 3.5s
  sub-m12_ses-03: 1143 neurons, 80 trials, 0 interneurons removed, 3.7s
  sub-m12_ses-04: 1017 neurons, 80 trials, 0 interneurons removed, 3.4s
  sub-m12_ses-05: 1306 neurons, 80 trials, 0 interneurons removed, 4.6s
  sub-m12_ses-06: 1083 neurons, 80 trials, 1 interneurons removed, 3.4s
  sub-m12_ses-07: 1478 neurons, 80 trials, 0 interneurons removed, 4.7s
  sub-m12_ses-08: 1494 neurons, 80 trials, 0 interneurons removed, 4.4s
  sub-m12_ses-09: 1121 neurons, 80 trials, 0 interneurons removed, 3.4s
  sub-m12_ses-10: 1327 neurons, 80 trials, 0 interneurons removed, 4.3s
  sub-m12_ses-11: 1323 neurons, 80 trials, 0 interneurons removed, 5.3s
  sub-m12_ses-12: 1184 neurons, 80 trials, 0 interneurons removed, 3.8s
  sub-m12_ses-13: 1118 neurons, 80 trials, 0 interneurons removed, 3.8s
  sub-m12_ses-14: 1354 neurons, 80 trials, 0 interneurons removed, 4.0s
