Mode: full
Sessions selected: 152
[001/152] sub-m11_ses-03: 80 trials, 155 neurons, 0.28s
[002/152] sub-m11_ses-04: 80 trials, 168 neurons, 0.28s
[003/152] sub-m11_ses-05: 80 trials, 189 neurons, 0.22s
[004/152] sub-m11_ses-06: 80 trials, 176 neurons, 0.28s
[005/152] sub-m11_ses-07: 80 trials, 174 neurons, 0.17s
[006/152] sub-m11_ses-08: 80 trials, 181 neurons, 0.18s
[007/152] sub-m11_ses-09: 80 trials, 190 neurons, 0.20s
[008/152] sub-m11_ses-10: 80 trials, 198 neurons, 0.18s
[009/152] sub-m11_ses-11: 80 trials, 204 neurons, 0.20s
[010/152] sub-m11_ses-12: 80 trials, 209 neurons, 0.22s
[011/152] sub-m11_ses-13: 80 trials, 245 neurons, 0.25s
[012/152] sub-m11_ses-14: 80 trials, 219 neurons, 0.32s
[013/152] sub-m12_ses-01: 80 trials, 1780 neurons, 0.69s
[014/152] sub-m12_ses-02: 80 trials, 1112 neurons, 0.53s
[015/152] sub-m12_ses-03: 80 trials, 1143 neurons, 0.49s
[016/152] sub-m12_ses-04: 80 trials, 1017 neurons, 0.59s
[017/152] sub-m12_ses-05: 80 trials, 1306 neurons, 0.58s
[018/152] sub-m12_ses-06: 80 trials, 1084 neurons, 0.44s
[019/152] sub-m12_ses-07: 80 trials, 1478 neurons, 0.59s
[020/152] sub-m12_ses-08: 80 trials, 1494 neurons, 0.75s
[021/152] sub-m12_ses-09: 80 trials, 1121 neurons, 0.47s
[022/152] sub-m12_ses-10: 80 trials, 1327 neurons, 0.53s
[023/152] sub-m12_ses-11: 80 trials, 1323 neurons, 0.74s
[024/152] sub-m12_ses-12: 80 trials, 1184 neurons, 0.48s
[025/152] sub-m12_ses-13: 80 trials, 1118 neurons, 0.53s
[026/152] sub-m12_ses-14: 80 trials, 1354 neurons, 0.64s
[027/152] sub-m13_ses-01: 80 trials, 686 neurons, 0.48s
[028/152] sub-m13_ses-02: 80 trials, 550 neurons, 0.61s
[029/152] sub-m13_ses-03: 80 trials, 616 neurons, 0.42s
[030/152] sub-m13_ses-04: 80 trials, 503 neurons, 0.37s
[031/152] sub-m13_ses-05: 80 trials, 704 neurons, 0.41s
[032/152] sub-m13_ses-06: 80 trials, 519 neurons, 0.34s
[033/152] sub-m13_ses-07: 80 trials, 834 neurons, 0.47s
[034/152] sub-m13_ses-08: 80 trials, 707 neurons, 0.38s
[035/152] sub-m13_ses-09: 80 trials, 557 neurons, 0.47s
[036/152] sub-m13_ses-10: 80 trials, 603 neurons, 0.39s
[037/152] sub-m13_ses-11: 80 trials, 657 neurons, 0.46s
[038/152] sub-m13_ses-12: 80 trials, 595 neurons, 0.40s
[039/152] sub-m13_ses-13: 60 trials, 479 neurons, 0.30s
[040/152] sub-m13_ses-14: 80 trials, 749 neurons, 0.46s
[041/152] sub-m14_ses-01: 80 trials, 981 neurons, 0.66s
[042/152] sub-m14_ses-02: 80 trials, 592 neurons, 0.53s
[043/152] sub-m14_ses-03: 80 trials, 753 neurons, 0.58s
[044/152] sub-m14_ses-04: 80 trials, 648 neurons, 0.49s
[045/152] sub-m14_ses-05: 80 trials, 603 neurons, 0.31s
[046/152] sub-m14_ses-06: 80 trials, 619 neurons, 0.30s
[047/152] sub-m14_ses-07: 80 trials, 927 neurons, 0.40s
[048/152] sub-m14_ses-08: 80 trials, 990 neurons, 0.48s
[049/152] sub-m14_ses-09: 80 trials, 500 neurons, 0.48s
[050/152] sub-m14_ses-10: 80 trials, 727 neurons, 0.50s
[051/152] sub-m14_ses-11: 80 trials, 554 neurons, 0.63s
[052/152] sub-m14_ses-12: 80 trials, 611 neurons, 0.34s
[053/152] sub-m14_ses-13: 80 trials, 483 neurons, 0.33s
[054/152] sub-m14_ses-14: 80 trials, 876 neurons, 0.43s
[055/152] sub-m15_ses-01: 80 trials, 1133 neurons, 0.45s
[056/152] sub-m15_ses-02: 80 trials, 1045 neurons, 0.44s
[057/152] sub-m15_ses-03: 80 trials, 1426 neurons, 0.59s
[058/152] sub-m15_ses-04: 80 trials, 1167 neurons, 0.58s
[059/152] sub-m15_ses-05: 80 trials, 1483 neurons, 0.61s
[060/152] sub-m15_ses-06: 80 trials, 1041 neurons, 0.41s
[061/152] sub-m15_ses-07: 80 trials, 1308 neurons, 0.45s
[062/152] sub-m15_ses-08: 80 trials, 1307 neurons, 0.49s
[063/152] sub-m15_ses-09: 80 trials, 1070 neurons, 0.49s
[064/152] sub-m15_ses-10: 80 trials, 1283 neurons, 0.51s
[065/152] sub-m15_ses-11: 80 trials, 754 neurons, 0.31s
[066/152] sub-m15_ses-12: 80 trials, 1127 neurons, 0.57s
[067/152] sub-m15_ses-13: 80 trials, 875 neurons, 0.52s
[068/152] sub-m15_ses-14: 80 trials, 1195 neurons, 0.73s
[069/152] sub-m17_ses-01: 80 trials, 591 neurons, 0.75s
[070/152] sub-m17_ses-02: 80 trials, 442 neurons, 0.94s
[071/152] sub-m17_ses-03: 80 trials, 676 neurons, 0.65s
[072/152] sub-m17_ses-04: 80 trials, 506 neurons, 0.81s
[073/152] sub-m17_ses-05: 80 trials, 838 neurons, 0.83s
[074/152] sub-m17_ses-06: 80 trials, 491 neurons, 0.69s
[075/152] sub-m17_ses-07: 80 trials, 690 neurons, 0.91s
[076/152] sub-m17_ses-08: 80 trials, 593 neurons, 0.59s
[077/152] sub-m17_ses-09: 80 trials, 539 neurons, 0.70s
[078/152] sub-m17_ses-10: 80 trials, 683 neurons, 0.67s
[079/152] sub-m17_ses-11: 80 trials, 629 neurons, 0.67s
[080/152] sub-m17_ses-12: 80 trials, 747 neurons, 0.68s
[081/152] sub-m17_ses-13: 80 trials, 468 neurons, 0.51s
[082/152] sub-m17_ses-14: 80 trials, 770 neurons, 0.56s
[083/152] sub-m18_ses-01: 80 trials, 2281 neurons, 1.08s
[084/152] sub-m18_ses-02: 80 trials, 1639 neurons, 1.05s
[085/152] sub-m18_ses-03: 80 trials, 2341 neurons, 1.31s
[086/152] sub-m18_ses-04: 80 trials, 1634 neurons, 1.09s
[087/152] sub-m18_ses-05: 80 trials, 2115 neurons, 1.59s
[088/152] sub-m18_ses-06: 80 trials, 1378 neurons, 0.89s
[089/152] sub-m18_ses-07: 80 trials, 1726 neurons, 1.05s
[090/152] sub-m18_ses-08: 80 trials, 2314 neurons, 1.15s
[091/152] sub-m18_ses-09: 80 trials, 1696 neurons, 1.04s
[092/152] sub-m18_ses-10: 80 trials, 1899 neurons, 1.04s
[093/152] sub-m18_ses-11: 80 trials, 1382 neurons, 1.06s
[094/152] sub-m18_ses-12: 80 trials, 1927 neurons, 0.90s
[095/152] sub-m18_ses-13: 80 trials, 1433 neurons, 0.94s
[096/152] sub-m18_ses-14: 80 trials, 1955 neurons, 1.17s
[097/152] sub-m19_ses-01: 80 trials, 528 neurons, 0.36s
[098/152] sub-m19_ses-02: 80 trials, 407 neurons, 0.50s
[099/152] sub-m19_ses-03: 80 trials, 465 neurons, 0.61s
[100/152] sub-m19_ses-04: 80 trials, 550 neurons, 0.46s
[101/152] sub-m19_ses-05: 80 trials, 472 neurons, 0.60s
[102/152] sub-m19_ses-06: 80 trials, 504 neurons, 0.55s
[103/152] sub-m19_ses-07: 80 trials, 596 neurons, 0.55s
[104/152] sub-m19_ses-08: 80 trials, 566 neurons, 0.47s
[105/152] sub-m19_ses-09: 80 trials, 434 neurons, 0.48s
[106/152] sub-m19_ses-10: 80 trials, 469 neurons, 0.43s
[107/152] sub-m19_ses-11: 80 trials, 378 neurons, 0.51s
[108/152] sub-m19_ses-12: 80 trials, 558 neurons, 0.52s
[109/152] sub-m19_ses-13: 80 trials, 428 neurons, 0.39s
[110/152] sub-m19_ses-14: 80 trials, 589 neurons, 0.44s
[111/152] sub-m3_ses-01: 80 trials, 1052 neurons, 1.38s
[112/152] sub-m3_ses-02: 80 trials, 917 neurons, 0.99s
[113/152] sub-m3_ses-03: 80 trials, 1059 neurons, 0.86s
[114/152] sub-m3_ses-04: 80 trials, 814 neurons, 1.03s
[115/152] sub-m3_ses-05: 80 trials, 1022 neurons, 1.31s
[116/152] sub-m3_ses-06: 80 trials, 818 neurons, 0.84s
[117/152] sub-m3_ses-07: 80 trials, 787 neurons, 0.72s
[118/152] sub-m3_ses-08: 80 trials, 783 neurons, 0.79s
[119/152] sub-m3_ses-09: 80 trials, 768 neurons, 0.87s
[120/152] sub-m3_ses-10: 90 trials, 930 neurons, 0.84s
[121/152] sub-m3_ses-11: 80 trials, 1000 neurons, 0.96s
[122/152] sub-m3_ses-12: 80 trials, 1030 neurons, 0.76s
[123/152] sub-m3_ses-13: 80 trials, 980 neurons, 0.61s
[124/152] sub-m3_ses-14: 100 trials, 1050 neurons, 0.90s
[125/152] sub-m4_ses-01: 80 trials, 983 neurons, 0.94s
[126/152] sub-m4_ses-02: 80 trials, 926 neurons, 0.86s
[127/152] sub-m4_ses-03: 75 trials, 1031 neurons, 1.34s
[128/152] sub-m4_ses-04: 41 trials, 1016 neurons, 1.16s
[129/152] sub-m4_ses-05: 80 trials, 1066 neurons, 1.22s
[130/152] sub-m4_ses-06: 80 trials, 1068 neurons, 0.82s
[131/152] sub-m4_ses-07: 80 trials, 1011 neurons, 0.83s
[132/152] sub-m4_ses-08: 80 trials, 1287 neurons, 1.15s
[133/152] sub-m4_ses-09: 50 trials, 1019 neurons, 1.18s
[134/152] sub-m4_ses-10: 80 trials, 1100 neurons, 1.05s
[135/152] sub-m4_ses-11: 80 trials, 990 neurons, 1.23s
