Running in full mode on 152 sessions
[001/152] sub-m11_ses-03_behavior+ophys.nwb: 155 cells, 80 kept trials, dropped 0 lick-QC trials, 0.15s
[002/152] sub-m11_ses-04_behavior+ophys.nwb: 168 cells, 80 kept trials, dropped 0 lick-QC trials, 0.11s
[003/152] sub-m11_ses-05_behavior+ophys.nwb: 189 cells, 80 kept trials, dropped 0 lick-QC trials, 0.11s
[004/152] sub-m11_ses-06_behavior+ophys.nwb: 176 cells, 79 kept trials, dropped 1 lick-QC trials, 0.08s
[005/152] sub-m11_ses-07_behavior+ophys.nwb: 174 cells, 80 kept trials, dropped 0 lick-QC trials, 0.10s
[006/152] sub-m11_ses-08_behavior+ophys.nwb: 181 cells, 80 kept trials, dropped 0 lick-QC trials, 0.10s
[007/152] sub-m11_ses-09_behavior+ophys.nwb: 190 cells, 79 kept trials, dropped 1 lick-QC trials, 0.12s
[008/152] sub-m11_ses-10_behavior+ophys.nwb: 198 cells, 80 kept trials, dropped 0 lick-QC trials, 0.13s
[009/152] sub-m11_ses-11_behavior+ophys.nwb: 204 cells, 80 kept trials, dropped 0 lick-QC trials, 0.13s
[010/152] sub-m11_ses-12_behavior+ophys.nwb: 209 cells, 80 kept trials, dropped 0 lick-QC trials, 0.16s
[011/152] sub-m11_ses-13_behavior+ophys.nwb: 245 cells, 80 kept trials, dropped 0 lick-QC trials, 0.12s
[012/152] sub-m11_ses-14_behavior+ophys.nwb: 219 cells, 80 kept trials, dropped 0 lick-QC trials, 0.16s
[013/152] sub-m12_ses-01_behavior+ophys.nwb: 1780 cells, 80 kept trials, dropped 0 lick-QC trials, 0.40s
[014/152] sub-m12_ses-02_behavior+ophys.nwb: 1112 cells, 80 kept trials, dropped 0 lick-QC trials, 0.34s
[015/152] sub-m12_ses-03_behavior+ophys.nwb: 1143 cells, 80 kept trials, dropped 0 lick-QC trials, 0.34s
[016/152] sub-m12_ses-04_behavior+ophys.nwb: 1017 cells, 80 kept trials, dropped 0 lick-QC trials, 0.24s
[017/152] sub-m12_ses-05_behavior+ophys.nwb: 1306 cells, 80 kept trials, dropped 0 lick-QC trials, 0.29s
[018/152] sub-m12_ses-06_behavior+ophys.nwb: 1084 cells, 80 kept trials, dropped 0 lick-QC trials, 0.31s
[019/152] sub-m12_ses-07_behavior+ophys.nwb: 1478 cells, 80 kept trials, dropped 0 lick-QC trials, 0.28s
[020/152] sub-m12_ses-08_behavior+ophys.nwb: 1494 cells, 80 kept trials, dropped 0 lick-QC trials, 0.44s
[021/152] sub-m12_ses-09_behavior+ophys.nwb: 1121 cells, 80 kept trials, dropped 0 lick-QC trials, 0.30s
[022/152] sub-m12_ses-10_behavior+ophys.nwb: 1327 cells, 79 kept trials, dropped 1 lick-QC trials, 0.26s
[023/152] sub-m12_ses-11_behavior+ophys.nwb: 1323 cells, 80 kept trials, dropped 0 lick-QC trials, 0.36s
[024/152] sub-m12_ses-12_behavior+ophys.nwb: 1184 cells, 80 kept trials, dropped 0 lick-QC trials, 0.33s
[025/152] sub-m12_ses-13_behavior+ophys.nwb: 1118 cells, 80 kept trials, dropped 0 lick-QC trials, 0.23s
[026/152] sub-m12_ses-14_behavior+ophys.nwb: 1354 cells, 80 kept trials, dropped 0 lick-QC trials, 0.22s
[027/152] sub-m13_ses-01_behavior+ophys.nwb: 686 cells, 80 kept trials, dropped 0 lick-QC trials, 0.38s
[028/152] sub-m13_ses-02_behavior+ophys.nwb: 550 cells, 80 kept trials, dropped 0 lick-QC trials, 0.26s
