Mode=full; sessions=152
[m3_ses-01] 80/80 trials, 1052/2929 curated cells, 0.81 s
[m3_ses-02] 80/80 trials, 917/2616 curated cells, 0.44 s
[m3_ses-03] 80/80 trials, 1059/2999 curated cells, 0.53 s
[m3_ses-04] 80/80 trials, 814/2535 curated cells, 0.53 s
[m3_ses-05] 80/80 trials, 1022/2871 curated cells, 0.52 s
[m3_ses-06] 80/80 trials, 818/2399 curated cells, 0.31 s
[m3_ses-07] 80/80 trials, 787/2430 curated cells, 0.38 s
[m3_ses-08] 80/80 trials, 783/2345 curated cells, 0.39 s
[m3_ses-09] 80/80 trials, 768/2299 curated cells, 0.37 s
[m3_ses-10] 89/90 trials, 930/2296 curated cells, 0.38 s
[m3_ses-11] 80/80 trials, 1000/2590 curated cells, 0.41 s
[m3_ses-12] 80/80 trials, 1030/2724 curated cells, 0.40 s
[m3_ses-13] 80/80 trials, 980/2758 curated cells, 0.33 s
[m3_ses-14] 100/100 trials, 1050/2668 curated cells, 0.37 s
[m4_ses-01] 80/80 trials, 983/1913 curated cells, 0.63 s
[m4_ses-02] 79/80 trials, 926/1990 curated cells, 0.51 s
[m4_ses-03] 75/75 trials, 1031/2029 curated cells, 0.55 s
[m4_ses-04] 40/41 trials, 1016/2113 curated cells, 0.57 s
[m4_ses-05] 80/80 trials, 1066/2026 curated cells, 0.69 s
[m4_ses-06] 79/80 trials, 1068/2210 curated cells, 0.57 s
[m4_ses-07] 71/80 trials, 1011/2034 curated cells, 0.46 s
[m4_ses-08] 80/80 trials, 1287/2427 curated cells, 0.67 s
[m4_ses-09] 50/50 trials, 1019/2201 curated cells, 0.66 s
[m4_ses-10] 79/80 trials, 1100/2211 curated cells, 0.83 s
[m4_ses-11] 80/80 trials, 990/2540 curated cells, 0.50 s
[m4_ses-12] 80/80 trials, 1039/2427 curated cells, 0.62 s
[m4_ses-13] 79/80 trials, 886/2070 curated cells, 0.63 s
[m4_ses-14] 45/80 trials, 1066/2329 curated cells, 0.68 s
[m7_ses-01] 99/100 trials, 1298/2724 curated cells, 0.56 s
[m7_ses-02] 80/80 trials, 1186/2786 curated cells, 0.36 s
[m7_ses-03] 100/100 trials, 1155/2782 curated cells, 0.60 s
[m7_ses-04] 79/80 trials, 1013/2085 curated cells, 0.28 s
[m7_ses-05] 80/80 trials, 1111/2102 curated cells, 0.37 s
[m7_ses-06] 80/80 trials, 1142/2268 curated cells, 0.34 s
[m7_ses-07] 100/100 trials, 1020/2008 curated cells, 0.27 s
[m7_ses-08] 99/100 trials, 1034/2087 curated cells, 0.33 s
[m7_ses-09] 80/80 trials, 900/2076 curated cells, 0.26 s
[m7_ses-10] 80/80 trials, 886/2103 curated cells, 0.29 s
[m7_ses-11] 80/80 trials, 973/2153 curated cells, 0.29 s
[m7_ses-12] 100/100 trials, 969/2222 curated cells, 0.44 s
[m7_ses-13] 80/80 trials, 988/2308 curated cells, 0.29 s
[m7_ses-14] 100/100 trials, 1192/2447 curated cells, 0.44 s
[m11_ses-03] 80/80 trials, 155/349 curated cells, 0.07 s
[m11_ses-04] 80/80 trials, 168/315 curated cells, 0.09 s
[m11_ses-05] 80/80 trials, 189/358 curated cells, 0.09 s
[m11_ses-06] 79/80 trials, 176/332 curated cells, 0.07 s
[m11_ses-07] 80/80 trials, 174/446 curated cells, 0.07 s
[m11_ses-08] 80/80 trials, 181/502 curated cells, 0.14 s
[m11_ses-09] 79/80 trials, 190/424 curated cells, 0.09 s
