[1/152] m11_ses-03: 19818 frames, 155 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=179.53, session conversion time=0.23s
[2/152] m11_ses-04: 20963 frames, 168 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=183.70, session conversion time=0.20s
[3/152] m11_ses-05: 20684 frames, 189 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=185.14, session conversion time=0.23s
[4/152] m11_ses-06: 21124 frames, 176 curated neurons, rate=15.507812 Hz
    kept 79 trials, mean trial bins=191.44, session conversion time=0.21s
[5/152] m11_ses-07: 20406 frames, 174 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=179.78, session conversion time=0.21s
[6/152] m11_ses-08: 19568 frames, 181 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=175.26, session conversion time=0.24s
[7/152] m11_ses-09: 19555 frames, 190 curated neurons, rate=15.507812 Hz
    kept 79 trials, mean trial bins=163.10, session conversion time=0.22s
[8/152] m11_ses-10: 19962 frames, 198 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=176.22, session conversion time=0.22s
[9/152] m11_ses-11: 19548 frames, 204 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=173.24, session conversion time=0.27s
[10/152] m11_ses-12: 21652 frames, 209 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=201.65, session conversion time=0.23s
[11/152] m11_ses-13: 21885 frames, 245 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=201.40, session conversion time=0.23s
[12/152] m11_ses-14: 19950 frames, 219 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=186.21, session conversion time=0.24s
[13/152] m12_ses-01: 17656 frames, 1780 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=147.81, session conversion time=0.70s
[14/152] m12_ses-02: 17178 frames, 1112 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=144.45, session conversion time=0.43s
[15/152] m12_ses-03: 17257 frames, 1143 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=147.40, session conversion time=0.46s
[16/152] m12_ses-04: 17403 frames, 1017 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=151.60, session conversion time=0.44s
[17/152] m12_ses-05: 18875 frames, 1306 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=164.55, session conversion time=0.59s
[18/152] m12_ses-06: 16626 frames, 1084 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=138.89, session conversion time=0.44s
[19/152] m12_ses-07: 17718 frames, 1478 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=153.31, session conversion time=0.61s
[20/152] m12_ses-08: 17390 frames, 1494 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=147.24, session conversion time=0.57s
[21/152] m12_ses-09: 16081 frames, 1121 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=127.14, session conversion time=0.41s
[22/152] m12_ses-10: 17856 frames, 1327 curated neurons, rate=15.507812 Hz
    kept 79 trials, mean trial bins=141.99, session conversion time=0.51s
[23/152] m12_ses-11: 21037 frames, 1323 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=191.31, session conversion time=0.59s
[24/152] m12_ses-12: 17148 frames, 1184 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=145.65, session conversion time=0.46s
[25/152] m12_ses-13: 17666 frames, 1118 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=149.91, session conversion time=0.49s
[26/152] m12_ses-14: 16092 frames, 1354 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=131.41, session conversion time=0.51s
[27/152] m13_ses-01: 22001 frames, 686 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=186.61, session conversion time=0.52s
[28/152] m13_ses-02: 21590 frames, 550 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=194.30, session conversion time=0.43s
[29/152] m13_ses-03: 20990 frames, 616 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=184.99, session conversion time=0.41s
[30/152] m13_ses-04: 19590 frames, 503 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=175.29, session conversion time=0.44s
[31/152] m13_ses-05: 18862 frames, 704 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=164.68, session conversion time=0.43s
[32/152] m13_ses-06: 17885 frames, 519 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=156.89, session conversion time=0.33s
[33/152] m13_ses-07: 19331 frames, 834 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=167.28, session conversion time=0.44s
[34/152] m13_ses-08: 18477 frames, 707 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=161.47, session conversion time=0.39s
[35/152] m13_ses-09: 18746 frames, 557 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=157.12, session conversion time=0.38s
[36/152] m13_ses-10: 21364 frames, 603 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=192.15, session conversion time=0.43s
[37/152] m13_ses-11: 24763 frames, 657 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=227.66, session conversion time=0.52s
[38/152] m13_ses-12: 21924 frames, 595 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=193.76, session conversion time=0.45s
[39/152] m13_ses-13: 14164 frames, 479 curated neurons, rate=15.507812 Hz
    kept 60 trials, mean trial bins=166.28, session conversion time=0.33s
[40/152] m13_ses-14: 19487 frames, 749 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=176.54, session conversion time=0.46s
[41/152] m14_ses-01: 22647 frames, 981 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=204.64, session conversion time=0.64s
[42/152] m14_ses-02: 23732 frames, 592 curated neurons, rate=15.507812 Hz
    kept 75 trials, mean trial bins=222.32, session conversion time=0.39s
[43/152] m14_ses-03: 22577 frames, 753 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=204.95, session conversion time=0.41s
[44/152] m14_ses-04: 18715 frames, 648 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=161.09, session conversion time=0.34s
[45/152] m14_ses-05: 19238 frames, 603 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=162.00, session conversion time=0.35s
[46/152] m14_ses-06: 17989 frames, 619 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=154.15, session conversion time=0.33s
[47/152] m14_ses-07: 17179 frames, 927 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=146.56, session conversion time=0.42s
[48/152] m14_ses-08: 17513 frames, 990 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=146.25, session conversion time=0.49s
[49/152] m14_ses-09: 15542 frames, 500 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=130.11, session conversion time=0.34s
[50/152] m14_ses-10: 16860 frames, 727 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=138.55, session conversion time=0.40s
[51/152] m14_ses-11: 16991 frames, 554 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=135.21, session conversion time=0.37s
[52/152] m14_ses-12: 15600 frames, 611 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=129.94, session conversion time=0.39s
[53/152] m14_ses-13: 15223 frames, 483 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=118.51, session conversion time=0.33s
[54/152] m14_ses-14: 18000 frames, 876 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=152.40, session conversion time=0.44s
[55/152] m15_ses-01: 23961 frames, 1133 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=220.82, session conversion time=0.53s
[56/152] m15_ses-02: 20859 frames, 1045 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=184.07, session conversion time=0.45s
[57/152] m15_ses-03: 21762 frames, 1426 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=192.16, session conversion time=0.57s
[58/152] m15_ses-04: 25903 frames, 1167 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=245.61, session conversion time=0.55s
[59/152] m15_ses-05: 22584 frames, 1483 curated neurons, rate=15.507812 Hz
    kept 74 trials, mean trial bins=207.74, session conversion time=0.61s
[60/152] m15_ses-06: 19229 frames, 1041 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=162.53, session conversion time=0.41s
[61/152] m15_ses-07: 17964 frames, 1308 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=156.29, session conversion time=0.47s
[62/152] m15_ses-08: 18456 frames, 1307 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=163.47, session conversion time=0.49s
[63/152] m15_ses-09: 16734 frames, 1070 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=139.72, session conversion time=0.43s
[64/152] m15_ses-10: 19042 frames, 1283 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=169.51, session conversion time=0.51s
[65/152] m15_ses-11: 18494 frames, 754 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=158.79, session conversion time=0.39s
[66/152] m15_ses-12: 15419 frames, 1127 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=125.91, session conversion time=0.44s
[67/152] m15_ses-13: 16394 frames, 875 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=141.56, session conversion time=0.39s
[68/152] m15_ses-14: 20663 frames, 1195 curated neurons, rate=15.507812 Hz
    kept 78 trials, mean trial bins=168.40, session conversion time=0.55s
[69/152] m17_ses-01: 22634 frames, 236 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=103.76, session conversion time=0.41s
[70/152] m17_ses-02: 19498 frames, 246 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=87.88, session conversion time=0.80s
[71/152] m17_ses-03: 21933 frames, 300 curated neurons, rate=31.015625 Hz
    kept 79 trials, mean trial bins=96.92, session conversion time=0.48s
[72/152] m17_ses-04: 22790 frames, 214 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=101.91, session conversion time=0.41s
[73/152] m17_ses-05: 28071 frames, 372 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=135.55, session conversion time=0.59s
[74/152] m17_ses-06: 32672 frames, 229 curated neurons, rate=31.015625 Hz
    kept 79 trials, mean trial bins=156.84, session conversion time=0.52s
[75/152] m17_ses-07: 28726 frames, 275 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=136.78, session conversion time=0.55s
[76/152] m17_ses-08: 21897 frames, 260 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=102.08, session conversion time=0.48s
[77/152] m17_ses-09: 30482 frames, 293 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=150.95, session conversion time=0.59s
[78/152] m17_ses-10: 24520 frames, 282 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=116.51, session conversion time=0.47s
[79/152] m17_ses-11: 19142 frames, 293 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=89.29, session conversion time=0.42s
[80/152] m17_ses-12: 19605 frames, 326 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=88.16, session conversion time=0.42s
[81/152] m17_ses-13: 21948 frames, 233 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=97.85, session conversion time=0.46s
[82/152] m17_ses-14: 18834 frames, 337 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=85.91, session conversion time=0.43s
[83/152] m18_ses-01: 22794 frames, 847 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=104.21, session conversion time=0.74s
[84/152] m18_ses-02: 22990 frames, 707 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=106.80, session conversion time=0.67s
[85/152] m18_ses-03: 28074 frames, 974 curated neurons, rate=31.015625 Hz
    kept 77 trials, mean trial bins=136.19, session conversion time=1.01s
[86/152] m18_ses-04: 26506 frames, 755 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=127.22, session conversion time=0.78s
[87/152] m18_ses-05: 30160 frames, 811 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=151.41, session conversion time=0.86s
[88/152] m18_ses-06: 25070 frames, 456 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=121.03, session conversion time=0.55s
[89/152] m18_ses-07: 23445 frames, 619 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=112.75, session conversion time=0.72s
[90/152] m18_ses-08: 23345 frames, 897 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=113.95, session conversion time=0.81s
[91/152] m18_ses-09: 22856 frames, 804 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=108.61, session conversion time=0.69s
[92/152] m18_ses-10: 21620 frames, 758 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=99.88, session conversion time=0.73s
[93/152] m18_ses-11: 23539 frames, 519 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=106.69, session conversion time=0.58s
[94/152] m18_ses-12: 22058 frames, 748 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=100.91, session conversion time=0.69s
[95/152] m18_ses-13: 19820 frames, 549 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=89.05, session conversion time=0.52s
[96/152] m18_ses-14: 21671 frames, 858 curated neurons, rate=31.015625 Hz
    kept 80 trials, mean trial bins=101.72, session conversion time=0.66s
[97/152] m19_ses-01: 26252 frames, 528 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=251.12, session conversion time=0.42s
[98/152] m19_ses-02: 24669 frames, 407 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=232.41, session conversion time=0.27s
[99/152] m19_ses-03: 29412 frames, 465 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=295.24, session conversion time=0.31s
[100/152] m19_ses-04: 32556 frames, 550 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=320.34, session conversion time=0.47s
[101/152] m19_ses-05: 31119 frames, 472 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=298.99, session conversion time=0.41s
[102/152] m19_ses-06: 24703 frames, 504 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=234.35, session conversion time=0.46s
[103/152] m19_ses-07: 29713 frames, 596 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=279.96, session conversion time=0.46s
[104/152] m19_ses-08: 30526 frames, 566 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=294.86, session conversion time=0.44s
[105/152] m19_ses-09: 25294 frames, 434 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=232.04, session conversion time=0.35s
[106/152] m19_ses-10: 31925 frames, 469 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=319.65, session conversion time=0.38s
[107/152] m19_ses-11: 26002 frames, 378 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=253.36, session conversion time=0.33s
[108/152] m19_ses-12: 27562 frames, 558 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=261.44, session conversion time=0.44s
[109/152] m19_ses-13: 22966 frames, 428 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=214.21, session conversion time=0.34s
[110/152] m19_ses-14: 23474 frames, 589 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=214.59, session conversion time=0.43s
[111/152] m3_ses-01: 33913 frames, 1052 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=346.21, session conversion time=1.06s
[112/152] m3_ses-02: 28649 frames, 917 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=286.02, session conversion time=0.79s
[113/152] m3_ses-03: 26279 frames, 1059 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=256.61, session conversion time=0.81s
[114/152] m3_ses-04: 28319 frames, 814 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=284.35, session conversion time=0.76s
[115/152] m3_ses-05: 34189 frames, 1022 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=338.31, session conversion time=0.99s
[116/152] m3_ses-06: 25286 frames, 818 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=244.65, session conversion time=0.66s
[117/152] m3_ses-07: 25634 frames, 787 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=238.88, session conversion time=0.69s
[118/152] m3_ses-08: 28443 frames, 783 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=283.48, session conversion time=0.72s
[119/152] m3_ses-09: 26431 frames, 768 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=258.64, session conversion time=0.63s
[120/152] m3_ses-10: 26428 frames, 930 curated neurons, rate=15.507812 Hz
    kept 89 trials, mean trial bins=202.85, session conversion time=0.66s
[121/152] m3_ses-11: 24981 frames, 1000 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=240.78, session conversion time=0.70s
[122/152] m3_ses-12: 25645 frames, 1030 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=219.82, session conversion time=0.75s
[123/152] m3_ses-13: 18139 frames, 980 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=155.78, session conversion time=0.56s
[124/152] m3_ses-14: 22903 frames, 1050 curated neurons, rate=15.507812 Hz
    kept 100 trials, mean trial bins=158.48, session conversion time=0.68s
[125/152] m4_ses-01: 40879 frames, 983 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=383.25, session conversion time=0.85s
[126/152] m4_ses-02: 34984 frames, 926 curated neurons, rate=15.507812 Hz
    kept 79 trials, mean trial bins=342.29, session conversion time=0.80s
[127/152] m4_ses-03: 40272 frames, 1031 curated neurons, rate=15.507812 Hz
    kept 75 trials, mean trial bins=427.23, session conversion time=0.91s
[128/152] m4_ses-04: 40804 frames, 1016 curated neurons, rate=15.507812 Hz
    kept 40 trials, mean trial bins=602.35, session conversion time=0.89s
[129/152] m4_ses-05: 46148 frames, 1066 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=393.55, session conversion time=0.97s
[130/152] m4_ses-06: 35895 frames, 1068 curated neurons, rate=15.507812 Hz
    kept 79 trials, mean trial bins=301.35, session conversion time=0.87s
[131/152] m4_ses-07: 32053 frames, 1011 curated neurons, rate=15.507812 Hz
    kept 71 trials, mean trial bins=285.07, session conversion time=0.76s
[132/152] m4_ses-08: 37791 frames, 1287 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=351.29, session conversion time=1.03s
[133/152] m4_ses-09: 42188 frames, 1019 curated neurons, rate=15.507812 Hz
    kept 50 trials, mean trial bins=428.64, session conversion time=1.00s
[134/152] m4_ses-10: 50033 frames, 1100 curated neurons, rate=15.507812 Hz
    kept 79 trials, mean trial bins=374.42, session conversion time=1.12s
[135/152] m4_ses-11: 31668 frames, 990 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=298.82, session conversion time=0.85s
[136/152] m4_ses-12: 40792 frames, 1039 curated neurons, rate=15.507812 Hz
    kept 80 trials, mean trial bins=398.66, session conversion time=1.01s
[137/152] m4_ses-13: 40013 frames, 886 curated neurons, rate=15.507812 Hz
    kept 79 trials, mean trial bins=383.03, session conversion time=0.89s
[138/152] m4_ses-14: 51520 frames, 1066 curated neurons, rate=15.507812 Hz
    kept 47 trials, mean trial bins=539.81, session conversion time=1.16s
[139/152] m7_ses-01: 27624 frames, 1298 curated neurons, rate=15.507812 Hz
    kept 100 trials, mean trial bins=199.67, session conversion time=0.82s
[140/152] m7_ses-02: 23227 frames, 1186 curated neurons, rate=15.507812 Hz
