[1/152] sub-m11_ses-03_behavior+ophys.nwb: 80 trials, 155 cells, 0.08s
[2/152] sub-m11_ses-04_behavior+ophys.nwb: 80 trials, 168 cells, 0.07s
[3/152] sub-m11_ses-05_behavior+ophys.nwb: 80 trials, 189 cells, 0.11s
[4/152] sub-m11_ses-06_behavior+ophys.nwb: 80 trials, 176 cells, 0.08s
[5/152] sub-m11_ses-07_behavior+ophys.nwb: 80 trials, 174 cells, 0.08s
[6/152] sub-m11_ses-08_behavior+ophys.nwb: 80 trials, 181 cells, 0.14s
[7/152] sub-m11_ses-09_behavior+ophys.nwb: 80 trials, 190 cells, 0.13s
[8/152] sub-m11_ses-10_behavior+ophys.nwb: 80 trials, 198 cells, 0.14s
[9/152] sub-m11_ses-11_behavior+ophys.nwb: 80 trials, 204 cells, 0.13s
[10/152] sub-m11_ses-12_behavior+ophys.nwb: 80 trials, 209 cells, 0.09s
[11/152] sub-m11_ses-13_behavior+ophys.nwb: 80 trials, 245 cells, 0.10s
[12/152] sub-m11_ses-14_behavior+ophys.nwb: 80 trials, 219 cells, 0.13s
[13/152] sub-m12_ses-01_behavior+ophys.nwb: 80 trials, 1780 cells, 0.61s
[14/152] sub-m12_ses-02_behavior+ophys.nwb: 80 trials, 1112 cells, 0.30s
[15/152] sub-m12_ses-03_behavior+ophys.nwb: 80 trials, 1143 cells, 0.40s
[16/152] sub-m12_ses-04_behavior+ophys.nwb: 80 trials, 1017 cells, 0.38s
[17/152] sub-m12_ses-05_behavior+ophys.nwb: 80 trials, 1306 cells, 0.34s
[18/152] sub-m12_ses-06_behavior+ophys.nwb: 80 trials, 1084 cells, 0.37s
[19/152] sub-m12_ses-07_behavior+ophys.nwb: 80 trials, 1478 cells, 0.48s
[20/152] sub-m12_ses-08_behavior+ophys.nwb: 80 trials, 1494 cells, 0.37s
[21/152] sub-m12_ses-09_behavior+ophys.nwb: 80 trials, 1121 cells, 0.24s
[22/152] sub-m12_ses-10_behavior+ophys.nwb: 80 trials, 1327 cells, 0.29s
[23/152] sub-m12_ses-11_behavior+ophys.nwb: 80 trials, 1323 cells, 0.36s
[24/152] sub-m12_ses-12_behavior+ophys.nwb: 80 trials, 1184 cells, 0.45s
[25/152] sub-m12_ses-13_behavior+ophys.nwb: 80 trials, 1118 cells, 0.33s
[26/152] sub-m12_ses-14_behavior+ophys.nwb: 80 trials, 1354 cells, 0.35s
[27/152] sub-m13_ses-01_behavior+ophys.nwb: 80 trials, 686 cells, 0.44s
[28/152] sub-m13_ses-02_behavior+ophys.nwb: 80 trials, 550 cells, 0.27s
[29/152] sub-m13_ses-03_behavior+ophys.nwb: 80 trials, 616 cells, 0.44s
[30/152] sub-m13_ses-04_behavior+ophys.nwb: 80 trials, 503 cells, 0.27s
[31/152] sub-m13_ses-05_behavior+ophys.nwb: 80 trials, 704 cells, 0.25s
[32/152] sub-m13_ses-06_behavior+ophys.nwb: 80 trials, 519 cells, 0.23s
[33/152] sub-m13_ses-07_behavior+ophys.nwb: 80 trials, 834 cells, 0.24s
[34/152] sub-m13_ses-08_behavior+ophys.nwb: 80 trials, 707 cells, 0.35s
[35/152] sub-m13_ses-09_behavior+ophys.nwb: 80 trials, 557 cells, 0.24s
[36/152] sub-m13_ses-10_behavior+ophys.nwb: 80 trials, 603 cells, 0.24s
[37/152] sub-m13_ses-11_behavior+ophys.nwb: 80 trials, 657 cells, 0.34s
[38/152] sub-m13_ses-12_behavior+ophys.nwb: 80 trials, 595 cells, 0.24s
[39/152] sub-m13_ses-13_behavior+ophys.nwb: 60 trials, 479 cells, 0.17s
[40/152] sub-m13_ses-14_behavior+ophys.nwb: 80 trials, 749 cells, 0.30s
[41/152] sub-m14_ses-01_behavior+ophys.nwb: 80 trials, 981 cells, 0.34s
[42/152] sub-m14_ses-02_behavior+ophys.nwb: 80 trials, 592 cells, 0.25s
[43/152] sub-m14_ses-03_behavior+ophys.nwb: 80 trials, 753 cells, 0.27s
[44/152] sub-m14_ses-04_behavior+ophys.nwb: 80 trials, 648 cells, 0.18s
[45/152] sub-m14_ses-05_behavior+ophys.nwb: 80 trials, 603 cells, 0.20s
[46/152] sub-m14_ses-06_behavior+ophys.nwb: 80 trials, 619 cells, 0.25s
[47/152] sub-m14_ses-07_behavior+ophys.nwb: 80 trials, 927 cells, 0.22s
[48/152] sub-m14_ses-08_behavior+ophys.nwb: 80 trials, 990 cells, 0.41s
[49/152] sub-m14_ses-09_behavior+ophys.nwb: 80 trials, 500 cells, 0.20s
[50/152] sub-m14_ses-10_behavior+ophys.nwb: 80 trials, 727 cells, 0.22s
[51/152] sub-m14_ses-11_behavior+ophys.nwb: 80 trials, 554 cells, 0.22s
[52/152] sub-m14_ses-12_behavior+ophys.nwb: 80 trials, 611 cells, 0.39s
[53/152] sub-m14_ses-13_behavior+ophys.nwb: 80 trials, 483 cells, 0.15s
[54/152] sub-m14_ses-14_behavior+ophys.nwb: 80 trials, 876 cells, 0.22s
[55/152] sub-m15_ses-01_behavior+ophys.nwb: 80 trials, 1133 cells, 0.29s
[56/152] sub-m15_ses-02_behavior+ophys.nwb: 80 trials, 1045 cells, 0.40s
[57/152] sub-m15_ses-03_behavior+ophys.nwb: 80 trials, 1426 cells, 0.42s
[58/152] sub-m15_ses-04_behavior+ophys.nwb: 80 trials, 1167 cells, 0.29s
[59/152] sub-m15_ses-05_behavior+ophys.nwb: 80 trials, 1483 cells, 0.49s
[60/152] sub-m15_ses-06_behavior+ophys.nwb: 80 trials, 1041 cells, 0.23s
[61/152] sub-m15_ses-07_behavior+ophys.nwb: 80 trials, 1308 cells, 0.60s
