Processing 152 sessions to /app/converted_data.pkl
[1/152] sub-m3/sub-m3_ses-01_behavior+ophys.nwb: neurons=1052 trials=80/80 badlick=0 time=0.55s
[2/152] sub-m3/sub-m3_ses-02_behavior+ophys.nwb: neurons=917 trials=80/80 badlick=0 time=0.46s
[3/152] sub-m3/sub-m3_ses-03_behavior+ophys.nwb: neurons=1059 trials=80/80 badlick=0 time=0.40s
[4/152] sub-m3/sub-m3_ses-04_behavior+ophys.nwb: neurons=814 trials=80/80 badlick=0 time=0.39s
[5/152] sub-m3/sub-m3_ses-05_behavior+ophys.nwb: neurons=1022 trials=80/80 badlick=0 time=0.54s
[6/152] sub-m3/sub-m3_ses-06_behavior+ophys.nwb: neurons=818 trials=80/80 badlick=0 time=0.33s
[7/152] sub-m3/sub-m3_ses-07_behavior+ophys.nwb: neurons=787 trials=80/80 badlick=0 time=0.39s
[8/152] sub-m3/sub-m3_ses-08_behavior+ophys.nwb: neurons=783 trials=80/80 badlick=0 time=0.40s
[9/152] sub-m3/sub-m3_ses-09_behavior+ophys.nwb: neurons=768 trials=80/80 badlick=0 time=0.41s
[10/152] sub-m3/sub-m3_ses-10_behavior+ophys.nwb: neurons=930 trials=89/90 badlick=1 time=0.39s
[11/152] sub-m3/sub-m3_ses-11_behavior+ophys.nwb: neurons=1000 trials=80/80 badlick=0 time=0.36s
[12/152] sub-m3/sub-m3_ses-12_behavior+ophys.nwb: neurons=1030 trials=80/80 badlick=0 time=0.37s
[13/152] sub-m3/sub-m3_ses-13_behavior+ophys.nwb: neurons=980 trials=80/80 badlick=0 time=0.30s
[14/152] sub-m3/sub-m3_ses-14_behavior+ophys.nwb: neurons=1050 trials=100/100 badlick=0 time=0.37s
[15/152] sub-m4/sub-m4_ses-01_behavior+ophys.nwb: neurons=983 trials=80/80 badlick=0 time=0.53s
[16/152] sub-m4/sub-m4_ses-02_behavior+ophys.nwb: neurons=926 trials=79/80 badlick=1 time=0.54s
[17/152] sub-m4/sub-m4_ses-03_behavior+ophys.nwb: neurons=1031 trials=75/75 badlick=0 time=0.51s
[18/152] sub-m4/sub-m4_ses-04_behavior+ophys.nwb: neurons=1016 trials=40/41 badlick=1 time=0.53s
[19/152] sub-m4/sub-m4_ses-05_behavior+ophys.nwb: neurons=1066 trials=80/80 badlick=0 time=0.64s
[20/152] sub-m4/sub-m4_ses-06_behavior+ophys.nwb: neurons=1068 trials=79/80 badlick=1 time=0.50s
[21/152] sub-m4/sub-m4_ses-07_behavior+ophys.nwb: neurons=1011 trials=71/80 badlick=9 time=0.39s
[22/152] sub-m4/sub-m4_ses-08_behavior+ophys.nwb: neurons=1287 trials=80/80 badlick=0 time=0.58s
[23/152] sub-m4/sub-m4_ses-09_behavior+ophys.nwb: neurons=1019 trials=50/50 badlick=0 time=0.59s
[24/152] sub-m4/sub-m4_ses-10_behavior+ophys.nwb: neurons=1100 trials=79/80 badlick=1 time=0.69s
[25/152] sub-m4/sub-m4_ses-11_behavior+ophys.nwb: neurons=990 trials=80/80 badlick=0 time=0.43s
[26/152] sub-m4/sub-m4_ses-12_behavior+ophys.nwb: neurons=1039 trials=80/80 badlick=0 time=0.59s
[27/152] sub-m4/sub-m4_ses-13_behavior+ophys.nwb: neurons=886 trials=79/80 badlick=1 time=0.52s
[28/152] sub-m4/sub-m4_ses-14_behavior+ophys.nwb: neurons=1066 trials=45/80 badlick=35 time=0.69s
[29/152] sub-m7/sub-m7_ses-01_behavior+ophys.nwb: neurons=1298 trials=99/100 badlick=1 time=0.42s
[30/152] sub-m7/sub-m7_ses-02_behavior+ophys.nwb: neurons=1186 trials=80/80 badlick=0 time=0.37s
[31/152] sub-m7/sub-m7_ses-03_behavior+ophys.nwb: neurons=1155 trials=100/100 badlick=0 time=0.45s
[32/152] sub-m7/sub-m7_ses-04_behavior+ophys.nwb: neurons=1013 trials=79/80 badlick=1 time=0.28s
[33/152] sub-m7/sub-m7_ses-05_behavior+ophys.nwb: neurons=1111 trials=80/80 badlick=0 time=0.30s
[34/152] sub-m7/sub-m7_ses-06_behavior+ophys.nwb: neurons=1142 trials=80/80 badlick=0 time=0.31s
[35/152] sub-m7/sub-m7_ses-07_behavior+ophys.nwb: neurons=1020 trials=100/100 badlick=0 time=0.25s
[36/152] sub-m7/sub-m7_ses-08_behavior+ophys.nwb: neurons=1034 trials=99/100 badlick=1 time=0.32s
[37/152] sub-m7/sub-m7_ses-09_behavior+ophys.nwb: neurons=900 trials=80/80 badlick=0 time=0.23s
[38/152] sub-m7/sub-m7_ses-10_behavior+ophys.nwb: neurons=886 trials=80/80 badlick=0 time=0.26s
[39/152] sub-m7/sub-m7_ses-11_behavior+ophys.nwb: neurons=973 trials=80/80 badlick=0 time=0.24s
[40/152] sub-m7/sub-m7_ses-12_behavior+ophys.nwb: neurons=969 trials=100/100 badlick=0 time=0.34s
[41/152] sub-m7/sub-m7_ses-13_behavior+ophys.nwb: neurons=988 trials=80/80 badlick=0 time=0.26s
[42/152] sub-m7/sub-m7_ses-14_behavior+ophys.nwb: neurons=1192 trials=100/100 badlick=0 time=0.42s
[43/152] sub-m11/sub-m11_ses-03_behavior+ophys.nwb: neurons=155 trials=80/80 badlick=0 time=0.06s
[44/152] sub-m11/sub-m11_ses-04_behavior+ophys.nwb: neurons=168 trials=80/80 badlick=0 time=0.06s
[45/152] sub-m11/sub-m11_ses-05_behavior+ophys.nwb: neurons=189 trials=80/80 badlick=0 time=0.09s
[46/152] sub-m11/sub-m11_ses-06_behavior+ophys.nwb: neurons=176 trials=79/80 badlick=1 time=0.07s
[47/152] sub-m11/sub-m11_ses-07_behavior+ophys.nwb: neurons=174 trials=80/80 badlick=0 time=0.06s
[48/152] sub-m11/sub-m11_ses-08_behavior+ophys.nwb: neurons=181 trials=80/80 badlick=0 time=0.10s
[49/152] sub-m11/sub-m11_ses-09_behavior+ophys.nwb: neurons=190 trials=79/80 badlick=1 time=0.08s
[50/152] sub-m11/sub-m11_ses-10_behavior+ophys.nwb: neurons=198 trials=80/80 badlick=0 time=0.08s
[51/152] sub-m11/sub-m11_ses-11_behavior+ophys.nwb: neurons=204 trials=80/80 badlick=0 time=0.08s
[52/152] sub-m11/sub-m11_ses-12_behavior+ophys.nwb: neurons=209 trials=79/80 badlick=1 time=0.10s
[53/152] sub-m11/sub-m11_ses-13_behavior+ophys.nwb: neurons=245 trials=80/80 badlick=0 time=0.08s
[54/152] sub-m11/sub-m11_ses-14_behavior+ophys.nwb: neurons=219 trials=80/80 badlick=0 time=0.10s
[55/152] sub-m12/sub-m12_ses-01_behavior+ophys.nwb: neurons=1780 trials=80/80 badlick=0 time=0.37s
[56/152] sub-m12/sub-m12_ses-02_behavior+ophys.nwb: neurons=1112 trials=80/80 badlick=0 time=0.24s
[57/152] sub-m12/sub-m12_ses-03_behavior+ophys.nwb: neurons=1143 trials=80/80 badlick=0 time=0.24s
[58/152] sub-m12/sub-m12_ses-04_behavior+ophys.nwb: neurons=1017 trials=80/80 badlick=0 time=0.21s
[59/152] sub-m12/sub-m12_ses-05_behavior+ophys.nwb: neurons=1306 trials=80/80 badlick=0 time=0.28s
[60/152] sub-m12/sub-m12_ses-06_behavior+ophys.nwb: neurons=1084 trials=80/80 badlick=0 time=0.24s
[61/152] sub-m12/sub-m12_ses-07_behavior+ophys.nwb: neurons=1478 trials=80/80 badlick=0 time=0.28s
[62/152] sub-m12/sub-m12_ses-08_behavior+ophys.nwb: neurons=1494 trials=80/80 badlick=0 time=0.29s
[63/152] sub-m12/sub-m12_ses-09_behavior+ophys.nwb: neurons=1121 trials=80/80 badlick=0 time=0.24s
[64/152] sub-m12/sub-m12_ses-10_behavior+ophys.nwb: neurons=1327 trials=79/80 badlick=1 time=0.28s
[65/152] sub-m12/sub-m12_ses-11_behavior+ophys.nwb: neurons=1323 trials=80/80 badlick=0 time=0.32s
[66/152] sub-m12/sub-m12_ses-12_behavior+ophys.nwb: neurons=1184 trials=80/80 badlick=0 time=0.27s
[67/152] sub-m12/sub-m12_ses-13_behavior+ophys.nwb: neurons=1118 trials=80/80 badlick=0 time=0.26s
[68/152] sub-m12/sub-m12_ses-14_behavior+ophys.nwb: neurons=1354 trials=80/80 badlick=0 time=0.25s
[69/152] sub-m13/sub-m13_ses-01_behavior+ophys.nwb: neurons=686 trials=80/80 badlick=0 time=0.31s
[70/152] sub-m13/sub-m13_ses-02_behavior+ophys.nwb: neurons=550 trials=80/80 badlick=0 time=0.25s
[71/152] sub-m13/sub-m13_ses-03_behavior+ophys.nwb: neurons=616 trials=80/80 badlick=0 time=0.25s
[72/152] sub-m13/sub-m13_ses-04_behavior+ophys.nwb: neurons=503 trials=80/80 badlick=0 time=0.19s
[73/152] sub-m13/sub-m13_ses-05_behavior+ophys.nwb: neurons=704 trials=80/80 badlick=0 time=0.22s
[74/152] sub-m13/sub-m13_ses-06_behavior+ophys.nwb: neurons=519 trials=80/80 badlick=0 time=0.15s
[75/152] sub-m13/sub-m13_ses-07_behavior+ophys.nwb: neurons=834 trials=80/80 badlick=0 time=0.22s
[76/152] sub-m13/sub-m13_ses-08_behavior+ophys.nwb: neurons=707 trials=80/80 badlick=0 time=0.19s
[77/152] sub-m13/sub-m13_ses-09_behavior+ophys.nwb: neurons=557 trials=80/80 badlick=0 time=0.16s
[78/152] sub-m13/sub-m13_ses-10_behavior+ophys.nwb: neurons=603 trials=80/80 badlick=0 time=0.17s
[79/152] sub-m13/sub-m13_ses-11_behavior+ophys.nwb: neurons=657 trials=80/80 badlick=0 time=0.24s
[80/152] sub-m13/sub-m13_ses-12_behavior+ophys.nwb: neurons=595 trials=80/80 badlick=0 time=0.22s
[81/152] sub-m13/sub-m13_ses-13_behavior+ophys.nwb: neurons=479 trials=60/60 badlick=0 time=0.16s
[82/152] sub-m13/sub-m13_ses-14_behavior+ophys.nwb: neurons=749 trials=80/80 badlick=0 time=0.23s
[83/152] sub-m14/sub-m14_ses-01_behavior+ophys.nwb: neurons=981 trials=80/80 badlick=0 time=0.40s
[84/152] sub-m14/sub-m14_ses-02_behavior+ophys.nwb: neurons=592 trials=73/80 badlick=7 time=0.22s
[85/152] sub-m14/sub-m14_ses-03_behavior+ophys.nwb: neurons=753 trials=80/80 badlick=0 time=0.20s
[86/152] sub-m14/sub-m14_ses-04_behavior+ophys.nwb: neurons=648 trials=80/80 badlick=0 time=0.23s
[87/152] sub-m14/sub-m14_ses-05_behavior+ophys.nwb: neurons=603 trials=80/80 badlick=0 time=0.15s
[88/152] sub-m14/sub-m14_ses-06_behavior+ophys.nwb: neurons=619 trials=80/80 badlick=0 time=0.17s
[89/152] sub-m14/sub-m14_ses-07_behavior+ophys.nwb: neurons=927 trials=80/80 badlick=0 time=0.22s
[90/152] sub-m14/sub-m14_ses-08_behavior+ophys.nwb: neurons=990 trials=80/80 badlick=0 time=0.29s
[91/152] sub-m14/sub-m14_ses-09_behavior+ophys.nwb: neurons=500 trials=80/80 badlick=0 time=0.14s
[92/152] sub-m14/sub-m14_ses-10_behavior+ophys.nwb: neurons=727 trials=80/80 badlick=0 time=0.17s
