Processing 152 sessions
[1/152] m11 day 03 Env1_LocationB_to_A: 80/80 trials, 154 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 9.4s
[2/152] m11 day 04 Env1_LocationA: 80/80 trials, 167 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 9.9s
[3/152] m11 day 05 Env1_LocationA_to_C: 80/80 trials, 189 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 10.0s
[4/152] m11 day 06 Env1_LocationC: 79/80 trials, 175 neurons (1 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 10.0s
[5/152] m11 day 07 Env1_LocationC_to_B: 80/80 trials, 173 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 10.0s
[6/152] m11 day 08 Env1_B_to_Env2_C: 80/80 trials, 180 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 10.0s
[7/152] m11 day 09 Env2_LocationC: 79/80 trials, 190 neurons (0 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 10.0s
[8/152] m11 day 10 Env2_LocationC_to_A: 80/80 trials, 195 neurons (3 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 10.0s
[9/152] m11 day 11 Env2_LocationA: 80/80 trials, 203 neurons (1 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 10.9s
[10/152] m11 day 12 Env2_LocationA_to_B: 79/80 trials, 208 neurons (1 interneurons dropped), drops={'lick_error': 1, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 12.2s
[11/152] m11 day 13 Env2_LocationB: 80/80 trials, 243 neurons (2 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 12.6s
[12/152] m11 day 14 Env2_LocationB_to_C: 80/80 trials, 216 neurons (3 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 12.6s
[13/152] m12 day 01 Env1_LocationB: 80/80 trials, 1780 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 17.7s
[14/152] m12 day 02 Env1_LocationB: 80/80 trials, 1112 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 17.7s
[15/152] m12 day 03 Env1_LocationB_to_C: 80/80 trials, 1143 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 17.7s
[16/152] m12 day 04 Env1_LocationC: 80/80 trials, 1017 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 17.7s
[17/152] m12 day 05 Env1_LocationC_to_A: 80/80 trials, 1306 neurons (0 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 18.0s
[18/152] m12 day 06 Env1_LocationA: 80/80 trials, 1079 neurons (5 interneurons dropped), drops={'lick_error': 0, 'too_short': 0, 'nan_events': 0, 'pre_sync': 0}, elapsed 18.0s
