processing 152 sessions
[ 12.1 s] sub-m11_ses-03_behavior+ophys.nwb: 154 cells (155 iscell, 1 interneurons), 79/80 trials kept  (load 0.2s dff 7.8s)
[ 12.1 s] sub-m11_ses-04_behavior+ophys.nwb: 167 cells (168 iscell, 1 interneurons), 79/80 trials kept  (load 0.2s dff 7.2s)
[ 12.1 s] sub-m11_ses-05_behavior+ophys.nwb: 189 cells (189 iscell, 0 interneurons), 79/80 trials kept  (load 0.4s dff 4.5s)
[ 12.9 s] sub-m11_ses-06_behavior+ophys.nwb: 175 cells (176 iscell, 1 interneurons), 78/80 trials kept  (load 0.2s dff 8.3s)
[ 12.9 s] sub-m11_ses-07_behavior+ophys.nwb: 173 cells (174 iscell, 1 interneurons), 79/80 trials kept  (load 0.2s dff 6.5s)
[ 13.2 s] sub-m11_ses-08_behavior+ophys.nwb: 180 cells (181 iscell, 1 interneurons), 79/80 trials kept  (load 0.3s dff 8.7s)
[ 13.2 s] sub-m11_ses-09_behavior+ophys.nwb: 190 cells (190 iscell, 0 interneurons), 78/80 trials kept  (load 0.3s dff 8.6s)
[ 13.2 s] sub-m11_ses-10_behavior+ophys.nwb: 195 cells (198 iscell, 3 interneurons), 79/80 trials kept  (load 0.3s dff 8.7s)
[ 13.2 s] sub-m11_ses-11_behavior+ophys.nwb: 203 cells (204 iscell, 1 interneurons), 79/80 trials kept  (load 0.2s dff 7.3s)
[ 13.3 s] sub-m11_ses-12_behavior+ophys.nwb: 208 cells (209 iscell, 1 interneurons), 78/80 trials kept  (load 0.2s dff 8.8s)
[ 13.3 s] sub-m11_ses-13_behavior+ophys.nwb: 243 cells (245 iscell, 2 interneurons), 79/80 trials kept  (load 0.3s dff 8.8s)
[ 13.3 s] sub-m11_ses-14_behavior+ophys.nwb: 216 cells (219 iscell, 3 interneurons), 79/80 trials kept  (load 0.3s dff 4.5s)
[ 25.2 s] sub-m12_ses-01_behavior+ophys.nwb: 1780 cells (1780 iscell, 0 interneurons), 79/80 trials kept  (load 1.5s dff 5.6s)
[ 25.2 s] sub-m12_ses-02_behavior+ophys.nwb: 1112 cells (1112 iscell, 0 interneurons), 79/80 trials kept  (load 0.6s dff 2.0s)
[ 25.2 s] sub-m12_ses-03_behavior+ophys.nwb: 1143 cells (1143 iscell, 0 interneurons), 79/80 trials kept  (load 0.7s dff 3.6s)
[ 25.2 s] sub-m12_ses-04_behavior+ophys.nwb: 1017 cells (1017 iscell, 0 interneurons), 79/80 trials kept  (load 0.5s dff 3.1s)
[ 26.8 s] sub-m12_ses-05_behavior+ophys.nwb: 1306 cells (1306 iscell, 0 interneurons), 79/80 trials kept  (load 0.9s dff 5.9s)
[ 26.8 s] sub-m12_ses-06_behavior+ophys.nwb: 1079 cells (1084 iscell, 5 interneurons), 79/80 trials kept  (load 0.7s dff 4.4s)
[ 28.0 s] sub-m12_ses-07_behavior+ophys.nwb: 1478 cells (1478 iscell, 0 interneurons), 79/80 trials kept  (load 1.5s dff 7.6s)
[ 28.4 s] sub-m12_ses-08_behavior+ophys.nwb: 1494 cells (1494 iscell, 0 interneurons), 79/80 trials kept  (load 1.6s dff 7.9s)
[ 28.4 s] sub-m12_ses-09_behavior+ophys.nwb: 1121 cells (1121 iscell, 0 interneurons), 79/80 trials kept  (load 0.9s dff 4.5s)
[ 28.4 s] sub-m12_ses-10_behavior+ophys.nwb: 1327 cells (1327 iscell, 0 interneurons), 78/80 trials kept  (load 1.6s dff 7.5s)
[ 28.4 s] sub-m12_ses-11_behavior+ophys.nwb: 1323 cells (1323 iscell, 0 interneurons), 79/80 trials kept  (load 1.3s dff 6.9s)
[ 28.4 s] sub-m12_ses-12_behavior+ophys.nwb: 1184 cells (1184 iscell, 0 interneurons), 79/80 trials kept  (load 1.5s dff 7.2s)
[ 32.7 s] sub-m12_ses-13_behavior+ophys.nwb: 1118 cells (1118 iscell, 0 interneurons), 79/80 trials kept  (load 0.7s dff 2.2s)
[ 40.3 s] sub-m12_ses-14_behavior+ophys.nwb: 1354 cells (1354 iscell, 0 interneurons), 79/80 trials kept  (load 0.8s dff 6.7s)
[ 40.4 s] sub-m13_ses-01_behavior+ophys.nwb: 686 cells (686 iscell, 0 interneurons), 79/80 trials kept  (load 0.8s dff 3.4s)
[ 40.4 s] sub-m13_ses-02_behavior+ophys.nwb: 550 cells (550 iscell, 0 interneurons), 79/80 trials kept  (load 0.7s dff 4.3s)
[ 40.4 s] sub-m13_ses-03_behavior+ophys.nwb: 616 cells (616 iscell, 0 interneurons), 79/80 trials kept  (load 0.7s dff 5.9s)
[ 40.4 s] sub-m13_ses-04_behavior+ophys.nwb: 503 cells (503 iscell, 0 interneurons), 79/80 trials kept  (load 0.5s dff 6.2s)
[ 40.6 s] sub-m13_ses-05_behavior+ophys.nwb: 704 cells (704 iscell, 0 interneurons), 79/80 trials kept  (load 0.5s dff 7.0s)
[ 40.8 s] sub-m13_ses-06_behavior+ophys.nwb: 519 cells (519 iscell, 0 interneurons), 79/80 trials kept  (load 0.6s dff 6.8s)
[ 40.9 s] sub-m13_ses-07_behavior+ophys.nwb: 834 cells (834 iscell, 0 interneurons), 79/80 trials kept  (load 1.3s dff 5.6s)
[ 41.3 s] sub-m13_ses-08_behavior+ophys.nwb: 707 cells (707 iscell, 0 interneurons), 79/80 trials kept  (load 1.3s dff 6.3s)
[ 41.3 s] sub-m13_ses-09_behavior+ophys.nwb: 557 cells (557 iscell, 0 interneurons), 79/80 trials kept  (load 0.9s dff 4.2s)
[ 41.3 s] sub-m13_ses-10_behavior+ophys.nwb: 603 cells (603 iscell, 0 interneurons), 79/80 trials kept  (load 1.1s dff 5.5s)
